artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Ke$ha,Ke$ha,ke$ha,ke$ha,ke$ha
Eminem,Eminem,eminem,eminem,eminem
Katy Perry,Katy Perry,katy_perry,katy+perry,katy-perry
Rihanna,Rihanna,rihanna,rihanna,rihanna
Bruno Mars,Bruno Mars,bruno_mars,bruno+mars,bruno-mars
Usher,Usher,usher,usher,usher
Far East Movement,Far East Movement,far_east_movement,far+east+movement,far-east-movement
B.o.B ,B.o.B ,b.o.b_,b.o.b+,b.o.b-
"Black Eyed Peas, The",The Black Eyed Peas,the_black_eyed_peas,the+black+eyed+peas,the-black-eyed-peas
Taio Cruz,Taio Cruz,taio_cruz,taio+cruz,taio-cruz
Pink,Pink,pink,pink,pink
Lady Antebellum,Lady Antebellum,lady_antebellum,lady+antebellum,lady-antebellum
Iyaz,Iyaz,iyaz,iyaz,iyaz
Young Money,Young Money,young_money,young+money,young-money
Artists For Haiti,Artists For Haiti,artists_for_haiti,artists+for+haiti,artists-for-haiti
Taylor Swift,Taylor Swift,taylor_swift,taylor+swift,taylor-swift
Train,Train,train,train,train
Nelly,Nelly,nelly,nelly,nelly
Lady Gaga,Lady Gaga,lady_gaga,lady+gaga,lady-gaga
Enrique Iglesias,Enrique Iglesias,enrique_iglesias,enrique+iglesias,enrique-iglesias
Travie McCoy,Travie McCoy,travie_mccoy,travie+mccoy,travie-mccoy
David Guetta,David Guetta,david_guetta,david+guetta,david-guetta
Jason DeRulo,Jason DeRulo,jason_derulo,jason+derulo,jason-derulo
Drake,Drake,drake,drake,drake
Justin Bieber,Justin Bieber,justin_bieber,justin+bieber,justin-bieber
Mike Posner,Mike Posner,mike_posner,mike+posner,mike-posner
Trey Songz,Trey Songz,trey_songz,trey+songz,trey-songz
Ludacris,Ludacris,ludacris,ludacris,ludacris
Lil Wayne,Lil Wayne,lil_wayne,lil+wayne,lil-wayne
La Roux,La Roux,la_roux,la+roux,la-roux
Miley Cyrus,Miley Cyrus,miley_cyrus,miley+cyrus,miley-cyrus
Glee Cast,Glee Cast,glee_cast,glee+cast,glee-cast
Flo Rida,Flo Rida,flo_rida,flo+rida,flo-rida
3OH!3,3OH!3,3oh!3,3oh!3,3oh!3
Adam Lambert,Adam Lambert,adam_lambert,adam+lambert,adam-lambert
Jay Sean,Jay Sean,jay_sean,jay+sean,jay-sean
Jay-Z,Jay-Z,jay-z,jay-z,jay-z
Timbaland,Timbaland,timbaland,timbaland,timbaland
Willow,Willow,willow,willow,willow
"Script, The",The Script,the_script,the+script,the-script
Kanye West,Kanye West,kanye_west,kanye+west,kanye-west
Shontelle,Shontelle,shontelle,shontelle,shontelle
Neon Trees,Neon Trees,neon_trees,neon+trees,neon-trees
Justin Timberlake,Justin Timberlake,justin_timberlake,justin+timberlake,justin-timberlake
Nicki Minaj,Nicki Minaj,nicki_minaj,nicki+minaj,nicki-minaj
Chris Brown,Chris Brown,chris_brown,chris+brown,chris-brown
Maroon 5,Maroon 5,maroon_5,maroon+5,maroon-5
Sean Kingston,Sean Kingston,sean_kingston,sean+kingston,sean-kingston
Orianthi,Orianthi,orianthi,orianthi,orianthi
Sugarland,Sugarland,sugarland,sugarland,sugarland
OneRepublic,OneRepublic,onerepublic,onerepublic,onerepublic
Kris Allen,Kris Allen,kris_allen,kris+allen,kris-allen
Boys Like Girls,Boys Like Girls,boys_like_girls,boys+like+girls,boys-like-girls
Kenny Chesney,Kenny Chesney,kenny_chesney,kenny+chesney,kenny-chesney
T.I.,T.I.,t.i.,t.i.,t.i.
"Band Perry, The",The Band Perry,the_band_perry,the+band+perry,the-band-perry
Jack Johnson,Jack Johnson,jack_johnson,jack+johnson,jack-johnson
Alicia Keys,Alicia Keys,alicia_keys,alicia+keys,alicia-keys
Florence + The Machine,Florence + The Machine,florence_+_the_machine,florence+++the+machine,florence-+-the-machine
Kevin Rudolf,Kevin Rudolf,kevin_rudolf,kevin+rudolf,kevin-rudolf
New Boyz,New Boyz,new_boyz,new+boyz,new-boyz
Kid Cudi,Kid Cudi,kid_cudi,kid+cudi,kid-cudi
Carrie Underwood,Carrie Underwood,carrie_underwood,carrie+underwood,carrie-underwood
Christina Aguilera,Christina Aguilera,christina_aguilera,christina+aguilera,christina-aguilera
Paramore,Paramore,paramore,paramore,paramore
Michael Buble,Michael Buble,michael_buble,michael+buble,michael-buble
DJ Khaled,DJ Khaled,dj_khaled,dj+khaled,dj-khaled
will.i.am,will.i.am,will.i.am,will.i.am,will.i.am
Selena Gomez,Selena Gomez,selena_gomez,selena+gomez,selena-gomez
Lee DeWyze,Lee DeWyze,lee_dewyze,lee+dewyze,lee-dewyze
Coldplay,Coldplay,coldplay,coldplay,coldplay
Tim McGraw,Tim McGraw,tim_mcgraw,tim+mcgraw,tim-mcgraw
"Ready Set, The",The Ready Set,the_ready_set,the+ready+set,the-ready-set
Diddy,Diddy,diddy,diddy,diddy
Linkin Park,Linkin Park,linkin_park,linkin+park,linkin-park
Miranda Lambert,Miranda Lambert,miranda_lambert,miranda+lambert,miranda-lambert
Cali Swag District,Cali Swag District,cali_swag_district,cali+swag+district,cali-swag-district
Jamie Foxx,Jamie Foxx,jamie_foxx,jamie+foxx,jamie-foxx
Jerrod Niemann,Jerrod Niemann,jerrod_niemann,jerrod+niemann,jerrod-niemann
Yolanda Be Cool,Yolanda Be Cool,yolanda_be_cool,yolanda+be+cool,yolanda-be-cool
Uncle Kracker,Uncle Kracker,uncle_kracker,uncle+kracker,uncle-kracker
Sara Bareilles,Sara Bareilles,sara_bareilles,sara+bareilles,sara-bareilles
Zac Brown Band,Zac Brown Band,zac_brown_band,zac+brown+band,zac-brown-band
Shakira,Shakira,shakira,shakira,shakira
Soulja Boy Tell'em,Soulja Boy Tell'em,soulja_boy_tell'em,soulja+boy+tell'em,soulja-boy-tell'em
Joe Nichols,Joe Nichols,joe_nichols,joe+nichols,joe-nichols
Jaron and The Long Road to Love,Jaron and The Long Road to Love,jaron_and_the_long_road_to_love,jaron+and+the+long+road+to+love,jaron-and-the-long-road-to-love
John Mayer,John Mayer,john_mayer,john+mayer,john-mayer
Nickelback,Nickelback,nickelback,nickelback,nickelback
Dr. Dre,Dr. Dre,dr._dre,dr.+dre,dr.-dre
Josh Turner,Josh Turner,josh_turner,josh+turner,josh-turner
Young Jeezy,Young Jeezy,young_jeezy,young+jeezy,young-jeezy
Daughtry,Daughtry,daughtry,daughtry,daughtry
Luke Bryan,Luke Bryan,luke_bryan,luke+bryan,luke-bryan
Darius Rucker,Darius Rucker,darius_rucker,darius+rucker,darius-rucker
Blake Shelton,Blake Shelton,blake_shelton,blake+shelton,blake-shelton
Spose,Spose,spose,spose,spose
Kings Of Leon,Kings Of Leon,kings_of_leon,kings+of+leon,kings-of-leon
Jason Aldean,Jason Aldean,jason_aldean,jason+aldean,jason-aldean
Billy Currington,Billy Currington,billy_currington,billy+currington,billy-currington
Snoop Dogg,Snoop Dogg,snoop_dogg,snoop+dogg,snoop-dogg
Brad Paisley,Brad Paisley,brad_paisley,brad+paisley,brad-paisley
Ciara,Ciara,ciara,ciara,ciara
Easton Corbin,Easton Corbin,easton_corbin,easton+corbin,easton-corbin
Pitbull,Pitbull,pitbull,pitbull,pitbull
Melanie Fiona,Melanie Fiona,melanie_fiona,melanie+fiona,melanie-fiona
Monica,Monica,monica,monica,monica
Lee Brice,Lee Brice,lee_brice,lee+brice,lee-brice
Roscoe Dash,Roscoe Dash,roscoe_dash,roscoe+dash,roscoe-dash
General Larry Platt,General Larry Platt,general_larry_platt,general+larry+platt,general-larry-platt
Rodney Atkins,Rodney Atkins,rodney_atkins,rodney+atkins,rodney-atkins
Sheryl Crow,Sheryl Crow,sheryl_crow,sheryl+crow,sheryl-crow
Rascal Flatts,Rascal Flatts,rascal_flatts,rascal+flatts,rascal-flatts
Colbie Caillat,Colbie Caillat,colbie_caillat,colbie+caillat,colbie-caillat
Chris Young,Chris Young,chris_young,chris+young,chris-young
Lloyd Banks,Lloyd Banks,lloyd_banks,lloyd+banks,lloyd-banks
Lifehouse,Lifehouse,lifehouse,lifehouse,lifehouse
Auburn,Auburn,auburn,auburn,auburn
Avenged Sevenfold,Avenged Sevenfold,avenged_sevenfold,avenged+sevenfold,avenged-sevenfold
Sade,Sade,sade,sade,sade
Clay Walker,Clay Walker,clay_walker,clay+walker,clay-walker
Reba McEntire,Reba McEntire,reba_mcentire,reba+mcentire,reba-mcentire
Gucci Mane,Gucci Mane,gucci_mane,gucci+mane,gucci-mane
Ne-Yo,Ne-Yo,ne-yo,ne-yo,ne-yo
Robin Thicke,Robin Thicke,robin_thicke,robin+thicke,robin-thicke
Miranda Cosgrove,Miranda Cosgrove,miranda_cosgrove,miranda+cosgrove,miranda-cosgrove
Jesse McCartney,Jesse McCartney,jesse_mccartney,jesse+mccartney,jesse-mccartney
Snow Patrol,Snow Patrol,snow_patrol,snow+patrol,snow-patrol
Mary J. Blige,Mary J. Blige,mary_j._blige,mary+j.+blige,mary-j.-blige
Akon,Akon,akon,akon,akon
Charice,Charice,charice,charice,charice
Dave Matthews Band,Dave Matthews Band,dave_matthews_band,dave+matthews+band,dave-matthews-band
Christopher Wilde,Christopher Wilde,christopher_wilde,christopher+wilde,christopher-wilde
Crystal Bowersox,Crystal Bowersox,crystal_bowersox,crystal+bowersox,crystal-bowersox
Keith Urban,Keith Urban,keith_urban,keith+urban,keith-urban
Miguel,Miguel,miguel,miguel,miguel
Rob Thomas,Rob Thomas,rob_thomas,rob+thomas,rob-thomas
Little Big Town,Little Big Town,little_big_town,little+big+town,little-big-town
Rick Ross,Rick Ross,rick_ross,rick+ross,rick-ross
Jazmine Sullivan,Jazmine Sullivan,jazmine_sullivan,jazmine+sullivan,jazmine-sullivan
k.d. lang,k.d. lang,k.d._lang,k.d.+lang,k.d.-lang
Waka Flocka Flame,Waka Flocka Flame,waka_flocka_flame,waka+flocka+flame,waka-flocka-flame
Lil Jon,Lil Jon,lil_jon,lil+jon,lil-jon
George Strait,George Strait,george_strait,george+strait,george-strait
Lloyd,Lloyd,lloyd,lloyd,lloyd
Hannah Montana,Hannah Montana,hannah_montana,hannah+montana,hannah-montana
Eric Church,Eric Church,eric_church,eric+church,eric-church
YG,YG,yg,yg,yg
V V Brown,V V Brown,v_v_brown,v+v+brown,v-v-brown
Steel Magnolia,Steel Magnolia,steel_magnolia,steel+magnolia,steel-magnolia
LMFAO,LMFAO,lmfao,lmfao,lmfao
Justin Moore,Justin Moore,justin_moore,justin+moore,justin-moore
Avril Lavigne,Avril Lavigne,avril_lavigne,avril+lavigne,avril-lavigne
Owl City,Owl City,owl_city,owl+city,owl-city
Three Days Grace,Three Days Grace,three_days_grace,three+days+grace,three-days-grace
Toby Keith,Toby Keith,toby_keith,toby+keith,toby-keith
Martina McBride,Martina McBride,martina_mcbride,martina+mcbride,martina-mcbride
Fantasia,Fantasia,fantasia,fantasia,fantasia
Godsmack,Godsmack,godsmack,godsmack,godsmack
Ricky Martin,Ricky Martin,ricky_martin,ricky+martin,ricky-martin
T-Pain,T-Pain,t-pain,t-pain,t-pain
Bobby Brackins,Bobby Brackins,bobby_brackins,bobby+brackins,bobby-brackins
WE the Kings,WE the Kings,we_the_kings,we+the+kings,we-the-kings
Gyptian,Gyptian,gyptian,gyptian,gyptian
My Chemical Romance,My Chemical Romance,my_chemical_romance,my+chemical+romance,my-chemical-romance
Muse,Muse,muse,muse,muse
Pearl Jam,Pearl Jam,pearl_jam,pearl+jam,pearl-jam
Three 6 Mafia,Three 6 Mafia,three_6_mafia,three+6+mafia,three-6-mafia
"Killers, The",The Killers,the_killers,the+killers,the-killers
Asher Roth,Asher Roth,asher_roth,asher+roth,asher-roth
Yo Gotti,Yo Gotti,yo_gotti,yo+gotti,yo-gotti
Disturbed,Disturbed,disturbed,disturbed,disturbed
Will Young,Will Young,will_young,will+young,will-young
K'Naan,K'Naan,k'naan,k'naan,k'naan
Danny Gokey,Danny Gokey,danny_gokey,danny+gokey,danny-gokey
Craig Morgan,Craig Morgan,craig_morgan,craig+morgan,craig-morgan
Phoenix,Phoenix,phoenix,phoenix,phoenix
Disney's Friends For Change,Disney's Friends For Change,disney's_friends_for_change,disney's+friends+for+change,disney's-friends-for-change
Josh Thompson,Josh Thompson,josh_thompson,josh+thompson,josh-thompson
Matisyahu,Matisyahu,matisyahu,matisyahu,matisyahu
New Hollow,New Hollow,new_hollow,new+hollow,new-hollow
Trace Adkins,Trace Adkins,trace_adkins,trace+adkins,trace-adkins
Marsha Ambrosius,Marsha Ambrosius,marsha_ambrosius,marsha+ambrosius,marsha-ambrosius
Antoine Dodson,Antoine Dodson,antoine_dodson,antoine+dodson,antoine-dodson
My Darkest Days,My Darkest Days,my_darkest_days,my+darkest+days,my-darkest-days
Chiddy Bang,Chiddy Bang,chiddy_bang,chiddy+bang,chiddy-bang
Sammy Adams,Sammy Adams,sammy_adams,sammy+adams,sammy-adams
