artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Milky Chance,Milky Chance,milky_chance,milky+chance,milky-chance
Fall Out Boy,Fall Out Boy,fall_out_boy,fall+out+boy,fall-out-boy
Nick Jonas,Nick Jonas,nick_jonas,nick+jonas,nick-jonas
Meghan Trainor,Meghan Trainor,meghan_trainor,meghan+trainor,meghan-trainor
Florida Georgia Line,Florida Georgia Line,florida_georgia_line,florida+georgia+line,florida-georgia-line
Alesso,Alesso,alesso,alesso,alesso
Tim McGraw,Tim McGraw,tim_mcgraw,tim+mcgraw,tim-mcgraw
Ed Sheeran,Ed Sheeran,ed_sheeran,ed+sheeran,ed-sheeran
Kid Ink,Kid Ink,kid_ink,kid+ink,kid-ink
"Weeknd, The",The Weeknd,the_weeknd,the+weeknd,the-weeknd
Lee Brice,Lee Brice,lee_brice,lee+brice,lee-brice
Calvin Harris,Calvin Harris,calvin_harris,calvin+harris,calvin-harris
Flo Rida,Flo Rida,flo_rida,flo+rida,flo-rida
Eric Church,Eric Church,eric_church,eric+church,eric-church
Iggy Azalea,Iggy Azalea,iggy_azalea,iggy+azalea,iggy-azalea
Taylor Swift,Taylor Swift,taylor_swift,taylor+swift,taylor-swift
Ella Henderson,Ella Henderson,ella_henderson,ella+henderson,ella-henderson
Kenny Chesney,Kenny Chesney,kenny_chesney,kenny+chesney,kenny-chesney
Shawn Mendes,Shawn Mendes,shawn_mendes,shawn+mendes,shawn-mendes
Brett Eldredge,Brett Eldredge,brett_eldredge,brett+eldredge,brett-eldredge
Darius Rucker,Darius Rucker,darius_rucker,darius+rucker,darius-rucker
WALK THE MOON,WALK THE MOON,walk_the_moon,walk+the+moon,walk-the-moon
Mark Ronson,Mark Ronson,mark_ronson,mark+ronson,mark-ronson
Thomas Rhett,Thomas Rhett,thomas_rhett,thomas+rhett,thomas-rhett
Ne-Yo,Ne-Yo,ne-yo,ne-yo,ne-yo
Nicki Minaj,Nicki Minaj,nicki_minaj,nicki+minaj,nicki-minaj
