artist,main,featured1,featured2,featured3,featured4,song,41815,42515,50215,50915,51615,52315,53015,60615,61315,62015,62715,70415,71115,71815,72515
Maroon 5 ,Maroon 5 ,,,,,This Summers Gonna Hurt...,,,,,,,67,31,30,23,25,25,24,27,32
Chris Brown &amp; Tyga ,Chris Brown ,Tyga ,,,,Ayo,25,25,29,36,39,39,51,59,,,,,,,
Big Sean Featuring E-40 ,Big Sean ,E-40 ,,,,I Dont F**k With You,43,50,,,,,,,,,,,,,
Janelle Monae &amp; Jidenna ,Janelle Monae ,Jidenna ,,,,Yoga,,,,,,,,,,,,,93,79,82
Canaan Smith ,Canaan Smith ,,,,,Love You Like That,95,91,89,87,77,72,70,72,64,61,58,54,53,51,46
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Simple Man,,,,,71,,,,,,,,,,
Pia Mia Featuring Chris Brown &amp; Tyga ,Pia Mia ,Chris Brown ,Tyga ,,,Do It Again,,,,,,,,,,,,,,86,77
Meek Mill Featuring Chris Brown &amp; Nicki Minaj ,Meek Mill ,Chris Brown ,Nicki Minaj ,,,All Eyes On You,,,,,,,,,,,,,81,32,29
Maroon 5 ,Maroon 5 ,,,,,Sugar,2,3,4,5,6,6,7,9,9,10,12,19,18,21,20
Kimberly Nichole ,Kimberly Nichole ,,,,,House Of The Rising Sun,,,100,,,,,,,,,,,,
Tove Lo ,Tove Lo ,,,,,Talking Body,28,24,18,16,16,15,13,13,12,12,14,16,21,22,23
Meek Mill Featuring Nicki Minaj ,Meek Mill ,Nicki Minaj ,,,,Bad For You,,,,,,,,,,,,,,96,78
Kenny Chesney With Grace Potter ,Kenny Chesney ,Grace Potter ,,,,Wild Child,94,89,73,75,73,70,68,64,58,56,57,67,89,,
Carly Rae Jepsen ,Carly Rae Jepsen ,,,,,I Really Like You,80,83,39,65,75,67,76,80,77,60,59,65,73,90,92
Trey Songz ,Trey Songz ,,,,,Slow Motion,51,45,38,35,31,27,26,29,29,27,29,29,32,35,38
Cole Swindell ,Cole Swindell ,,,,,Aint Worth The Whiskey,48,55,65,70,86,90,,,,,,,,,
Sage The Gemini Featuring Nick Jonas ,Sage The Gemini ,Nick Jonas ,,,,Good Thing,,,,,,,,,,,,100,90,91,84
Nicky Jam &amp; Enrique Iglesias ,Nicky Jam ,Enrique Iglesias ,,,,El Perdon,90,95,94,92,85,83,86,87,84,83,84,83,83,87,89
Selena Gomez Featuring A$AP Rocky ,Selena Gomez ,A$AP Rocky ,,,,Good For You,,,,,,,,,,,,,9,17,15
"Kanye West Featuring Theophilus London, Allan Kingdom &amp; Paul McCartney ",Kanye West ,Theophilus London,Allan Kingdom ,Paul McCartney ,,All Day,69,52,61,55,58,59,55,60,79,91,93,,,,
How I Became The Bomb ,How I Became The Bomb ,,,,,Ulay Oh,,,,,,,,,,58,,,,,
Kelly Clarkson ,Kelly Clarkson ,,,,,Heartbeat Song,24,31,44,49,51,58,61,71,72,,,,,,
Jidenna Featuring Roman GianArthur ,Jidenna ,Roman GianArthur ,,,,Classic Man,,,,,,89,81,74,78,62,60,50,34,26,30
Sia ,Sia ,,,,,Elastic Heart,52,47,52,51,47,41,42,36,34,33,32,30,31,33,35
Bandit Gang Marco Featuring Dro ,Bandit Gang Marco ,Dro ,,,,Nasty,,,,83,65,60,41,42,54,82,88,99,,,
Mumford &amp; Sons ,Mumford ,Sons ,,,,Believe,78,72,71,76,79,54,63,83,87,89,91,94,,,
WALK THE MOON ,WALK THE MOON ,,,,,Shut Up And Dance,12,9,8,7,5,5,4,4,4,4,4,5,5,7,7
Adam Lambert ,Adam Lambert ,,,,,Ghost Town,,,,,,,,,,,,73,77,85,80
Ludacris Featuring Miguel ,Ludacris ,Miguel ,,,,Good Lovin,91,97,,,,,,,,,,,,,
Eric Paslay ,Eric Paslay ,,,,,She Dont Love You,89,87,77,86,83,81,91,93,,,,,,,
Zac Brown Band ,Zac Brown Band ,,,,,Homegrown,36,35,41,46,40,57,59,67,67,,,,,,
Ciara ,Ciara ,,,,,I Bet,67,71,63,63,61,61,71,86,88,,,,,,
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Old Man,,,,,,,,63,,,,,,,
NEEDTOBREATHE Featuring Gavin DeGraw ,NEEDTOBREATHE ,Gavin DeGraw ,,,,Brother,,,,,,,,,,,,,,100,98
Steven Tyler ,Steven Tyler ,,,,,Love Is Your Name,,,,,,,,,,,,,,,75
Taylor Swift Featuring Kendrick Lamar ,Taylor Swift ,Kendrick Lamar ,,,,Bad Blood,,,,,,,53,1,2,2,2,2,2,4,4
Carrie Underwood ,Carrie Underwood ,,,,,Little Toy Guns,86,77,75,74,70,69,64,65,59,55,48,47,50,65,73
Fall Out Boy ,Fall Out Boy ,,,,,Immortals,92,92,,,,,,,,,,,,,
LunchMoney Lewis ,LunchMoney Lewis ,,,,,Bills,84,88,79,,,,,,,,,,,,
Sam Smith ,Sam Smith ,,,,,Like I Can,,,,,,,,,,,,,99,,
Madonna Featuring Nicki Minaj ,Madonna ,Nicki Minaj ,,,,B**** Im Madonna,,,,,,,,,,,,84,95,,
