id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
15590,Mike Posner,5b64e344-b2fb-47bd-bd7b-4c793b17d472,Mike Posner,United States,US,Detroit,1988-02-12,Person,0000000114583591,Electronica,RB,Pop,HipHop,
62957,E V O L U T I O N,77cbdfc2-6d17-4646-9858-d19a529769fb,L-O-V-E,United States,,,,,,Electronica,Rock,,,
220,Owl City,ad279295-653f-42e1-9aaa-b731df2e78ba,Owl City,United States,US,Owatonna,1986-07-05,Person,,Electronica,Pop,,,
8309,Chiddy Bang,d452681b-41e0-46a0-bb17-e77d23dfc220,Chiddy Bang,United States,US,,2009,Group,,Electronica,HipHop,,,
983,Shiny Toy Guns,ad61e25e-5516-41e1-b60d-744e8220986e,Shiny Toy Guns,United States,US,,2003,Group,,Electronica,Indie,Rock,,
63559,Martin Solveig,06db73fd-57e2-4a6f-bcd3-699fb7bb7af4,Martin Solveig,France,FR,,1976-09-22,Person,,Electronica,Pop,,,
7217,Kaskade,29ed4a49-fb99-4a5c-8713-609cabe6f34a,Kaskade,United States,US,Chicago,1972-02-25,Person,,Electronica,,,,
3718,Calvin Harris,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,United Kingdom,GB,Dumfries and Galloway,1984-01-17,Person,,Electronica,Punk,Indie,,
223,Breathe Carolina,0509d076-7e31-4f53-bad3-80ee246e23b7,Breathe Carolina,United States,US,Denver,2007,Group,,Electronica,Pop,Rock,,
292002,Skrillex,ae002c5d-aac6-490b-a39a-30aa9e2edf2b,Skrillex,United States,US,Los Angeles,1988-01-15,Person,0000000139418197,Electronica,,,,
