id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
3886,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Detroit,,St. Joseph,1972-10-17 00:00:00,Person,0000000117699370,Rap,HipHop,,,
2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20 00:00:00,Person,0000000114766419,Reggae,RB,Pop,HipHop,
292464,Far East Movement,6bd5655c-b7fe-48ee-8925-c2d2d8798618,Far East Movement,United States,US,,2003-01-01 00:00:00,Group,,Pop,HipHop,,,
113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15 00:00:00,Person,0000000120532045,RB,Rap,HipHop,,
9871,Taio Cruz,ba7d2626-38ce-4859-8495-bdb5732715c4,Taio Cruz,United Kingdom,GB,London,1985-04-23 00:00:00,Person,0000000110084242,RB,Pop,HipHop,,
142333,Nelly,811900b2-68fc-4d41-8bad-69b7a1f4d628,Nelly,United States,US,Austin,1974-11-02 00:00:00,Person,0000000078402174,RB,Rap,Pop,HipHop,
13786,Jason Derulo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derulo,United States,US,Miami,1989-09-21 00:00:00,Person,0000000114539363,RB,Pop,HipHop,,
267814,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Canada,CA,Toronto,1986-10-24 00:00:00,Person,000000012032246X,RB,Rap,Pop,HipHop,
15590,Mike Posner,5b64e344-b2fb-47bd-bd7b-4c793b17d472,Mike Posner,United States,US,Detroit,1988-02-12 00:00:00,Person,0000000114583591,Electronica,RB,Pop,HipHop,
116098,Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,United States,US,,1984-11-28 00:00:00,Person,,RB,HipHop,,,
9903,Ludacris,0638ba22-040f-438d-83a5-9b670c4adaf5,Ludacris,Atlanta,,Champaign,1977-09-11 00:00:00,Person,0000000374669818,Rap,HipHop,,,
749,Lil' Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345,Lil Wayne,Miami Beach,,New Orleans,1982-09-27 00:00:00,Person,000000007841938X,Rap,HipHop,,,
10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17 00:00:00,Person,000000005524410X,RB,Rap,Pop,HipHop,
14199,Jay Sean,e03cf5b6-d2ec-4465-adee-226b518bcfcd,Jay Sean,United Kingdom,GB,,1981-03-26 00:00:00,Person,0000000109299254,RB,Pop,HipHop,,
3626,Jay Z,f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY Z,United States,US,Brooklyn,1969-12-04 00:00:00,Person,0000000118335528,HipHop,,,,
751,Timbaland,daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland,United States,US,Norfolk,1972-03-10 00:00:00,Person,000000005519793X,RB,Pop,HipHop,,
356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08 00:00:00,Person,0000000116557565,RB,Rap,HipHop,,
616,Shontelle,cfb2b49e-a921-4171-b089-853d9fc16d2c,Shontelle,Barbados,BB,Saint James,1985-10-04 00:00:00,Person,0000000364513019,Reggae,RB,Pop,HipHop,
