id,id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
113780,113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
13145,13145,Pitbull,d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,United States,US,Miami,1981-01-15,Person,0000000078456455,Latin,Pop,HipHop,,
5275,5275,T-Pain,ce55e49a-32f4-4757-9849-bf04d06d5fcc,T‐Pain,United States,US,Tallahassee,1985-09-30,Person,0000000055551230,RB,Rap,Pop,HipHop,
9958,9958,Lupe Fiasco,cf15719f-51f9-4db8-a15d-5eed9664ce69,Lupe Fiasco,United States,US,Chicago,1982-02-16,Person,0000000117359659,Rap,HipHop,,,
12878,12878,Aloe Blacc,4bf89e02-6c30-4603-9f6a-52619b1bea1a,Aloe Blacc,United States,US,California,1979-01-07,Person,,Jazz,RB,HipHop,,
510,510,Beyoncé,183105b5-3e68-4748-9086-2c1c11bf7a3d,Beyoncé,United States,US,Houston,1981-09-04,Person,0000000114914936,RB,Pop,HipHop,,
13786,13786,Jason Derulo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derulo,United States,US,Miami,1989-09-21,Person,0000000114539363,RB,Pop,HipHop,,
78821,78821,Pharrell,149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,United States,US,Virginia Beach,1973-04-05,Person,0000000078409210,RB,Pop,Rock,HipHop,
117139,117139,J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5,J. Cole,United States,US,Frankfurt am Main,1985-01-28,Person,0000000108100039,HipHop,,,,
10098,10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17,Person,000000005524410X,RB,Rap,Pop,HipHop,
5214,5214,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,United States,US,,1989-05-05,Person,,RB,Pop,HipHop,,
116098,116098,Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,United States,US,,1984-11-28,Person,,RB,HipHop,,,
67642,67642,Rico Love,7e00c640-fa26-4c83-bdac-ef7a1ecd863a,Rico Love,United States,,,,Person,,RB,Rap,HipHop,,
301188,301188,Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,United States,US,Compton,1987-06-17,Person,0000000362907030,HipHop,,,,
115608,115608,K. Michelle,7f3165ab-7959-42be-93bd-f1688ffe37d4,Official,United States,US,,,Group,,RB,HipHop,,,
14173,14173,Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,United States,US,Huntington,1970-03-27,Person,0000000114722280,RB,Pop,HipHop,,
114751,114751,Rick Ross,13bcb2bb-db37-4397-baf5-e0f085be2d64,Rick Ross,Miami,,Coahoma County,1976-01-28,Person,0000000058867353,Rap,HipHop,,,
157661,157661,YG,6b1cf581-17a9-42c3-927b-d1e2797b1695,Y.G.,United States,US,Compton,1990-03-09,Person,0000000380244779,RB,Rap,HipHop,,
3886,3886,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Detroit,,St. Joseph,1972-10-17,Person,0000000117699370,Rap,HipHop,,,
113780,113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
307852,307852,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,United Kingdom,GB,West Yorkshire,1991-02-17,Person,0000000364434564,HipHop,,,,
268338,268338,Will.I.Am,d574c9bd-46f6-440a-8d6a-8412a283eeb1,will.i.am,United States,US,Los Angeles,1975-03-15,Person,0000000081612084,RB,HipHop,,,
117018,117018,Wiz Khalifa,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,Pittsburgh,,Minot,1987-09-08,Person,0000000121213353,Pop,HipHop,,,
5271,5271,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,Queens,,Port of Spain,1982-12-08,Person,0000000122969945,RB,Rap,Pop,HipHop,
749,749,Lil' Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345,Lil Wayne,Miami Beach,,New Orleans,1982-09-27,Person,000000007841938X,Rap,HipHop,,,
115865,115865,Robin Thicke,ddfd9b2f-186e-4b2c-ad09-01aa5380c225,Robin Thicke,United States,US,Los Angeles,1977-03-10,Person,0000000077788095,RB,Pop,HipHop,,
44198,44198,Jeremih,1c009a08-74d1-4682-bc56-8bfbe9e66b62,Jeremih,United States,US,Chicago,1987-07-17,Person,000000008170259X,RB,Pop,HipHop,,
13908,13908,Busta Rhymes,10a9ff92-9637-4498-afea-7044b2ab0dc0,Busta Rhymes,United States,US,Brooklyn,1972-05-20,Person,0000000122807954,HipHop,,,,
44853,44853,Juicy J,c45d161f-83ce-4464-ba41-44202e6916d9,Juicy J,United States,US,Memphis,1975-04-05,Person,,Rap,HipHop,,,
379,379,Tyga,ce09ea31-3d4a-4487-a797-e315175457a0,Tyga,United States,US,,1989-11-19,Person,0000000363515733,HipHop,,,,
8104,8104,Young Jeezy,dcad99e7-3c3e-4c78-bf8a-68203e17da48,Young Jeezy,United States,US,,1977-09-28,Person,0000000078467402,Hardcore,Rap,HipHop,,
114151,114151,DJ Khaled,081a2d60-9791-4e05-a075-f1890355eeee,DJ Khaled,United States,US,,1975-11-26,Person,,Rap,HipHop,,,
6426,6426,Big & Rich,9c76170f-0d77-4aa3-b3c9-52f1ce07b9ec,Big & Rich,United States,US,,1998,Group,,Country,Rock,HipHop,,
9527,9527,Lil Jon,a95384b1-6aec-468c-ae0d-8c6daf87c4c2,Lil Jon,United States,US,Atlanta,1971-01-27,Person,0000000372609061,Rap,HipHop,,,
4055,4055,Big Sean,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,Big Sean,Detroit,,Santa Monica,1988-03-25,Person,0000000120456134,Rap,HipHop,,,
443,443,Fergie,4f9675d2-f6d5-486c-9b26-33dcca998500,Fergie,United Kingdom,GB,,1979-11-16,Person,,RB,Pop,Rock,HipHop,
10621,10621,Yo Gotti,b02ec63e-e78d-43e5-a594-462e95036e8d,Yo Gotti,United States,US,Memphis,1981-05-19,Person,0000000042769556,RB,Rap,Pop,HipHop,
501,501,Mark Ronson,c3c82bdc-d9e7-4836-9746-c24ead47ca19,Mark Ronson,United Kingdom,GB,St John's Wood,1975-09-04,Person,,Rock,HipHop,,,
9423,9423,Ne-Yo,a4a01f5d-18e7-4571-8c3a-76ec0e24e2d7,Ne‐Yo,United States,US,Camden,1979-10-18,Person,,RB,Pop,HipHop,,
31169,31169,French Montana,45dc5f07-6609-4760-a933-8c9e0f858d05,French Montana,The Bronx,,Rabat,1984-11-09,Person,0000000372974237,Rap,HipHop,,,
356,356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08,Person,0000000116557565,RB,Rap,HipHop,,
269828,269828,G-Eazy,db48610c-6d8f-4d10-90ca-c4d14bb1a8b1,G-Eazy,United States,US,Oakland,1989-05-24,Person,,HipHop,,,,
6492,6492,Omarion,3ca09fae-fdee-4771-bab9-244708515a98,Omarion,United States,US,,1984-11-12,Person,,RB,Pop,HipHop,,
77313,77313,Hoodie Allen,b28ac005-27fe-4bb9-86a2-dbf55ef21469,Hoodie Allen,United States,US,,1988-08-19,Person,,HipHop,,,,
3706,3706,Wale,e34e41f2-f480-45d3-8190-a3ce5ab34fab,Wale,United States,US,"Washington, D.C.",1984-09-21,Person,0000000114507644,HipHop,,,,
2104,2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20,Person,0000000114766419,Reggae,RB,Pop,HipHop,
6555,6555,Missy Elliott,a0b8cb9e-7532-45fe-a74c-30e7c4009a39,Missy Elliott,United States,US,Portsmouth,1971-07-01,Person,0000000078397539,RB,Rap,HipHop,,
1344,1344,Kid Rock,ad0ecd8b-805e-406e-82cb-5b00c3a3a29e,Kid Rock,United States,US,Romeo,1971-01-17,Person,0000000114765053,Country,Rock,HipHop,,
11299,11299,Meek Mill,1df8af23-0f3d-4b22-a93f-46c8b813f0b9,Meek,Canada,CA,,,Person,,Rap,HipHop,,,
