id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
52781,Pink Martini,113e0972-077f-423b-9b5f-3cc8a5bafa0f,Pink Martini,United States,US,,1994,Group,,Jazz,Latin,Pop,,
6476,Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,Canada,CA,Victoria,1978-12-02,Person,0000000115114746,Folk,Latin,RB,Pop,Rock
692,Enrique Iglesias,35f866dc-c061-48ba-8157-cf2e0eac4857,Enrique Iglesias,Spain,ES,Madrid,1975-05-08,Person,0000000107851965,Latin,RB,Pop,,
5152,Shakira,bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,Colombia,CO,Barranquilla,1977-02-02,Person,0000000116252147,Latin,Pop,,,
13145,Pitbull,d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,United States,US,Miami,1981-01-15,Person,0000000078456455,Latin,Pop,HipHop,,
26309,Miguelito,a7d12dce-8c82-41fc-af71-7ef923413506,Miguelito,Australia,,,,Person,,Latin,Rap,,,
20293,Ricky Martin,70ea63ea-70dc-4b63-951a-2c249d2b3b0a,Ricky Martin,San Juan,,San Juan,1971-12-24,Person,,Latin,Reggae,Pop,,
12358,Eddie Vedder,1a60d6dd-9d3e-40fc-a66d-3184f9ee0d61,Eddie Vedder,Seattle,,Evanston,1964-12-23,Person,0000000114710124,Latin,RB,HipHop,,
6387,Jennifer Lopez,f0602f55-1770-483d-89bd-4bae0d0ac086,Jennifer Lopez,United States,US,The Bronx,1969-07-24,Person,0000000121299281,Latin,RB,Pop,,
2114,Devendra Banhart,0110e63e-0a9b-4818-af8e-41e180c20b9a,Devendra Banhart,United States,US,Houston,1981-05-30,Person,0000000063091043,Latin,,,,
13406,Don Omar,afbdfac9-2955-4404-ae22-c08bf1c1b51e,Don Omar,Puerto Rico,PR,,1978-02-10,Person,,Latin,RB,Rap,Pop,
306639,Romeo Santos,35f343df-3b87-4475-b0e4-d2ba5cc26eea,Romeo Santos,United States,US,The Bronx,1981-07-21,Person,,Latin,RB,,,
71656,Maná,55441123-89a2-49ab-ae3f-df7a3e86835a,Maná,Mexico,MX,,1986,Group,,Latin,Rock,,,
