id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
309,Auburn Lull,d733cde0-4e84-4b3e-bfbd-4863939c5b7d,Auburn Lull,United States,US,,,Group,,Hardcore,Metal,Rock,,
2115,Avenged Sevenfold,24e1b53c-3085-4581-8472-0b0088d2508c,Avenged Sevenfold,United States,US,,1999,Group,,Metal,Rock,,,
46198,Godsmack,ac2d1c91-3667-46aa-9fe7-170ca7fce9e2,Godsmack,United States,US,,1996,Group,,Metal,Rock,,,
642,My Chemical Romance,c07f0676-9143-4217-8a9f-4c26bd636f13,My Chemical Romance,United States,US,,2001,Group,,Metal,Alternative,Rock,,
265455,Sleepytime Gorilla Museum,7e916aa1-a00c-42e5-968d-a6f243206433,Sleepytime Gorilla Museum,United States,US,,1999,Group,,Metal,Rock,,,
6218,Disturbed,4bb4e4e4-5f66-4509-98af-62dbb90c45c5,Disturbed,United States,US,,1996,Group,,Metal,Rock,,,
2380,Breaking Benjamin,854a1807-025b-42a8-ba8c-2a39717f1d25,Breaking Benjamin,United States,US,Pennsylvania,1998,Group,,Metal,Alternative,Rock,,
859,The Devil Wears Prada,43c0958c-27ef-46c4-b4cc-83cfca54170d,The Devil Wears Prada,United States,US,Dayton,2005,Group,,Christian,Hardcore,Metal,,
10504,DevilDriver,1aded574-9e16-4648-861a-24fd6f1c309e,DevilDriver,United States,US,,2003,Group,,Metal,,,,
7296,Seether,fbcd7b29-455f-49e6-9c4f-8249d20a055e,Seether,South Africa,ZA,,2002,Group,,Metal,Alternative,Rock,,
18588,Five Finger Death Punch,7e8571b1-7c5a-4739-bc51-73d422ee9d74,Five Finger Death Punch,United States,US,Las Vegas,2005,Group,,Hardcore,Metal,Rock,,
5933,Psycroptic,e984de0f-7744-4f87-ac42-bed48b920842,Psycroptic,Australia,AU,,1999,Group,,Progressive,Metal,,,
