id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20,Person,0000000114766419,Reggae,RB,Pop,HipHop,
616,Shontelle,cfb2b49e-a921-4171-b089-853d9fc16d2c,Shontelle,Barbados,BB,Saint James,1985-10-04,Person,0000000364513019,Reggae,RB,Pop,HipHop,
13590,Sean Kingston,f7eb3be3-1065-4a53-94d4-e2d0c15c0b33,Sean Kingston,Jamaica,JM,Miami,1990-02-03,Person,0000000059578123,Reggae,RB,Pop,HipHop,
12961,Melanie Fiona,209e47f9-df65-47bd-9a40-4fb4c5c9c349,Melanie Fiona,Canada,CA,,1983-07-04,Person,,Jazz,Reggae,RB,HipHop,
5491,Akon,1138a764-2212-4d0a-b02d-0dc14df91e08,Akon,Senegal,SN,St. Louis,1973-04-16,Person,0000000063087968,Reggae,RB,Pop,HipHop,
20293,Ricky Martin,70ea63ea-70dc-4b63-951a-2c249d2b3b0a,Ricky Martin,San Juan,,San Juan,1971-12-24,Person,,Latin,Reggae,Pop,,
24094,Gyptian,c70a1a51-caf3-4667-b956-11e27a00fe37,Gyptian,Jamaica,JM,Jamaica,1983-10-25,Person,,Reggae,,,,
269422,K'naan,ee421ee4-f861-405d-8730-29cb512dfdbd,K'naan,Toronto,,Banaadir,1978-02-01,Person,0000000078492990,Folk,Reggae,HipHop,,
667,Matisyahu,e8993e9d-9313-4447-ad23-791459a3790d,Matisyahu,United States,US,,1979-06-30,Person,,Reggae,Rock,HipHop,,
6866,Andy Grammer,10048cb0-3961-407d-8588-50fd75a01799,Kelsey Grammer,United States,US,,1955-02-21,Person,,Reggae,RB,Pop,,
73834,Manna,187c2b71-baf4-4937-88e3-5633db77e532,Manna,United States,,,,Group,,Reggae,,,,
5829,Sean Paul,c3da3346-2643-48a7-93cd-011f6834b3d7,Sean Paul,Jamaica,JM,,1973-01-09,Person,0000000078413658,Reggae,RB,Pop,HipHop,
