artist_name	id
Lee Rocker	14873692
Feisty	114900320
Michelle Shocked	14949553
Xavier Rudd	14950013
Matisyahu	14954504
Tracy Grammer	14954870
Shannon McNally	14983148
West Indian Girl	14983401
Chicago Blues Reunion	14990423
Orchestra of St. Luke's	14996042
Turin Brakes	14999588
Monica Salmaso	15003943
Spottiswoode & His Enemies	15004052
James Blunt	15008516
Lesley Gore	15008768
Teenage Fanclub	15052624
John Proulx	15121158
The Vanity Project	15126139
Dolores O'Riordan	15126211
Phonograph	15127118
Charlie Watts	15127426
Don DiLego	15131011
Lou Rhodes	15158321
Under Byen	15158871
The Early Years	15160641
Ghostland Observatory	15160815
Earl Greyhound	15160861
Mew	15161101
Stoney	15161318
Imperial Teen	15161556
The Young Knives	15162225
The Cat Empire	15162290
Future Clouds and Radar	15162588
The Ponys	15162793
The Holloways	15163117
Greyboy Allstars	15165044
Paula	15166669
Dave Wakeling	15167632
Pacha Massive	15168030
Michael Ramos	15182988
Apostle of Hustle	15196562
Nicole Atkins	15236844
Jarvis Cocker	15238510
Albert Hammond, Jr.	15238833
Page France	15239113
Serena Ryder	15239821
Candye Kane	15279324
Lucas van Merwijk	15299521
Nanci Griffith	15304179
Sarah Morrow	15317573
Peter Martin	15320771
Loreena McKennitt	15339185
James Morrison	15355640
Kim Taylor	15356397
Jesse Malin	15357622
Ensemble Galilei	15383144
Edie Brickell & New Bohemians	15623201
Wisely	15637881
The Gabe Dixon Band	15641508
The Psychedelic Furs	15643477
The Subdudes	15648379
Robinella	15648494
Willie Nile	15656902
Dirtie Blonde	15656952
Lewis Taylor	15661680
Kyle Hollingsworth	15663020
Southern Culture on the Skids	15663626
Marah	15663766
Steve Kimock	15663912
Echo & the Bunnymen	15665405
Lake Trout	15665642
Kate Earl	15667469
The Fray	15669215
Chocolate Genius	15675197
Rob Dickinson	15675847
Fruit	15677015
Shawn Amos	15678632
Garage a Trois	15678787
Charlie Sexton	15678919
Greg Greenway	15736211
The Epochs	15857854
The Blakes	15858604
Bobby Watson	15898140
Little Wings	16018758
Hands Down Eugene	16041076
Nicole Willis	16051717
Alex Soria	16054267
Ceann	16054539
The Slackers	16070909
Sara Bareilles	16073489
Twink	16147289
Christopher Denny	16258947
Michael Kocour	16295014
Eric Andersen	16424910
Anja Garbarek	16463048
Goldmund	16500976
Dave Peck	16627108
Shuta Hasunuma	16659773
Sarah Asher	16745608
Say Hi	16850529
Marley Carroll	16969772
Dirty on Purpose	17032868
