,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3001,410,Ace Hood,Ace Hood,Featuring Trey Songz,Gutta,Ride,266,0,2008,364,b,1,0,0,1,90,12/6/2008,12/6/2008 0:00,0,0.88997555,4,0,Ride,-2,5/9/2010,Ride,25522,38102,1.492908079,12580,1,1,ace_hood,41,44,62,51,34,34,30,30,29,-0.7,90,FALSE
3002,410,Ace Hood,Ace Hood,Featuring Trey Songz,Gutta,Ride,266,0,2008,364,b,1,0,0,1,90,12/6/2008,12/6/2008 0:00,0,0.88997555,4,0,Ride,-2,1/26/2014,Ride,365,580,1.589041096,215,0,1,ace_hood,41,44,62,51,34,34,30,30,29,-0.7,90,FALSE
3003,410,Ace Hood,Ace Hood,Featuring Trey Songz,Gutta,Ride,266,0,2008,364,b,1,0,0,1,90,12/6/2008,12/6/2008 0:00,0,0.88997555,4,0,Ride,-1.571428571,5/9/2010,Ride,25522,38102,1.492908079,12580,1,1,ace_hood,41,44,62,51,34,34,30,30,29,-0.7,90,TRUE
3004,410,Ace Hood,Ace Hood,Featuring Trey Songz,Gutta,Ride,266,0,2008,364,b,1,0,0,1,90,12/6/2008,12/6/2008 0:00,0,0.88997555,4,0,Ride,-1.571428571,1/26/2014,Ride,365,580,1.589041096,215,0,1,ace_hood,41,44,62,51,34,34,30,30,29,-0.7,90,TRUE
3161,21507,John Mayer,John Mayer,Featuring Taylor Swift,Battle Studies,Half Of My Heart,250,0,2009,112,h,2,1,0,1,25,12/5/2009,12/5/2009 0:00,0,0.256880734,1,0,Half Of My Heart,-1.857142857,6/27/2010,Half Of My Heart,39938,28231,0.70687065,-11707,1,1,john_mayer,50,61,100,72,73,64,67,51,44,5.7,25,FALSE
3162,21507,John Mayer,John Mayer,Featuring Taylor Swift,Battle Studies,Half Of My Heart,250,0,2009,112,h,2,1,0,1,25,12/5/2009,12/5/2009 0:00,0,0.256880734,1,0,Half Of My Heart,-1.857142857,6/27/2010,Half Of My Heart,39938,28231,0.70687065,-11707,1,1,john_mayer,50,61,100,72,73,64,67,51,44,5.7,88,TRUE
3230,20063,Jay-Z,Jay-Z,Featuring Mr. Hudson,The Blueprint 3,Young Forever,253,0,2009,179,h,5,0,0,1,41,9/26/2009,10/3/2009 0:00,7,0.410550459,2,1,Young Forever,-2.714285714,3/7/2010,Young Forever,131210,124245,0.946917156,-6965,0,1,jay-z,43,51,67,100,73,54,47,45,42,10.9,75,TRUE
3231,20063,Jay-Z,Jay-Z,Featuring Mr. Hudson,The Blueprint 3,Young Forever,253,0,2009,179,h,5,0,0,1,41,9/26/2009,10/3/2009 0:00,7,0.410550459,2,1,Young Forever,-2.714285714,3/7/2010,Young Forever,131210,124245,0.946917156,-6965,0,1,jay-z,43,51,67,100,73,54,47,45,42,10.9,97,TRUE
3286,24967,LMFAO,LMFAO,,Party Rock,La La La,210,0,2009,234,h,7,0,0,1,55,10/3/2009,10/10/2009 0:00,7,0.536697248,2,1,La La La,-2.285714286,3/9/2014,La La La,6015,7232,1.202327515,1217,0,1,lmfao,11,11,16,20,20,18,15,17,15,2.7,61,FALSE
3287,24967,LMFAO,LMFAO,,Party Rock,La La La,210,0,2009,234,h,7,0,0,1,55,10/3/2009,10/10/2009 0:00,7,0.536697248,2,1,La La La,-1.857142857,3/9/2014,La La La,6015,7232,1.202327515,1217,1,1,lmfao,11,11,16,20,20,18,15,17,15,2.7,61,TRUE
3339,25292,Love And Theft,Love And Theft,,World Wide Open,Runaway,229,0,2009,282,h,11,0,0,1,65,9/12/2009,9/12/2009 0:00,0,0.646788991,3,1,Runaway,3.714285714,10/24/2010,Runaway,419805,257340,0.612998892,-162465,0,0,love_and_theft,32,36,36,34,33,29,31,34,32,0,65,TRUE
3474,22964,Keith Urban,Keith Urban,,Defying Gravity,I'm In,273,0,2009,409,h,1,0,0,1,94,4/4/2009,4/4/2009 0:00,0,0.938073394,4,0,I'm In,-1.285714286,6/20/2010,I'm In,12553,10724,0.854297777,-1829,0,1,keith_urban,39,47,50,52,54,56,51,48,53,3.5,94,TRUE
