id,type,title,short_title,score,url,time_tbd,date_tbd,datetime_local,datetime_utc,created_at,query_performer,num_performers,performer_ids,performer_slugs,venue_id,venue_slug,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price
2599027,concert,Katy Perry,Katy Perry,0.7761,https://seatgeek.com/katy-perry-tickets/lima-jockey-club-del-peru-2015-09-22-3-30-am/concert/2599027/,True,False,2015-09-22T03:30:00,2015-09-22T08:30:00,2015-04-29T00:00:00,1031,1,[1031],[1031],31784,jockey-club-del-peru,,,,,
2590287,concert,Katy Perry,Katy Perry,0.77647,https://seatgeek.com/katy-perry-tickets/sao-paulo-allianz-parque-1-2015-09-25-9-pm/concert/2590287/,False,False,2015-09-25T21:00:00,2015-09-26T00:00:00,2015-04-16T00:00:00,1031,1,[1031],[1031],29937,allianz-parque-1,2,345.5,,324.0,367.0
2658683,concert,Katy Perry,Katy Perry,0.7761,https://seatgeek.com/katy-perry-tickets/santiago-chile-estadio-nacional-2015-10-06-3-30-am/concert/2658683/,True,False,2015-10-06T03:30:00,2015-10-06T07:30:00,2015-06-24T00:00:00,1031,1,[1031],[1031],9869,estadio-nacional,,,,,
2599362,concert,Katy Perry,Katy Perry,0.77638,https://seatgeek.com/katy-perry-tickets/san-juan-coliseo-de-puerto-rico-2015-10-12-3-30-am/concert/2599362/,True,False,2015-10-12T03:30:00,2015-10-12T07:30:00,2015-04-29T00:00:00,1031,1,[1031],[1031],7870,coliseo-de-puerto-rico,,,,,
2367207,concert,Usher,Usher,0.70383,https://seatgeek.com/usher-tickets/vancouver-canada-rogers-arena-2017-11-27-7-30-pm/concert/2367207/,False,False,2017-11-27T19:30:00,2017-11-28T03:30:00,2014-10-09T00:00:00,1969,1,[1969],[1969],2983,rogers-arena,,,,,
2698514,concert,Far East Movement,Far East Movement,,https://seatgeek.com/far-east-movement-tickets/reno-nevada-lex-nightclub-2015-08-07-10-pm/concert/2698514/,False,False,2015-08-07T22:00:00,2015-08-08T05:00:00,2015-07-21T00:00:00,6332,1,[6332],[6332],76071,lex-nightclub,,,,,
2688883,concert,Far East Movement with Hook N Sling,Far East Movement with Hook N Sling,0.52456,https://seatgeek.com/far-east-movement-with-hook-n-sling-tickets/los-angeles-california-exchange-la-2015-08-21-10-pm/concert/2688883/,False,False,2015-08-21T22:00:00,2015-08-22T05:00:00,2015-07-17T00:00:00,6332,2,"[6332, 22348]","[6332, 22348]",7336,exchange-la,,,,,
2449355,concert,Country Jam with Sam Hunt and Hunter Hayes and Lady Antebellum and Granger Smith,Country Jam with Sam Hunt and Hunter Hayes and Lady Antebellum and Granger Smith,0.37518,https://seatgeek.com/country-jam-with-sam-hunt-and-hunter-hayes-and-lady-antebellum-and-granger-smith-tickets/eau-claire-wisconsin-country-jam-usa-2015-07-23-2-pm/concert/2449355/,False,False,2015-07-23T14:00:00,2015-07-23T19:00:00,2014-12-15T00:00:00,1082,6,"[1082, 10073, 11264, 16115, 249686, 300222]","[1082, 10073, 11264, 16115, 249686, 300222]",2176,country-jam-usa,,,,,
2581995,concert,Lady Antebellum with Hunter Hayes,Lady Antebellum with Hunter Hayes,0.68508,https://seatgeek.com/lady-antebellum-with-hunter-hayes-tickets/sioux-falls-south-dakota-denny-sanford-premier-center-2015-07-24-7-pm/concert/2581995/,False,False,2015-07-24T19:00:00,2015-07-25T00:00:00,2015-04-04T00:00:00,1082,2,"[1082, 11264]","[1082, 11264]",60477,denny-sanford-premier-center,251,119.0,,76.0,11946.0
2589202,concert,Lady Antebellum with Sam Hunt and Hunter Hayes,Lady Antebellum with Sam Hunt and Hunter Hayes,0.65296,https://seatgeek.com/lady-antebellum-with-sam-hunt-and-hunter-hayes-tickets/wichita-kansas-intrust-bank-arena-2015-07-25-7-pm/concert/2589202/,False,False,2015-07-25T19:00:00,2015-07-26T00:00:00,2015-04-14T00:00:00,1082,3,"[1082, 11264, 249686]","[1082, 11264, 249686]",1568,intrust-bank-arena,167,132.0,,71.0,769.0
2547410,concert,Lady Antebellum with Hunter Hayes and Sam Hunt,Lady Antebellum with Hunter Hayes and Sam Hunt,0.65024,https://seatgeek.com/lady-antebellum-with-hunter-hayes-and-sam-hunt-tickets/englewood-colorado-fiddler-s-green-amphitheatre-2015-07-26-7-pm/concert/2547410/,False,False,2015-07-26T19:00:00,2015-07-27T01:00:00,2015-03-10T00:00:00,1082,3,"[1082, 11264, 249686]","[1082, 11264, 249686]",3703,fiddler-s-green-amphitheatre,214,77.0,55.0,55.0,967.0
2499842,concert,Country Megaticket: Hunter Hayes with Lady Antebellum and Sam Hunt,Country Megaticket: Hunter Hayes with Lady Antebellum and Sam Hunt,0.68002,https://seatgeek.com/country-megaticket-hunter-hayes-with-lady-antebellum-and-sam-hunt-tickets/west-valley-city-utah-usana-amphitheatre-2015-07-29-7-pm/concert/2499842/,False,False,2015-07-29T19:00:00,2015-07-30T01:00:00,2015-01-31T00:00:00,1082,4,"[1082, 4286, 11264, 249686]","[1082, 4286, 11264, 249686]",77,usana-amphitheatre,278,136.0,82.0,58.0,742.0
2469451,concert,Lady Antebellum,Lady Antebellum,0.65361,https://seatgeek.com/lady-antebellum-tickets/salt-lake-city-utah-energysolutions-arena-2015-07-29-7-pm/concert/2469451/,False,False,2015-07-29T19:00:00,2015-07-30T01:00:00,2015-01-09T00:00:00,1082,1,[1082],[1082],188,energysolutions-arena,,,,,
2576515,concert,Lady Antebellum,Lady Antebellum,0.60081,https://seatgeek.com/lady-antebellum-tickets/lethbridge-enmax-centre-2015-08-01-8-pm/concert/2576515/,False,False,2015-08-01T20:00:00,2015-08-02T02:00:00,2015-03-30T00:00:00,1082,1,[1082],[1082],698,enmax-centre,,,,,
2468699,concert,Country Megaticket: Hunter Hayes with Lady Antebellum and Sam Hunt,Country Megaticket: Hunter Hayes with Lady Antebellum and Sam Hunt,0.70964,https://seatgeek.com/country-megaticket-hunter-hayes-with-lady-antebellum-and-sam-hunt-tickets/charlotte-north-carolina-pnc-music-pavilion-2015-08-07-7-pm/concert/2468699/,False,False,2015-08-07T19:00:00,2015-08-07T23:00:00,2015-01-08T00:00:00,1082,4,"[1082, 4286, 11264, 249686]","[1082, 4286, 11264, 249686]",62,pnc-music-pavilion,731,95.0,46.0,46.0,6887.0
