id,type,title,short_title,score,url,time_tbd,date_tbd,datetime_local,datetime_utc,created_at,query_performer,num_performers,performer_ids,performer_slugs,venue_id,venue_slug,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price
2578057,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.5968,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/new-york-new-york-rumsey-playfield-central-park-2015-07-22-7-pm/concert/2578057/,False,False,2015-07-22T19:00:00,2015-07-22T23:00:00,2015-03-31T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",4763,rumsey-playfield-central-park,1,147.0,,147.0,147.0
2679211,concert,Milky Chance,Milky Chance,0.58876,https://seatgeek.com/milky-chance-tickets/toronto-echo-beach-2015-07-23-5-pm/concert/2679211/,False,False,2015-07-23T17:00:00,2015-07-23T21:00:00,2015-07-08T00:00:00,263458,1,[263458],[263458],8034,echo-beach,0,,,,
2590594,music_festival,"Edgefest with The Zolas, X Ambassadors, Milky Chance","Edgefest with The Zolas, X Ambassadors, Milky Chance",0.57354,https://seatgeek.com/edgefest-with-the-zolas-x-ambassadors-milky-chance-tickets/toronto-echo-beach-2015-07-23-5-pm/music-festival/2590594/,False,False,2015-07-23T17:00:00,2015-07-23T21:00:00,2015-04-16T00:00:00,263458,4,"[4437, 61419, 142574, 263458]","[4437, 61419, 142574, 263458]",8034,echo-beach,14,95.5,,84.0,173.0
2578132,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.58463,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/chicago-illinois-aragon-ballroom-2015-07-24-8-pm/concert/2578132/,False,False,2015-07-24T20:00:00,2015-07-25T01:00:00,2015-03-31T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",999,aragon-ballroom,98,64.0,,43.0,547.0
2526547,concert,96.5 The Buzz Beachball: MisterWives with Alt-J and Robert DeLong and Hanni El Khatib and Buzz Beach Ball,96.5 The Buzz Beachball: MisterWives with Alt-J and Robert DeLong and Hanni El Khatib and Buzz Beach Ball,0.61835,https://seatgeek.com/96-5-the-buzz-beachball-misterwives-with-alt-j-and-robert-delong-and-hanni-el-khatib-and-buzz-beach-ball-tickets/kansas-city-kansas-sporting-park-2015-07-25-2-pm/concert/2526547/,False,False,2015-07-25T14:00:00,2015-07-25T19:00:00,2015-02-24T00:00:00,263458,12,"[90, 1869, 2254, 10022, 11071, 14461, 16792, 35278, 105219, 107510, 252262, 263458]","[90, 1869, 2254, 10022, 11071, 14461, 16792, 35278, 105219, 107510, 252262, 263458]",4112,sporting-park,111,104.0,34.0,34.0,884.0
2579786,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.54077,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/philadelphia-pennsylvania-skyline-stage-at-the-mann-2015-07-25-7-30-pm/concert/2579786/,False,False,2015-07-25T19:30:00,2015-07-25T23:30:00,2015-04-02T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",51246,skyline-stage-at-the-mann,7,272.0,,225.0,542.0
2577781,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.56151,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/washington-district-of-columbia-echostage-1-2015-07-27-7-pm/concert/2577781/,False,False,2015-07-27T19:00:00,2015-07-27T23:00:00,2015-03-31T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",16077,echostage-1,46,72.5,,46.0,550.0
2577829,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.56494,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/philadelphia-pennsylvania-skyline-stage-at-the-mann-2015-07-28-7-30-pm/concert/2577829/,False,False,2015-07-28T19:30:00,2015-07-28T23:30:00,2015-03-31T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",51246,skyline-stage-at-the-mann,127,58.0,,39.0,487.0
2578134,concert,Milky Chance with X Ambassadors,Milky Chance with X Ambassadors,0.5732,https://seatgeek.com/milky-chance-with-x-ambassadors-tickets/boston-massachusetts-house-of-blues-boston-2015-07-30-8-pm/concert/2578134/,False,False,2015-07-30T20:00:00,2015-07-31T00:00:00,2015-03-31T00:00:00,263458,2,"[142574, 263458]","[142574, 263458]",517,house-of-blues-boston,60,104.0,,62.0,442.0
2563446,music_festival,"Osheaga Music & Arts Festival (3 Day Pass) with Weezer, Interpol, Florence and the Machine","Osheaga Music & Arts Festival (3 Day Pass) with Weezer, Interpol, Florence and the Machine",0.59664,https://seatgeek.com/osheaga-music-arts-festival-3-day-pass-with-weezer-interpol-florence-and-the-machine-tickets/montreal-parc-jean-drapeau-2015-07-31-1-pm/music-festival/2563446/,False,False,2015-07-31T13:00:00,2015-07-31T17:00:00,2015-03-25T00:00:00,263458,86,"[89, 275, 362, 574, 810, 890, 1314, 1673, 1768, 1774, 1824, 1901, 2378, 2398, 4145, 4417, 4521, 4772, 4791, 4939, 5202, 6102, 6170, 6182, 6322, 6955, 7499, 7634, 8741, 9719, 11306, 13719, 14279, 15107, 15670, 15962, 16709, 16792, 16801, 16934, 16943, 17082, 17842, 18396, 18437, 19219, 26020, 26443, 28539, 38224, 40172, 40342, 43164, 59141, 61049, 62195, 71524, 94867, 97574, 100845, 102703, 105219, 126369, 141310, 142574, 143881, 152016, 152080, 160227, 161137, 162066, 195842, 247194, 258952, 263458, 266387, 267488, 270589, 272390, 276657, 276698, 282012, 283243, 290383, 293035, 305376]","[89, 275, 362, 574, 810, 890, 1314, 1673, 1768, 1774, 1824, 1901, 2378, 2398, 4145, 4417, 4521, 4772, 4791, 4939, 5202, 6102, 6170, 6182, 6322, 6955, 7499, 7634, 8741, 9719, 11306, 13719, 14279, 15107, 15670, 15962, 16709, 16792, 16801, 16934, 16943, 17082, 17842, 18396, 18437, 19219, 26020, 26443, 28539, 38224, 40172, 40342, 43164, 59141, 61049, 62195, 71524, 94867, 97574, 100845, 102703, 105219, 126369, 141310, 142574, 143881, 152016, 152080, 160227, 161137, 162066, 195842, 247194, 258952, 263458, 266387, 267488, 270589, 272390, 276657, 276698, 282012, 283243, 290383, 293035, 305376]",5120,parc-jean-drapeau,7,1371.0,,709.0,1454.0
