id,name,country,city,state,extended_address,url,display_location,score,postal_code,address,timezone,slug,event_count,lat,lon
4763,"Rumsey Playfield, Central Park",US,New York,NY,"New York, NY 10022",https://seatgeek.com/venues/rumsey-playfield-central-park/tickets/,"New York, NY",0.66279,10022,East 72nd Street and Park Drive N,America/New_York,rumsey-playfield-central-park,17,40.7711,-73.9639
8034,Echo Beach,Canada,Toronto,ON,"Toronto, Canada",https://seatgeek.com/venues/echo-beach/tickets/,"Toronto, Canada",0.59532,M6K 3L3,909 Lakeshore Blvd,America/Toronto,echo-beach,8,43.6589,-79.3284
999,Aragon Ballroom,US,Chicago,IL,"Chicago, IL 60640",https://seatgeek.com/venues/aragon-ballroom/tickets/,"Chicago, IL",0.65737,60640,1106 W. Lawrence Ave.,America/Chicago,aragon-ballroom,11,41.9694,-87.6579
4112,Sporting Park,US,Kansas City,KS,"Kansas City, KS 66111",https://seatgeek.com/venues/sporting-park/tickets/,"Kansas City, KS",0.70548,66111,1 Sporting Way,America/Chicago,sporting-park,9,39.1232,-94.8242
51246,Skyline Stage at The Mann,US,Philadelphia,PA,"Philadelphia, PA 19131",https://seatgeek.com/venues/skyline-stage-at-the-mann/tickets/,"Philadelphia, PA",0.0,19131,5201 Parkside Avenue,America/New_York,skyline-stage-at-the-mann,3,39.98,-75.22
16077,Echostage,US,Washington,DC,"Washington, DC 20018",https://seatgeek.com/venues/echostage-1/tickets/,"Washington, DC",0.63168,20018,2135 Queens Chapel Road NE,America/New_York,echostage-1,22,38.9197,-76.9727
517,House of Blues Boston,US,Boston,MA,"Boston, MA 02215",https://seatgeek.com/venues/house-of-blues-boston/tickets/,"Boston, MA",0.62895,02215,15 Lansdowne St.,America/New_York,house-of-blues-boston,43,42.2913,-71.0889
5120,Parc Jean-Drapeau,Canada,Montreal,QC,"Montreal, Canada",https://seatgeek.com/venues/parc-jean-drapeau/tickets/,"Montreal, Canada",0.63345,H3C 1A9,160 Chemin Tour,America/Toronto,parc-jean-drapeau,11,45.5137,-73.5342
170,Cricket Wireless Amphitheater - KS,US,Bonner Springs,KS,"Bonner Springs, KS 66012",https://seatgeek.com/venues/cricket-wireless-amphitheater-ks/tickets/,"Bonner Springs, KS",0.67718,66012,633 North 130th Street,America/Chicago,cricket-wireless-amphitheater-ks,7,39.1102,-94.8816
85,BOK Center,US,Tulsa,OK,"Tulsa, OK 74103",https://seatgeek.com/venues/bok-center/tickets/,"Tulsa, OK",0.76012,74103,200 South Denver,America/Chicago,bok-center,37,36.1531,-95.9951
55,The Cynthia Woods Mitchell Pavilion,US,The Woodlands,TX,"The Woodlands, TX 77380",https://seatgeek.com/venues/the-cynthia-woods-mitchell-pavilion-1/tickets/,"The Woodlands, TX",0.74929,77380,2005 Lake Robbins Drive,America/Chicago,the-cynthia-woods-mitchell-pavilion-1,29,30.1641,-95.4626
54,Gexa Energy Pavilion,US,Dallas,TX,"Dallas, TX 75210",https://seatgeek.com/venues/gexa-energy-pavilion/tickets/,"Dallas, TX",0.77909,75210,1818 1st Ave,America/Chicago,gexa-energy-pavilion,25,32.77,-96.76
42026,Austin360 Amphitheater,US,Austin,TX,"Austin, TX 78617",https://seatgeek.com/venues/austin360-amphitheater-1/tickets/,"Austin, TX",0.77984,78617,9201 Circuit of the Americas Blvd,America/Chicago,austin360-amphitheater-1,22,30.1329,-97.6407
3701,Isleta Amphitheater,US,Albuquerque,NM,"Albuquerque, NM 87105",https://seatgeek.com/venues/isleta-amphitheater/tickets/,"Albuquerque, NM",0.69012,87105,5601 University Blvd. SE,America/Denver,isleta-amphitheater,18,34.9974,-106.622
3703,Fiddler's Green Amphitheatre,US,Englewood,CO,"Englewood, CO 80111",https://seatgeek.com/venues/fiddler-s-green-amphitheatre/tickets/,"Englewood, CO",0.7358,80111,6350 Greenwood Plaza Blvd,America/Denver,fiddler-s-green-amphitheatre,14,39.6008,-104.894
77,USANA Amphitheatre,US,West Valley City,UT,"West Valley City, UT 84118",https://seatgeek.com/venues/usana-amphitheatre/tickets/,"West Valley City, UT",0.64047,84118,5150 South 6055 West,America/Denver,usana-amphitheatre,17,40.6577,-112.035
3062,Amphitheater Northwest,US,Ridgefield,WA,"Ridgefield, WA 98642",https://seatgeek.com/venues/amphitheater-northwest/tickets/,"Ridgefield, WA",0.68383,98642,17200 NE Delfel Road,America/Los_Angeles,amphitheater-northwest,7,45.7471,-122.663
148,White River Amphitheatre,US,Auburn,WA,"Auburn, WA 98092",https://seatgeek.com/venues/white-river-amphitheatre/tickets/,"Auburn, WA",0.69485,98092,40601 Auburn Enumclaw Road,America/Los_Angeles,white-river-amphitheatre,9,47.2369,-122.108
65,Hersheypark Stadium,US,Hershey,PA,"Hershey, PA 17033",https://seatgeek.com/venues/hersheypark-stadium/tickets/,"Hershey, PA",0.81493,17033,100 W. Hersheypark Dr.,America/New_York,hersheypark-stadium,6,40.288,-76.6545
66917,Atlantic City Beach,US,Atlantic City,NJ,"Atlantic City, NJ 08401",https://seatgeek.com/venues/atlantic-city-beach/tickets/,"Atlantic City, NJ",0.53993,08401,3211 Boardwalk,America/New_York,atlantic-city-beach,3,39.3507,-74.4489
