artist,tracks,tracks10,tracks40,weeks_total,weeks_total10,weeks_total40,highest,longest,longest40,longest10,first_entered,last_entered,peak_date,first_track_idx,last_track_idx,highest_track_idx,longest_track_idx
Zach Sobiech,1,0,1,2,0,1,26,2,1,0,2013-06-09 00:00:00,2013-06-09 00:00:00,2013-06-09 00:00:00,39894,39894,39894,39894
Soulja Boy Tell'em,1,0,1,16,0,4,34,16,4,0,2010-07-04 00:00:00,2010-07-04 00:00:00,2010-08-22 00:00:00,35004,35004,35004,35004
Austin Mahone,2,0,0,24,0,0,49,15,0,0,2013-06-30 00:00:00,2014-02-09 00:00:00,2014-05-04 00:00:00,2453,2452,2452,2452
Britney Spears,7,3,4,91,18,54,1,24,23,9,2011-01-30 00:00:00,2013-11-24 00:00:00,2011-01-30 00:00:00,6231,6230,6231,6232
Diggy,1,0,0,8,0,0,80,8,0,0,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-04-08 00:00:00,10426,10426,10426,10426
Fitz And The Tantrums,1,0,0,12,0,0,67,12,0,0,2014-03-16 00:00:00,2014-03-16 00:00:00,2014-04-27 00:00:00,13766,13766,13766,13766
Childish Gambino,2,0,0,20,0,0,64,19,0,0,2013-12-22 00:00:00,2013-12-29 00:00:00,2014-10-26 00:00:00,7853,7854,7854,7854
Glen Campbell,1,0,0,1,0,0,90,1,0,0,2014-11-02 00:00:00,2014-11-02 00:00:00,2014-11-02 00:00:00,16341,16341,16341,16341
Natalie La Rose,1,0,1,8,0,5,15,8,5,0,2015-02-08 00:00:00,2015-02-08 00:00:00,2015-03-22 00:00:00,27998,27998,27998,27998
Mary Mary,1,0,0,5,0,0,94,5,0,0,2011-03-20 00:00:00,2011-03-20 00:00:00,2011-04-17 00:00:00,26395,26395,26395,26395
Lucy Hale,1,0,0,1,0,0,88,1,0,0,2014-01-26 00:00:00,2014-01-26 00:00:00,2014-01-26 00:00:00,25366,25366,25366,25366
MKTO,1,0,1,27,0,17,14,27,17,0,2014-03-02 00:00:00,2014-03-02 00:00:00,2014-07-20 00:00:00,27396,27396,27396,27396
Tinashe,1,0,1,23,0,16,24,23,16,0,2014-05-25 00:00:00,2014-05-25 00:00:00,2014-08-10 00:00:00,37064,37064,37064,37064
Sean Kingston,4,0,2,57,0,18,15,20,11,0,2010-04-11 00:00:00,2013-05-05 00:00:00,2010-05-16 00:00:00,34059,34058,34059,34060
Ca$h Out,1,0,0,3,0,0,98,3,0,0,2014-07-13 00:00:00,2014-07-13 00:00:00,2014-07-27 00:00:00,6781,6781,6781,6781
Keith Urban,12,0,2,185,0,7,26,19,4,0,2010-01-31 00:00:00,2015-03-15 00:00:00,2013-11-24 00:00:00,22959,22982,22952,22952
Samantha Barks,1,0,0,1,0,0,97,1,0,0,2013-01-20 00:00:00,2013-01-20 00:00:00,2013-01-20 00:00:00,33664,33664,33664,33664
Juliet Simms,2,0,0,2,0,0,70,1,0,0,2012-04-29 00:00:00,2012-05-20 00:00:00,2012-05-20 00:00:00,22442,22441,22441,22441
Ed Sheeran,8,1,6,115,14,56,2,33,17,14,2012-07-29 00:00:00,2014-12-21 00:00:00,2015-02-01 00:00:00,11776,11778,11775,11776
