artist,AB,ACT,AK,AL,AR,AZ,Australia,BC,CA,CO,CT,Canada,Concert,DC,DE,FL,Festival,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NH,NJ,NL,NM,NS,NSW,NT,NV,NY,OH,OK,ON,OR,PA,QC,QLD,RI,SA,SC,SD,SK,TAS,TN,TX,US,UT,VA,VIC,VT,WA,WI,WV,WY,headline,total
Austin Mahone,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0,2.0,10.0,154.0,3.0,2.0,12.0,4.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,0.0,7.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,127.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,106.0,158
Britney Spears,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,5.0,208.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,128.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,165.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,188.0,210
Childish Gambino,0.0,0.0,0.0,2.0,0.0,3.0,8.0,3.0,33.0,4.0,0.0,14.0,165.0,3.0,1.0,4.0,45.0,6.0,1.0,2.0,0.0,9.0,1.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,9.0,12.0,2.0,0.0,7.0,2.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,16.0,166.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,134.0,210
Glen Campbell,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,15.0,2.0,0.0,3.0,193.0,4.0,1.0,11.0,2.0,1.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,2.0,5.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,6.0,10.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,144.0,1.0,0.0,2.0,0.0,3.0,5.0,2.0,0.0,181.0,195
Mary Mary,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,73.0,6.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,85.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,87
Lucy Hale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9
MKTO,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,17.0,3.0,0.0,7.0,124.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,7.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,113.0,1.0,2.0,1.0,0.0,4.0,3.0,1.0,0.0,55.0,127
Tinashe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sean Kingston,0.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,21.0,3.0,1.0,12.0,146.0,0.0,0.0,9.0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,6.0,2.0,8.0,2.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,114.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,63.0,158
Keith Urban,7.0,0.0,0.0,3.0,0.0,4.0,23.0,3.0,21.0,10.0,1.0,41.0,254.0,3.0,1.0,7.0,51.0,6.0,0.0,3.0,0.0,8.0,5.0,2.0,1.0,8.0,3.0,2.0,3.0,1.0,5.0,2.0,7.0,0.0,0.0,4.0,8.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,7.0,0.0,8.0,9.0,15.0,3.0,16.0,2.0,10.0,2.0,8.0,7.0,2.0,1.0,0.0,4.0,0.0,24.0,11.0,241.0,1.0,2.0,5.0,1.0,4.0,11.0,3.0,2.0,251.0,305
