artist,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York_x,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington_x,West Virginia,Wisconsin,Wyoming,Abilene-Sweetwater TX,Albany GA,Albany-Schenectady-Troy NY,Albuquerque-Santa Fe NM,Alexandria LA,Alpena MI,Amarillo TX,Anchorage AK,Atlanta GA,Augusta GA,Austin TX,Bakersfield CA,Baltimore MD,Bangor ME,Baton Rouge LA,Beaumont-Port Arthur TX,Bend OR,Billings MT,Biloxi-Gulfport MS,Binghamton NY,Birmingham AL,Bluefield-Beckley-Oak Hill WV,Boise ID,Boston MA-Manchester NH,Bowling Green KY,Buffalo NY,Burlington VT-Plattsburgh NY,Butte-Bozeman MT,Casper-Riverton WY,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,Champaign & Springfield-Decatur IL,Charleston SC,Charleston-Huntington WV,Charlotte NC,Charlottesville VA,Chattanooga TN,Cheyenne WY-Scottsbluff NE,Chicago IL,Chico-Redding CA,Cincinnati OH,Clarksburg-Weston WV,Cleveland-Akron (Canton) OH,Colorado Springs-Pueblo CO,Columbia SC,Columbia-Jefferson City MO,Columbus GA,Columbus OH,Columbus-Tupelo-West Point MS,Corpus Christi TX,Dallas-Ft. Worth TX,Davenport IA-Rock Island-Moline IL,Dayton OH,Denver CO,Des Moines-Ames IA,Detroit MI,Dothan AL,Duluth MN-Superior WI,El Paso TX,Elmira NY,Erie PA,Eugene OR,Eureka CA,Evansville IN,Fairbanks AK,Fargo-Valley City ND,Flint-Saginaw-Bay City MI,Florence-Myrtle Beach SC,Fresno-Visalia CA,Ft. Myers-Naples FL,Ft. Smith-Fayetteville-Springdale-Rogers AR,Ft. Wayne IN,Gainesville FL,Glendive MT,Grand Junction-Montrose CO,Grand Rapids-Kalamazoo-Battle Creek MI,Great Falls MT,Green Bay-Appleton WI,Greensboro-High Point-Winston Salem NC,Greenville-New Bern-Washington NC,Greenville-Spartanburg SC-Asheville NC-Anderson SC,Greenwood-Greenville MS,Harlingen-Weslaco-Brownsville-McAllen TX,Harrisburg-Lancaster-Lebanon-York PA,Harrisonburg VA,Hartford & New Haven CT,Hattiesburg-Laurel MS,Helena MT,Honolulu HI,Houston TX,Huntsville-Decatur (Florence) AL,Idaho Falls-Pocatello ID,Indianapolis IN,Jackson MS,Jackson TN,Jacksonville FL,Johnstown-Altoona PA,Jonesboro AR,Joplin MO-Pittsburg KS,Juneau AK,Kansas City MO,Knoxville TN,La Crosse-Eau Claire WI,Lafayette IN,Lafayette LA,Lake Charles LA,Lansing MI,Laredo TX,Las Vegas NV,Lexington KY,Lima OH,Lincoln & Hastings-Kearney NE,Little Rock-Pine Bluff AR,Los Angeles CA,Louisville KY,Lubbock TX,Macon GA,Madison WI,Mankato MN,Marquette MI,Medford-Klamath Falls OR,Memphis TN,Meridian MS,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Minot-Bismarck-Dickinson(Williston) ND,Missoula MT,Mobile AL-Pensacola (Ft. Walton Beach) FL,Monroe LA-El Dorado AR,Monterey-Salinas CA,Montgomery (Selma) AL,Nashville TN,New Orleans LA,New York NY,Norfolk-Portsmouth-Newport News VA,North Platte NE,Odessa-Midland TX,Oklahoma City OK,Omaha NE,Orlando-Daytona Beach-Melbourne FL,Ottumwa IA-Kirksville MO,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,Palm Springs CA,Panama City FL,Parkersburg WV,Peoria-Bloomington IL,Philadelphia PA,Phoenix AZ,Pittsburgh PA,Portland OR,Portland-Auburn ME,Presque Isle ME,Providence RI-New Bedford MA,Quincy IL-Hannibal MO-Keokuk IA,Raleigh-Durham (Fayetteville) NC,Rapid City SD,Reno NV,Richmond-Petersburg VA,Roanoke-Lynchburg VA,Rochester MN-Mason City IA-Austin MN,Rochester NY,Rockford IL,Sacramento-Stockton-Modesto CA,Salisbury MD,Salt Lake City UT,San Angelo TX,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Santa Barbara-Santa Maria-San Luis Obispo CA,Savannah GA,Seattle-Tacoma WA,Sherman TX-Ada OK,Shreveport LA,Sioux City IA,Sioux Falls(Mitchell) SD,South Bend-Elkhart IN,Spokane WA,Springfield MO,Springfield-Holyoke MA,St. Joseph MO,St. Louis MO,Syracuse NY,Tallahassee FL-Thomasville GA,Tampa-St. Petersburg (Sarasota) FL,Terre Haute IN,Toledo OH,Topeka KS,Traverse City-Cadillac MI,Tri-Cities TN-VA,Tucson (Sierra Vista) AZ,Tulsa OK,Twin Falls ID,Tyler-Longview(Lufkin & Nacogdoches) TX,Utica NY,Victoria TX,Waco-Temple-Bryan TX,Washington DC (Hagerstown MD),Watertown NY,Wausau-Rhinelander WI,West Palm Beach-Ft. Pierce FL,Wheeling WV-Steubenville OH,Wichita Falls TX & Lawton OK,Wichita-Hutchinson KS,Wilkes Barre-Scranton PA,Wilmington NC,Yakima-Pasco-Richland-Kennewick WA,Youngstown OH,Yuma AZ-El Centro CA,Zanesville OH,Akron,Albany,Albuquerque,Ashburn,Atlanta,Auburn,Augusta,Austin,Bakersfield,Baltimore,Baton Rouge,Birmingham,Boise,Boston,Bridgeport,Brockton,Buffalo,Burlington,Cambridge,Charlotte,Chattanooga,Chicago,Chula Vista,Cincinnati,Cleveland,College Station,Colorado Springs,Columbia,Columbus,Compton,Concord,Conway,Corpus Christi,Dallas,Dalton,Dearing,Delray Beach,Denver,Detroit,Durham,El Paso,Elizabeth,Elmhurst,Fayetteville,Fort Worth,Fresno,Greensboro,Hartford,Herndon,Hialeah,Hicksville,Homestead,Honolulu,Houston,Huntsville,Indianapolis,Irvine,Jackson,Jackson,Jacksonville,Jersey City,Kansas City,Knoxville,Lancaster,Las Vegas,Leeds,Lexington,Lincoln,Little Rock,Littleton,London,Long Beach,Los Angeles,Louisville,Lubbock,Macon,Madison,McAllen,Memphis,Miami,Milpitas,Milwaukee,Minneapolis,Mobile,Modesto,Montgomery,Moreno Valley,Nashville,New Orleans,New York_y,Newark,Norfolk,Oakland,Oklahoma City,Omaha,Orlando,Paterson,Peachtree City,Pembroke Pines,Philadelphia,Phoenix,Pittsburgh,Pleasanton,Plymouth Meeting,Portland,Providence,Raleigh,Reston,Richardson,Richmond,Riverside,Rochester,Rocky Mount,Sacramento,Saint Paul,Salt Lake City,San Antonio,San Bernardino,San Diego,San Francisco,San Jose,Santa Ana,Santa Clara,Savannah,Seattle,Sheridan,Spokane,St. Louis,State College,Sterling,Stockbridge,Stockton,Syracuse,Tallahassee,Tampa,Tempe,Toledo,Tucson,Tulsa,Victorville,Virginia Beach,Washington_y,Yonkers
Zach Sobiech,0,0,10,0,10,16,15,0,0,10,8,0,0,15,18,35,0,0,0,0,12,17,17,100,0,12,0,0,0,0,11,0,10,13,0,15,0,13,14,0,0,0,0,9,0,0,8,15,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,35.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Mahone,66,43,66,64,50,56,58,58,12,61,53,51,69,72,85,100,67,73,54,62,50,52,70,68,46,59,64,80,64,59,61,76,56,59,78,80,65,47,71,60,60,87,66,76,61,52,31,51,87,79,71,0,0,0,0,0,0,0,0,41,0,45,0,36,0,0,0,0,0,0,0,0,0,0,45,0,76,0,0,0,0,0,0,0,53,0,0,0,55,0,57,0,69,0,0,0,0,69,0,0,43,0,0,53,0,56,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,66,0,0,0,0,0,0,93,78,0,50,0,0,0,64,0,0,61,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,63,0,0,0,0,45,0,0,0,0,0,0,0,0,0,42,72,56,0,0,0,0,0,0,53,0,50,0,0,0,0,0,43,0,0,0,0,0,0,53,55,65,43,0,0,0,0,46,0,0,0,0,0,0,0,55,0,48,0,100,33,26,0,0,43,0,0,0,0,0,0,0,0,0,49,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,27.0,,,,34.0,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,37.0,,,,,,,,26.0,,,,,100.0,,,,,,,,,,,,34.0,,,,,,,,,,30.0,35.0,,,,,,,,,,,,,,,,78.0,,28.0,,44.0,,,,24.0,,,,,,,,,,,,,44.0,,,,,
Britney Spears,67,65,88,68,100,82,89,68,86,94,73,68,75,86,78,81,74,80,82,80,74,93,82,80,70,82,77,77,84,82,91,84,97,74,87,86,78,65,93,85,69,94,70,90,81,67,92,78,79,84,80,0,55,63,69,0,0,0,63,66,51,72,69,63,70,65,0,0,0,74,64,55,0,64,83,0,69,61,0,0,67,68,63,72,60,60,58,0,78,63,62,0,69,64,54,61,47,66,0,69,73,71,70,74,69,69,0,70,74,0,74,59,0,54,0,76,68,58,69,52,58,55,67,0,0,70,0,70,56,58,59,0,66,74,0,73,0,0,62,69,58,71,62,67,0,56,74,0,0,0,65,49,71,0,60,0,62,84,66,75,0,62,60,87,69,64,52,73,0,0,67,49,0,77,64,69,81,73,60,0,66,49,54,78,83,52,0,73,67,63,72,0,66,70,0,0,68,74,67,70,55,73,0,70,0,66,100,74,56,62,82,71,68,69,0,74,0,75,69,80,68,54,67,0,62,82,77,71,63,59,79,0,67,72,52,68,0,74,60,56,68,79,51,0,56,0,0,66,82,0,73,61,0,0,64,73,67,59,73,0,0,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,83.0,,,,,,,,98.0,,,,,,,100.0,100.0,,,,,,,,,92.0,,,,,,85.0,,,,,83.0,,83.0,,,,,,94.0,,,,,,,,80.0,,,,,,,,,,,82.0,,97.0,,,,,81.0,,,,,,,,
Diggy,90,27,43,62,38,39,55,80,56,65,93,34,25,59,57,39,44,53,100,28,94,48,65,35,98,60,27,35,45,36,57,49,58,77,30,64,46,24,59,61,84,32,67,55,27,22,40,34,39,44,0,0,0,0,0,0,0,0,0,74,0,0,0,70,0,0,0,0,0,0,0,68,0,0,34,0,0,0,0,0,0,0,0,0,63,0,0,0,51,0,48,0,56,0,0,0,0,37,0,0,47,0,0,29,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,48,0,0,0,46,0,0,55,0,0,76,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,51,50,28,0,0,0,0,0,0,49,82,49,75,0,0,0,0,43,0,0,0,0,0,0,56,36,37,0,0,0,48,0,75,0,0,87,0,0,0,0,29,0,0,0,0,28,23,0,0,31,0,0,0,0,0,0,0,0,0,52,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,64,0,0,0,0,0,0,0,0,0,,,,,49.0,,,,,86.0,,,,,,,,,,63.0,,46.0,,,,,,,49.0,,,,,45.0,,,,,99.0,,,,,,,,,,,,,,,46.0,,62.0,,,,72.0,,,,,,,,,,,,,,47.0,,,,,100.0,,,,,,,,,,,49.0,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,
Fitz And The Tantrums,34,0,50,0,66,100,49,0,40,33,43,0,69,82,68,60,51,33,27,65,65,66,62,82,0,67,0,0,57,76,41,61,46,48,0,74,41,58,67,0,54,0,51,51,59,0,34,57,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,100.0,,,,,,55.0,,,,,,,,63.0,,,,,,,89.0,,,,,,,,,91.0,,,,,,,,,,,,,,,,46.0,,69.0,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,50.0,,,,,70.0,,,,,,,,,,,,,,81.0,46.0,60.0,,,,49.0,,,,,,,,,,,,,,,,,,
Childish Gambino,50,54,84,49,74,65,81,100,44,72,73,61,55,75,82,88,63,60,63,67,95,90,81,71,47,65,60,67,82,72,81,66,84,79,52,80,55,57,87,91,69,54,61,64,52,70,52,66,53,78,46,0,0,66,0,0,0,0,0,63,0,69,0,67,0,0,0,0,0,0,0,0,0,0,71,0,54,0,0,0,0,0,0,0,54,0,0,0,60,0,64,0,58,0,0,0,0,66,0,0,46,0,0,56,0,53,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,65,0,0,48,0,54,0,0,60,0,65,0,0,52,50,0,0,66,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,63,0,0,0,0,66,0,0,0,0,0,0,0,0,0,49,69,55,0,0,0,0,0,0,55,58,72,79,0,0,0,0,59,0,0,0,0,0,0,70,70,72,43,0,0,74,0,60,0,0,81,0,0,63,0,57,0,41,0,52,66,37,100,0,52,0,0,0,0,0,0,0,86,0,49,90,0,51,0,0,0,0,0,79,0,0,0,0,0,0,38,0,0,46,0,0,0,56,0,0,0,0,0,,,,,,,,86.0,,,,,,84.0,,,,,,,,65.0,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,70.0,,,,,,,,70.0,,,,,,,,,92.0,,,,,,,,91.0,,,,,,,,,,89.0,,,,,63.0,,,,,,,,,,,,77.0,,75.0,,77.0,,,,,,,,,,,,,,,,,100.0,,,,,
Glen Campbell,63,0,48,100,30,46,41,0,32,39,44,0,0,42,61,67,57,75,46,59,33,42,48,62,54,65,0,61,44,53,37,0,37,48,0,54,71,49,46,0,50,0,76,50,46,0,28,45,80,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,63.0,,,80.0,,,,,,,,,,,,,,51.0,,,,,,,,,,,,63.0,,,,70.0,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,85.0,,,,,,,49.0,,,,,,,,,,,70.0,,,,100.0,,,,,,,,,,,,68.0,,,55.0,,,,,60.0,,,,,,,,,,,,,,,,,58.0,
Natalie La Rose,0,0,84,0,66,65,72,0,0,72,59,0,0,48,68,0,0,78,0,0,59,80,61,79,0,46,0,0,0,0,85,0,100,83,0,58,0,49,89,0,77,0,54,50,0,0,36,53,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Mary,87,36,47,65,46,45,51,62,70,62,83,38,39,54,56,44,48,63,84,42,67,49,60,47,100,59,44,47,42,39,52,50,61,79,43,61,52,36,58,50,88,44,66,58,39,45,50,44,53,51,44,39,73,34,32,0,0,26,23,51,65,32,32,43,32,63,48,0,0,46,33,59,0,24,32,0,35,28,0,0,24,35,60,34,44,39,37,0,33,26,35,0,39,32,65,34,52,36,69,29,38,30,37,31,28,39,49,28,26,0,30,23,0,34,0,29,39,60,30,33,27,32,39,0,0,35,0,29,46,51,41,100,20,34,0,36,63,0,27,39,44,0,39,66,43,48,27,0,0,0,36,32,28,0,50,0,32,0,28,37,0,33,52,31,42,37,60,31,0,0,32,57,0,35,34,30,30,0,46,59,22,71,40,48,41,55,0,35,33,32,36,0,40,30,39,0,32,43,32,35,24,28,0,34,0,52,0,29,44,35,28,37,28,27,43,26,0,29,28,23,27,51,28,0,51,31,30,37,26,29,33,0,37,33,53,38,0,36,31,31,36,26,29,0,41,0,0,35,34,0,22,38,0,0,30,33,44,27,32,0,0,,,,,94.0,,,,,100.0,,,,,,,,,,88.0,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,75.0,,,,80.0,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,79.0,,,,,,70.0,,,,82.0,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,75.0,,,,,,,85.0,
Lucy Hale,62,0,68,0,62,48,69,0,0,61,52,100,0,57,69,68,60,66,53,0,55,71,64,67,0,56,0,0,62,0,70,0,68,60,0,64,48,54,69,0,49,0,59,55,62,0,34,54,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,86.0,79.0,,,,,,,,,,,,,,,,85.0,,81.0,72.0,,,,,,,,,,,,,,,,,,,,,,,
