artist,total,daily_max,daily_min,daily_std,daily_skew,daily_q25,daily_q50,daily_q75,weekly_max,weekly_min,weekly_std,weekly_skew,weekly_q25,weekly_q50,weekly_q75,monthly_max,monthly_min,monthly_std,monthly_skew,monthly_q25,monthly_q50,monthly_q75,yearly_max,yearly_min,yearly_std,yearly_skew,yearly_q25,yearly_q50,yearly_q75
Zach Sobiech,441222,30324,0,1181.90771394,16.3696959122,0.0,0.0,127.0,101042.0,0.0,7037.99452848,11.1274672693,0.0,0.0,942.5,142051.0,0.0,19929.1383924,5.38423055643,0.0,0.0,4149.5,142051.0,0.0,19929.1383924,5.38423055643,0.0,0.0,4149.5
Soulja Boy Tell'em,31863,175,0,12.6292636414,2.89018689106,8.0,12.0,19.0,448.0,6.0,73.1754797416,2.03821842821,66.0,82.0,133.0,1589.0,103.0,282.478866138,1.804913972,308.0,352.0,587.5,1589.0,103.0,282.478866138,1.804913972,308.0,352.0,587.5
Austin Mahone,3670064,34138,0,2231.47726344,3.06279440612,1.0,1077.0,2868.5,94110.0,0.0,14467.7908424,1.63650773831,13.0,7395.0,20742.0,243192.0,0.0,59672.6895777,1.08066006972,116.0,32780.0,91389.0,243192.0,0.0,59672.6895777,1.08066006972,116.0,32780.0,91389.0
Britney Spears,25423401,72737,0,6293.22286849,1.64106133112,7737.25,12129.5,15628.0,236971.0,3994.0,39771.9122318,0.793992374529,52286.0,85547.0,107134.5,770706.0,87856.0,162163.120192,0.392943458388,226751.5,376637.0,466041.5,770706.0,87856.0,162163.120192,0.392943458388,226751.5,376637.0,466041.5
Diggy,43178,1519,0,65.3794559517,10.8770310825,3.0,10.0,19.0,4758.0,2.0,408.255550543,7.92799574553,21.0,75.0,133.5,12342.0,14.0,1605.82400526,6.38640643958,99.0,310.0,568.5,12342.0,14.0,1605.82400526,6.38640643958,99.0,310.0,568.5
Fitz And The Tantrums,1016077,2609,0,375.236707632,0.711311846547,180.0,472.0,757.5,12834.0,0.0,2474.94665772,0.350446253028,1306.0,3326.0,5246.0,41546.0,18.0,10468.3880143,0.176795183862,5699.0,15339.0,23164.0,41546.0,18.0,10468.3880143,0.176795183862,5699.0,15339.0,23164.0
Childish Gambino,1170517,14572,0,616.470930109,8.26477670308,317.0,490.0,756.0,32501.0,11.0,3660.7806175,3.13955210269,2314.0,3414.0,5264.0,74854.0,203.0,14172.3985246,1.56315548284,10014.0,15265.0,24069.5,74854.0,203.0,14172.3985246,1.56315548284,10014.0,15265.0,24069.5
Glen Campbell,4039237,207463,0,5740.23171861,25.5856243117,1095.5,1326.0,1679.0,291025.0,1511.0,21402.7388655,8.94486685059,8004.0,9476.0,12271.0,364859.0,20358.0,50827.8243752,3.92977687145,36522.0,45650.0,60604.0,364859.0,20358.0,50827.8243752,3.92977687145,36522.0,45650.0,60604.0
Natalie La Rose,237911,3669,0,403.937194579,3.68326182636,0.0,0.0,0.0,15175.0,0.0,2776.84970697,3.49627977493,0.0,0.0,6.0,53429.0,0.0,11835.3393132,3.46905767018,0.0,2.0,23.0,53429.0,0.0,11835.3393132,3.46905767018,0.0,2.0,23.0
Mary Mary,1908296,15632,0,1209.65075098,5.75045071604,460.0,655.0,961.5,34513.0,476.0,5649.38416872,2.35878174972,3311.0,4782.0,6899.5,107504.0,5021.0,22123.5047199,2.10618250127,15128.0,21230.0,32995.0,107504.0,5021.0,22123.5047199,2.10618250127,15128.0,21230.0,32995.0
Lucy Hale,8551292,252465,0,6042.26682458,34.3400984595,2179.5,3763.0,5396.0,277125.0,2715.0,21221.9454045,5.67528399111,15519.0,27270.0,38446.0,398445.0,18562.0,71826.031289,1.02081927016,69605.5,121744.0,167094.5,398445.0,18562.0,71826.031289,1.02081927016,69605.5,121744.0,167094.5
MKTO,957329,4948,0,684.499273746,1.55264045732,0.0,0.0,827.0,17924.0,0.0,4653.18470113,1.34427472704,0.0,1.0,5709.0,71142.0,0.0,19886.7571936,1.32152775347,0.0,10.0,25516.5,71142.0,0.0,19886.7571936,1.32152775347,0.0,10.0,25516.5
Tinashe,1421216,11551,0,988.479180721,2.85610642345,25.0,280.0,1002.0,54054.0,0.0,6728.40570431,2.40727545553,169.5,1993.0,6272.0,134551.0,2.0,28155.044291,1.8074971626,782.5,8826.0,25479.5,134551.0,2.0,28155.044291,1.8074971626,782.5,8826.0,25479.5
Sean Kingston,4105331,173606,0,4853.85078699,27.8936978151,781.25,1598.5,2560.75,394788.0,601.0,23830.6353232,14.1794814842,5568.5,11341.0,17133.0,341754.0,10630.0,52429.0219185,2.99811723343,24237.5,49102.0,78781.5,341754.0,10630.0,52429.0219185,2.99811723343,24237.5,49102.0,78781.5
Ca$h Out,534310,20552,0,988.30012954,12.1755990308,0.0,7.0,252.5,64544.0,0.0,5974.44503844,8.16702435112,0.0,69.0,1719.5,104189.0,0.0,17628.929631,3.66394733019,0.0,284.0,8677.0,104189.0,0.0,17628.929631,3.66394733019,0.0,284.0,8677.0
Keith Urban,6007990,74194,0,3802.45021371,10.2544926571,1776.25,2156.0,2845.25,221072.0,1989.0,19454.6578259,6.12813217168,12599.0,15831.0,21505.0,495822.0,26531.0,65835.6973164,4.0964311925,57430.5,70064.0,101407.5,495822.0,26531.0,65835.6973164,4.0964311925,57430.5,70064.0,101407.5
Samantha Barks,2821741,75299,0,3331.00507088,9.32956660507,349.0,649.0,1065.0,166391.0,111.0,20265.3440951,5.32643931543,2429.0,4663.0,8145.0,498284.0,925.0,78011.6679791,4.2889128077,11358.5,21632.0,36451.5,498284.0,925.0,78011.6679791,4.2889128077,11358.5,21632.0,36451.5
Juliet Simms,1172549,94240,0,2353.74604081,32.4502208472,185.0,244.0,643.0,95255.0,391.0,7732.60325046,7.86421175332,1292.0,1691.0,4756.0,122411.0,4275.0,21732.7542855,2.91666656101,5764.5,7091.0,24195.5,122411.0,4275.0,21732.7542855,2.91666656101,5764.5,7091.0,24195.5
Ed Sheeran,14653865,65044,0,5976.42093595,1.83381589184,1870.5,7210.0,10652.5,202650.0,0.0,37353.2455614,0.391838995778,13773.5,51107.0,76192.5,499984.0,0.0,153615.958547,-0.0630862113864,97223.5,231506.0,320079.5,499984.0,0.0,153615.958547,-0.0630862113864,97223.5,231506.0,320079.5
Alison Gold,58488,1596,0,71.5903879452,8.55941130284,0.0,0.0,30.0,4356.0,0.0,433.386524022,4.58748256664,0.0,1.0,204.5,8365.0,0.0,1576.39060719,2.30529822104,1.0,3.0,1347.0,8365.0,0.0,1576.39060719,2.30529822104,1.0,3.0,1347.0
Victorious Cast,905,13,0,1.01513067773,4.0279359526,0.0,0.0,1.0,41.0,0.0,4.65369008187,3.38668377973,0.0,1.0,4.0,79.0,0.0,16.0919452224,2.13532699174,3.0,7.0,20.0,79.0,0.0,16.0919452224,2.13532699174,3.0,7.0,20.0
Akon,13318130,110360,0,3912.63178006,10.5026747419,4078.0,6560.0,8330.25,231665.0,2780.0,21539.9282503,2.42937673159,28833.0,45586.0,57255.0,420270.0,47305.0,77168.348172,0.180504311128,131549.5,200004.0,258080.0,420270.0,47305.0,77168.348172,0.180504311128,131549.5,200004.0,258080.0
WALK THE MOON,1292745,25148,0,934.568043994,9.84612513639,1.0,390.0,918.0,37693.0,0.0,5499.08726126,2.03515922996,7.5,2745.0,6292.5,92895.0,0.0,22661.7690429,1.56879136216,134.0,11738.0,29844.5,92895.0,0.0,22661.7690429,1.56879136216,134.0,11738.0,29844.5
Missy Elliott,4865193,111484,0,3311.71187043,24.9497390103,1703.0,2290.0,2624.5,206603.0,2223.0,13192.1522392,11.0813286296,12087.0,16459.0,18462.0,292625.0,23017.0,33711.0224807,4.30348697021,55371.0,71506.0,80176.0,292625.0,23017.0,33711.0224807,4.30348697021,55371.0,71506.0,80176.0
Prince Royce,1832068,9266,0,603.566138381,3.84896814381,686.5,918.0,1135.5,19452.0,2.0,3265.89121496,-0.0256225912697,5005.5,6525.0,8112.0,49257.0,20.0,12638.9255405,-0.925240705464,22756.0,28775.0,36418.0,49257.0,20.0,12638.9255405,-0.925240705464,22756.0,28775.0,36418.0
Owl City,7478275,18859,0,2862.7909221,2.1592738802,1576.25,3078.5,4590.25,116243.0,1403.0,19102.4957642,2.01344268876,11256.0,21535.0,31637.5,472026.0,30418.0,81759.3564827,1.95566633608,48494.5,94093.0,140736.0,472026.0,30418.0,81759.3564827,1.95566633608,48494.5,94093.0,140736.0
Kiesza,1130296,6996,0,1184.82865908,2.24832273171,0.0,0.0,1.0,32307.0,0.0,8082.06712989,2.07929595502,0.0,0.0,10.0,132790.0,0.0,34806.7860154,2.0759595756,0.0,1.0,8032.5,132790.0,0.0,34806.7860154,2.0759595756,0.0,1.0,8032.5
