date,PageViews,Artist,search_term,Language
2015-05-03,15,Gus Viseur,Gus_Viseur,en
2015-05-02,15,Gus Viseur,Gus_Viseur,en
2015-05-01,7,Gus Viseur,Gus_Viseur,en
2015-05-07,13,Gus Viseur,Gus_Viseur,en
2015-05-06,20,Gus Viseur,Gus_Viseur,en
2015-05-05,11,Gus Viseur,Gus_Viseur,en
2015-05-04,17,Gus Viseur,Gus_Viseur,en
2015-05-21,7,Gus Viseur,Gus_Viseur,en
2015-05-20,18,Gus Viseur,Gus_Viseur,en
2015-05-09,7,Gus Viseur,Gus_Viseur,en
2015-05-08,11,Gus Viseur,Gus_Viseur,en
2015-05-25,12,Gus Viseur,Gus_Viseur,en
2015-05-24,28,Gus Viseur,Gus_Viseur,en
2015-05-27,5,Gus Viseur,Gus_Viseur,en
2015-05-26,12,Gus Viseur,Gus_Viseur,en
2015-05-28,9,Gus Viseur,Gus_Viseur,en
2015-05-23,12,Gus Viseur,Gus_Viseur,en
2015-05-22,17,Gus Viseur,Gus_Viseur,en
2015-05-18,15,Gus Viseur,Gus_Viseur,en
2015-05-19,13,Gus Viseur,Gus_Viseur,en
2015-05-14,36,Gus Viseur,Gus_Viseur,en
2015-05-15,47,Gus Viseur,Gus_Viseur,en
2015-05-16,13,Gus Viseur,Gus_Viseur,en
2015-05-31,9,Gus Viseur,Gus_Viseur,en
2015-05-10,7,Gus Viseur,Gus_Viseur,en
2015-05-11,25,Gus Viseur,Gus_Viseur,en
2015-05-17,14,Gus Viseur,Gus_Viseur,en
2015-05-13,14,Gus Viseur,Gus_Viseur,en
2015-05-12,9,Gus Viseur,Gus_Viseur,en
2015-05-30,26,Gus Viseur,Gus_Viseur,en
2015-05-29,8,Gus Viseur,Gus_Viseur,en
2015-05-03,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-02,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-01,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-07,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-06,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-05,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-04,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-21,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-20,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-09,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-08,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-25,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-24,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-27,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-26,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-28,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-23,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-22,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-18,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-19,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-14,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-15,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-16,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-31,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-10,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-11,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-17,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-13,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-12,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-30,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-29,0,Empire Strikes Back (Film Score),Empire_Strikes_Back_(Film_Score),en
2015-05-03,0,Saul Viera,Saul_Viera,en
2015-05-02,0,Saul Viera,Saul_Viera,en
2015-05-01,0,Saul Viera,Saul_Viera,en
2015-05-07,0,Saul Viera,Saul_Viera,en
2015-05-06,0,Saul Viera,Saul_Viera,en
2015-05-05,1,Saul Viera,Saul_Viera,en
2015-05-04,0,Saul Viera,Saul_Viera,en
2015-05-21,0,Saul Viera,Saul_Viera,en
2015-05-20,0,Saul Viera,Saul_Viera,en
2015-05-09,0,Saul Viera,Saul_Viera,en
2015-05-08,0,Saul Viera,Saul_Viera,en
2015-05-25,0,Saul Viera,Saul_Viera,en
2015-05-24,0,Saul Viera,Saul_Viera,en
2015-05-27,0,Saul Viera,Saul_Viera,en
2015-05-26,0,Saul Viera,Saul_Viera,en
2015-05-28,0,Saul Viera,Saul_Viera,en
2015-05-23,0,Saul Viera,Saul_Viera,en
2015-05-22,0,Saul Viera,Saul_Viera,en
2015-05-18,2,Saul Viera,Saul_Viera,en
2015-05-19,0,Saul Viera,Saul_Viera,en
2015-05-14,1,Saul Viera,Saul_Viera,en
2015-05-15,0,Saul Viera,Saul_Viera,en
2015-05-16,0,Saul Viera,Saul_Viera,en
2015-05-31,0,Saul Viera,Saul_Viera,en
2015-05-10,0,Saul Viera,Saul_Viera,en
2015-05-11,0,Saul Viera,Saul_Viera,en
2015-05-17,0,Saul Viera,Saul_Viera,en
2015-05-13,0,Saul Viera,Saul_Viera,en
2015-05-12,0,Saul Viera,Saul_Viera,en
2015-05-30,0,Saul Viera,Saul_Viera,en
2015-05-29,0,Saul Viera,Saul_Viera,en
2015-05-03,31,Romantics,Romantics,en
2015-05-02,21,Romantics,Romantics,en
2015-05-01,28,Romantics,Romantics,en
2015-05-07,36,Romantics,Romantics,en
2015-05-06,19,Romantics,Romantics,en
2015-05-05,38,Romantics,Romantics,en
2015-05-04,46,Romantics,Romantics,en
2015-05-21,37,Romantics,Romantics,en
2015-05-20,43,Romantics,Romantics,en
2015-05-09,31,Romantics,Romantics,en
2015-05-08,36,Romantics,Romantics,en
2015-05-25,28,Romantics,Romantics,en
2015-05-24,64,Romantics,Romantics,en
2015-05-27,23,Romantics,Romantics,en
2015-05-26,34,Romantics,Romantics,en
2015-05-28,28,Romantics,Romantics,en
2015-05-23,20,Romantics,Romantics,en
2015-05-22,23,Romantics,Romantics,en
2015-05-18,28,Romantics,Romantics,en
2015-05-19,21,Romantics,Romantics,en
2015-05-14,28,Romantics,Romantics,en
2015-05-15,26,Romantics,Romantics,en
2015-05-16,31,Romantics,Romantics,en
2015-05-31,30,Romantics,Romantics,en
