YouTube Search interest: 3 doors down
United States; Jan 2008 - Jul 2015

Interest over time
Week,3 doors down
2008-01-06 - 2008-01-12,46
2008-01-13 - 2008-01-19,43
2008-01-20 - 2008-01-26,51
2008-01-27 - 2008-02-02,47
2008-02-03 - 2008-02-09,41
2008-02-10 - 2008-02-16,46
2008-02-17 - 2008-02-23,41
2008-02-24 - 2008-03-01,49
2008-03-02 - 2008-03-08,46
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,49
2008-03-23 - 2008-03-29,52
2008-03-30 - 2008-04-05,56
2008-04-06 - 2008-04-12,62
2008-04-13 - 2008-04-19,54
2008-04-20 - 2008-04-26,65
2008-04-27 - 2008-05-03,72
2008-05-04 - 2008-05-10,73
2008-05-11 - 2008-05-17,79
2008-05-18 - 2008-05-24,94
2008-05-25 - 2008-05-31,85
2008-06-01 - 2008-06-07,94
2008-06-08 - 2008-06-14,91
2008-06-15 - 2008-06-21,85
2008-06-22 - 2008-06-28,89
2008-06-29 - 2008-07-05,78
2008-07-06 - 2008-07-12,92
2008-07-13 - 2008-07-19,99
2008-07-20 - 2008-07-26,100
2008-07-27 - 2008-08-02,94
2008-08-03 - 2008-08-09,93
2008-08-10 - 2008-08-16,85
2008-08-17 - 2008-08-23,79
2008-08-24 - 2008-08-30,86
2008-08-31 - 2008-09-06,83
2008-09-07 - 2008-09-13,82
2008-09-14 - 2008-09-20,76
2008-09-21 - 2008-09-27,73
2008-09-28 - 2008-10-04,85
2008-10-05 - 2008-10-11,76
2008-10-12 - 2008-10-18,70
2008-10-19 - 2008-10-25,69
2008-10-26 - 2008-11-01,72
2008-11-02 - 2008-11-08,71
2008-11-09 - 2008-11-15,72
2008-11-16 - 2008-11-22,72
2008-11-23 - 2008-11-29,72
2008-11-30 - 2008-12-06,69
2008-12-07 - 2008-12-13,74
2008-12-14 - 2008-12-20,68
2008-12-21 - 2008-12-27,71
2008-12-28 - 2009-01-03,71
2009-01-04 - 2009-01-10,73
2009-01-11 - 2009-01-17,71
2009-01-18 - 2009-01-24,70
2009-01-25 - 2009-01-31,66
2009-02-01 - 2009-02-07,59
2009-02-08 - 2009-02-14,63
2009-02-15 - 2009-02-21,62
2009-02-22 - 2009-02-28,68
2009-03-01 - 2009-03-07,66
2009-03-08 - 2009-03-14,64
2009-03-15 - 2009-03-21,71
2009-03-22 - 2009-03-28,69
2009-03-29 - 2009-04-04,62
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,60
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,70
2009-05-31 - 2009-06-06,64
2009-06-07 - 2009-06-13,72
2009-06-14 - 2009-06-20,69
2009-06-21 - 2009-06-27,66
2009-06-28 - 2009-07-04,63
2009-07-05 - 2009-07-11,65
2009-07-12 - 2009-07-18,65
2009-07-19 - 2009-07-25,67
2009-07-26 - 2009-08-01,69
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,66
2009-08-16 - 2009-08-22,71
2009-08-23 - 2009-08-29,65
