YouTube Search interest: 50 cent
United States; Jan 2008 - Jul 2015

Interest over time
Week,50 cent
2008-01-06 - 2008-01-12,55
2008-01-13 - 2008-01-19,52
2008-01-20 - 2008-01-26,51
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,55
2008-02-10 - 2008-02-16,48
2008-02-17 - 2008-02-23,46
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,49
2008-03-09 - 2008-03-15,54
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,53
2008-04-06 - 2008-04-12,51
2008-04-13 - 2008-04-19,54
2008-04-20 - 2008-04-26,55
2008-04-27 - 2008-05-03,51
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,60
2008-05-25 - 2008-05-31,55
2008-06-01 - 2008-06-07,53
2008-06-08 - 2008-06-14,52
2008-06-15 - 2008-06-21,65
2008-06-22 - 2008-06-28,65
2008-06-29 - 2008-07-05,64
2008-07-06 - 2008-07-12,63
2008-07-13 - 2008-07-19,61
2008-07-20 - 2008-07-26,58
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,51
2008-08-17 - 2008-08-23,49
2008-08-24 - 2008-08-30,52
2008-08-31 - 2008-09-06,53
2008-09-07 - 2008-09-13,53
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,53
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,55
2008-10-12 - 2008-10-18,58
2008-10-19 - 2008-10-25,58
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,62
2008-11-16 - 2008-11-22,65
2008-11-23 - 2008-11-29,60
2008-11-30 - 2008-12-06,62
2008-12-07 - 2008-12-13,59
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,76
2008-12-28 - 2009-01-03,62
2009-01-04 - 2009-01-10,68
2009-01-11 - 2009-01-17,68
2009-01-18 - 2009-01-24,65
2009-01-25 - 2009-01-31,65
2009-02-01 - 2009-02-07,96
2009-02-08 - 2009-02-14,91
2009-02-15 - 2009-02-21,78
2009-02-22 - 2009-02-28,76
2009-03-01 - 2009-03-07,73
2009-03-08 - 2009-03-14,71
2009-03-15 - 2009-03-21,73
2009-03-22 - 2009-03-28,67
2009-03-29 - 2009-04-04,56
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,59
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,52
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,51
2009-06-21 - 2009-06-27,49
2009-06-28 - 2009-07-04,57
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,55
2009-07-26 - 2009-08-01,55
2009-08-02 - 2009-08-08,53
2009-08-09 - 2009-08-15,54
2009-08-16 - 2009-08-22,50
2009-08-23 - 2009-08-29,51
2009-08-30 - 2009-09-05,52
2009-09-06 - 2009-09-12,55
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,59
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,64
2009-10-18 - 2009-10-24,68
2009-10-25 - 2009-10-31,68
2009-11-01 - 2009-11-07,87
2009-11-08 - 2009-11-14,88
2009-11-15 - 2009-11-21,100
2009-11-22 - 2009-11-28,89
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,82
2009-12-13 - 2009-12-19,85
2009-12-20 - 2009-12-26,77
2009-12-27 - 2010-01-02,73
2010-01-03 - 2010-01-09,67
2010-01-10 - 2010-01-16,61
2010-01-17 - 2010-01-23,60
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,58
2010-03-07 - 2010-03-13,55
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,53
2010-04-04 - 2010-04-10,50
