YouTube Search interest: akon
United States; Jan 2008 - Jul 2015

Interest over time
Week,akon
2008-01-06 - 2008-01-12,40
2008-01-13 - 2008-01-19,40
2008-01-20 - 2008-01-26,41
2008-01-27 - 2008-02-02,41
2008-02-03 - 2008-02-09,38
2008-02-10 - 2008-02-16,40
2008-02-17 - 2008-02-23,40
2008-02-24 - 2008-03-01,38
2008-03-02 - 2008-03-08,36
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,37
2008-03-23 - 2008-03-29,37
2008-03-30 - 2008-04-05,39
2008-04-06 - 2008-04-12,40
2008-04-13 - 2008-04-19,41
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,44
2008-05-04 - 2008-05-10,43
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,45
2008-05-25 - 2008-05-31,47
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,51
2008-06-22 - 2008-06-28,49
2008-06-29 - 2008-07-05,49
2008-07-06 - 2008-07-12,52
2008-07-13 - 2008-07-19,50
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,51
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,50
2008-08-17 - 2008-08-23,52
2008-08-24 - 2008-08-30,51
2008-08-31 - 2008-09-06,52
2008-09-07 - 2008-09-13,58
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,61
2008-09-28 - 2008-10-04,66
2008-10-05 - 2008-10-11,73
2008-10-12 - 2008-10-18,80
2008-10-19 - 2008-10-25,86
2008-10-26 - 2008-11-01,91
2008-11-02 - 2008-11-08,91
2008-11-09 - 2008-11-15,94
2008-11-16 - 2008-11-22,98
2008-11-23 - 2008-11-29,99
2008-11-30 - 2008-12-06,99
2008-12-07 - 2008-12-13,100
2008-12-14 - 2008-12-20,97
2008-12-21 - 2008-12-27,96
2008-12-28 - 2009-01-03,92
2009-01-04 - 2009-01-10,85
2009-01-11 - 2009-01-17,86
2009-01-18 - 2009-01-24,87
2009-01-25 - 2009-01-31,87
2009-02-01 - 2009-02-07,85
2009-02-08 - 2009-02-14,88
2009-02-15 - 2009-02-21,84
2009-02-22 - 2009-02-28,85
2009-03-01 - 2009-03-07,86
2009-03-08 - 2009-03-14,83
