YouTube Search interest: alpha rev
United States; Jan 2008 - Jul 2015

Interest over time
Month,alpha rev
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,39
2009-09,36
2009-10,10
2009-11,10
2009-12,10
2010-01,11
2010-02,19
2010-03,24
2010-04,66
2010-05,97
2010-06,100
2010-07,66
2010-08,45
2010-09,26
2010-10,17
2010-11,30
2010-12,43
2011-01,52
2011-02,25
2011-03,23
2011-04,17
2011-05,17
2011-06,13
2011-07,15
2011-08,16
2011-09,13
2011-10,11
2011-11,11
2011-12,6
2012-01,11
2012-02,9
2012-03,8
2012-04,9
2012-05,12
2012-06,7
2012-07,7
2012-08,6
2012-09,6
2012-10,6
2012-11,7
2012-12,8
2013-01,17
2013-02,17
2013-03,36
2013-04,48
2013-05,33
2013-06,22
2013-07,27
2013-08,22
2013-09,23
2013-10,23
2013-11,21
2013-12,12
2014-01,13
2014-02,14
2014-03,7
2014-04,7
2014-05,11
2014-06,8
2014-07,12
2014-08,7
2014-09,7
2014-10,8
2014-11,8
2014-12,8
2015-01,9
2015-02,11
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for alpha rev
Sub-region,alpha rev
Minnesota,100
Texas,30
New York,14
California,10
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Florida,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for alpha rev
Town/City,alpha rev
Austin,100



Top searches for alpha rev
new morning,100
sing loud,50
phoenix burn,45



Rising searches for alpha rev
new morning,Breakout
phoenix burn,Breakout
sing loud,Breakout



