YouTube Search interest: arctic monkeys
United States; Jan 2008 - Jul 2015

Interest over time
Week,arctic monkeys
2008-01-06 - 2008-01-12,14
2008-01-13 - 2008-01-19,14
2008-01-20 - 2008-01-26,12
2008-01-27 - 2008-02-02,13
2008-02-03 - 2008-02-09,18
2008-02-10 - 2008-02-16,15
2008-02-17 - 2008-02-23,18
2008-02-24 - 2008-03-01,13
2008-03-02 - 2008-03-08,10
2008-03-09 - 2008-03-15,11
2008-03-16 - 2008-03-22,14
2008-03-23 - 2008-03-29,13
2008-03-30 - 2008-04-05,15
2008-04-06 - 2008-04-12,12
2008-04-13 - 2008-04-19,10
2008-04-20 - 2008-04-26,15
2008-04-27 - 2008-05-03,11
2008-05-04 - 2008-05-10,13
2008-05-11 - 2008-05-17,10
2008-05-18 - 2008-05-24,11
2008-05-25 - 2008-05-31,11
2008-06-01 - 2008-06-07,10
2008-06-08 - 2008-06-14,14
2008-06-15 - 2008-06-21,11
2008-06-22 - 2008-06-28,11
2008-06-29 - 2008-07-05,12
2008-07-06 - 2008-07-12,11
2008-07-13 - 2008-07-19,14
2008-07-20 - 2008-07-26,13
2008-07-27 - 2008-08-02,11
2008-08-03 - 2008-08-09,10
2008-08-10 - 2008-08-16,8
2008-08-17 - 2008-08-23,10
2008-08-24 - 2008-08-30,11
2008-08-31 - 2008-09-06,13
2008-09-07 - 2008-09-13,11
2008-09-14 - 2008-09-20,12
2008-09-21 - 2008-09-27,13
2008-09-28 - 2008-10-04,13
2008-10-05 - 2008-10-11,9
2008-10-12 - 2008-10-18,10
2008-10-19 - 2008-10-25,14
2008-10-26 - 2008-11-01,13
2008-11-02 - 2008-11-08,11
2008-11-09 - 2008-11-15,9
2008-11-16 - 2008-11-22,14
2008-11-23 - 2008-11-29,9
2008-11-30 - 2008-12-06,10
2008-12-07 - 2008-12-13,15
2008-12-14 - 2008-12-20,9
2008-12-21 - 2008-12-27,13
2008-12-28 - 2009-01-03,13
2009-01-04 - 2009-01-10,12
2009-01-11 - 2009-01-17,12
2009-01-18 - 2009-01-24,11
2009-01-25 - 2009-01-31,12
2009-02-01 - 2009-02-07,12
2009-02-08 - 2009-02-14,12
2009-02-15 - 2009-02-21,12
2009-02-22 - 2009-02-28,12
2009-03-01 - 2009-03-07,14
2009-03-08 - 2009-03-14,13
2009-03-15 - 2009-03-21,11
2009-03-22 - 2009-03-28,10
2009-03-29 - 2009-04-04,12
2009-04-05 - 2009-04-11,14
2009-04-12 - 2009-04-18,13
2009-04-19 - 2009-04-25,11
2009-04-26 - 2009-05-02,9
2009-05-03 - 2009-05-09,14
2009-05-10 - 2009-05-16,12
2009-05-17 - 2009-05-23,12
2009-05-24 - 2009-05-30,13
2009-05-31 - 2009-06-06,11
2009-06-07 - 2009-06-13,11
2009-06-14 - 2009-06-20,10
2009-06-21 - 2009-06-27,12
2009-06-28 - 2009-07-04,11
2009-07-05 - 2009-07-11,15
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,14
2009-07-26 - 2009-08-01,18
2009-08-02 - 2009-08-08,20
2009-08-09 - 2009-08-15,17
2009-08-16 - 2009-08-22,18
2009-08-23 - 2009-08-29,23
2009-08-30 - 2009-09-05,22
2009-09-06 - 2009-09-12,22
2009-09-13 - 2009-09-19,22
2009-09-20 - 2009-09-26,19
2009-09-27 - 2009-10-03,20
2009-10-04 - 2009-10-10,18
2009-10-11 - 2009-10-17,17
2009-10-18 - 2009-10-24,16
2009-10-25 - 2009-10-31,15
2009-11-01 - 2009-11-07,18
2009-11-08 - 2009-11-14,17
2009-11-15 - 2009-11-21,16
2009-11-22 - 2009-11-28,18
2009-11-29 - 2009-12-05,17
2009-12-06 - 2009-12-12,20
2009-12-13 - 2009-12-19,19
2009-12-20 - 2009-12-26,13
2009-12-27 - 2010-01-02,17
2010-01-03 - 2010-01-09,15
2010-01-10 - 2010-01-16,13
2010-01-17 - 2010-01-23,17
2010-01-24 - 2010-01-30,19
2010-01-31 - 2010-02-06,15
