YouTube Search interest: bon jovi
United States; Jan 2008 - Jul 2015

Interest over time
Week,bon jovi
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,56
2008-02-03 - 2008-02-09,52
2008-02-10 - 2008-02-16,57
2008-02-17 - 2008-02-23,52
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,64
2008-03-09 - 2008-03-15,71
2008-03-16 - 2008-03-22,56
2008-03-23 - 2008-03-29,50
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,68
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,56
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,58
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,51
2008-06-01 - 2008-06-07,56
2008-06-08 - 2008-06-14,62
2008-06-15 - 2008-06-21,63
2008-06-22 - 2008-06-28,63
2008-06-29 - 2008-07-05,66
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,83
2008-07-20 - 2008-07-26,61
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,55
2008-08-10 - 2008-08-16,52
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,67
2008-09-14 - 2008-09-20,64
2008-09-21 - 2008-09-27,59
2008-09-28 - 2008-10-04,67
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,58
2008-10-19 - 2008-10-25,61
2008-10-26 - 2008-11-01,56
2008-11-02 - 2008-11-08,55
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,61
2008-12-14 - 2008-12-20,59
2008-12-21 - 2008-12-27,57
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,74
2009-01-18 - 2009-01-24,75
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,60
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,64
2009-03-01 - 2009-03-07,69
2009-03-08 - 2009-03-14,65
2009-03-15 - 2009-03-21,66
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,63
2009-04-12 - 2009-04-18,60
2009-04-19 - 2009-04-25,60
2009-04-26 - 2009-05-02,59
2009-05-03 - 2009-05-09,58
2009-05-10 - 2009-05-16,59
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,58
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,54
2009-06-14 - 2009-06-20,49
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,48
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,49
2009-08-02 - 2009-08-08,53
2009-08-09 - 2009-08-15,48
2009-08-16 - 2009-08-22,52
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,53
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,59
2009-10-04 - 2009-10-10,60
2009-10-11 - 2009-10-17,62
2009-10-18 - 2009-10-24,62
2009-10-25 - 2009-10-31,67
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,69
2009-11-15 - 2009-11-21,74
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,64
2009-12-06 - 2009-12-12,62
2009-12-13 - 2009-12-19,69
2009-12-20 - 2009-12-26,66
2009-12-27 - 2010-01-02,58
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,58
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,88
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,62
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,69
2010-03-14 - 2010-03-20,65
2010-03-21 - 2010-03-27,70
2010-03-28 - 2010-04-03,59
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,63
2010-04-18 - 2010-04-24,66
2010-04-25 - 2010-05-01,60
