YouTube Search interest: brad paisley
United States; Jan 2008 - Jul 2015

Interest over time
Week,brad paisley
2008-01-06 - 2008-01-12,16
2008-01-13 - 2008-01-19,19
2008-01-20 - 2008-01-26,18
2008-01-27 - 2008-02-02,21
2008-02-03 - 2008-02-09,19
2008-02-10 - 2008-02-16,25
2008-02-17 - 2008-02-23,19
2008-02-24 - 2008-03-01,19
2008-03-02 - 2008-03-08,22
2008-03-09 - 2008-03-15,20
2008-03-16 - 2008-03-22,19
2008-03-23 - 2008-03-29,20
2008-03-30 - 2008-04-05,19
2008-04-06 - 2008-04-12,21
2008-04-13 - 2008-04-19,26
2008-04-20 - 2008-04-26,21
2008-04-27 - 2008-05-03,18
2008-05-04 - 2008-05-10,17
2008-05-11 - 2008-05-17,19
2008-05-18 - 2008-05-24,23
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,20
2008-06-08 - 2008-06-14,22
2008-06-15 - 2008-06-21,21
2008-06-22 - 2008-06-28,24
2008-06-29 - 2008-07-05,22
2008-07-06 - 2008-07-12,26
2008-07-13 - 2008-07-19,24
2008-07-20 - 2008-07-26,24
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,24
2008-08-17 - 2008-08-23,23
2008-08-24 - 2008-08-30,23
2008-08-31 - 2008-09-06,24
2008-09-07 - 2008-09-13,22
2008-09-14 - 2008-09-20,23
2008-09-21 - 2008-09-27,23
2008-09-28 - 2008-10-04,20
2008-10-05 - 2008-10-11,24
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,21
2008-10-26 - 2008-11-01,17
2008-11-02 - 2008-11-08,21
2008-11-09 - 2008-11-15,34
2008-11-16 - 2008-11-22,26
2008-11-23 - 2008-11-29,21
2008-11-30 - 2008-12-06,22
2008-12-07 - 2008-12-13,20
2008-12-14 - 2008-12-20,19
2008-12-21 - 2008-12-27,20
2008-12-28 - 2009-01-03,16
2009-01-04 - 2009-01-10,19
2009-01-11 - 2009-01-17,20
2009-01-18 - 2009-01-24,21
