YouTube Search interest: breaking benjamin
United States; Jan 2008 - Jul 2015

Interest over time
Week,breaking benjamin
2008-01-06 - 2008-01-12,54
2008-01-13 - 2008-01-19,49
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,52
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,54
2008-02-17 - 2008-02-23,49
2008-02-24 - 2008-03-01,54
2008-03-02 - 2008-03-08,56
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,53
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,44
2008-04-13 - 2008-04-19,48
2008-04-20 - 2008-04-26,45
2008-04-27 - 2008-05-03,45
2008-05-04 - 2008-05-10,43
2008-05-11 - 2008-05-17,45
2008-05-18 - 2008-05-24,46
2008-05-25 - 2008-05-31,42
2008-06-01 - 2008-06-07,44
2008-06-08 - 2008-06-14,47
2008-06-15 - 2008-06-21,44
2008-06-22 - 2008-06-28,51
2008-06-29 - 2008-07-05,40
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,42
2008-07-27 - 2008-08-02,47
2008-08-03 - 2008-08-09,44
2008-08-10 - 2008-08-16,44
2008-08-17 - 2008-08-23,48
2008-08-24 - 2008-08-30,48
2008-08-31 - 2008-09-06,52
2008-09-07 - 2008-09-13,53
2008-09-14 - 2008-09-20,53
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,47
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,49
2008-10-26 - 2008-11-01,46
2008-11-02 - 2008-11-08,44
2008-11-09 - 2008-11-15,47
2008-11-16 - 2008-11-22,44
2008-11-23 - 2008-11-29,43
2008-11-30 - 2008-12-06,40
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,44
2008-12-21 - 2008-12-27,43
2008-12-28 - 2009-01-03,45
2009-01-04 - 2009-01-10,42
2009-01-11 - 2009-01-17,42
2009-01-18 - 2009-01-24,45
2009-01-25 - 2009-01-31,43
2009-02-01 - 2009-02-07,46
2009-02-08 - 2009-02-14,48
2009-02-15 - 2009-02-21,46
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,42
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,45
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,42
2009-04-26 - 2009-05-02,44
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,47
2009-05-24 - 2009-05-30,41
2009-05-31 - 2009-06-06,44
2009-06-07 - 2009-06-13,40
2009-06-14 - 2009-06-20,39
2009-06-21 - 2009-06-27,43
2009-06-28 - 2009-07-04,40
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,41
2009-07-19 - 2009-07-25,41
2009-07-26 - 2009-08-01,45
2009-08-02 - 2009-08-08,47
2009-08-09 - 2009-08-15,51
2009-08-16 - 2009-08-22,63
2009-08-23 - 2009-08-29,63
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,71
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,86
2009-09-27 - 2009-10-03,100
2009-10-04 - 2009-10-10,97
2009-10-11 - 2009-10-17,86
2009-10-18 - 2009-10-24,85
2009-10-25 - 2009-10-31,90
2009-11-01 - 2009-11-07,85
2009-11-08 - 2009-11-14,80
2009-11-15 - 2009-11-21,75
2009-11-22 - 2009-11-28,75
2009-11-29 - 2009-12-05,79
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,84
2009-12-20 - 2009-12-26,78
2009-12-27 - 2010-01-02,67
2010-01-03 - 2010-01-09,73
2010-01-10 - 2010-01-16,76
2010-01-17 - 2010-01-23,75
2010-01-24 - 2010-01-30,80
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,79
2010-02-14 - 2010-02-20,79
2010-02-21 - 2010-02-27,77
2010-02-28 - 2010-03-06,73
2010-03-07 - 2010-03-13,80
2010-03-14 - 2010-03-20,83
2010-03-21 - 2010-03-27,82
2010-03-28 - 2010-04-03,81
2010-04-04 - 2010-04-10,77
2010-04-11 - 2010-04-17,77
2010-04-18 - 2010-04-24,81
2010-04-25 - 2010-05-01,79
2010-05-02 - 2010-05-08,77
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,73
2010-05-23 - 2010-05-29,78
2010-05-30 - 2010-06-05,73
2010-06-06 - 2010-06-12,64
2010-06-13 - 2010-06-19,62
2010-06-20 - 2010-06-26,63
2010-06-27 - 2010-07-03,63
2010-07-04 - 2010-07-10,60
2010-07-11 - 2010-07-17,63
2010-07-18 - 2010-07-24,62
2010-07-25 - 2010-07-31,62
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,60
2010-08-15 - 2010-08-21,57
2010-08-22 - 2010-08-28,61
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,61
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,59
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,54
