YouTube Search interest: ca$h out
United States; Jan 2008 - Jul 2015

Interest over time
Month,ca$h out
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,32
2012-04,83
2012-05,100
2012-06,76
2012-07,76
2012-08,93
2012-09,60
2012-10,59
2012-11,46
2012-12,41
2013-01,33
2013-02,21
2013-03,12
2013-04,21
2013-05,22
2013-06,22
2013-07,16
2013-08,16
2013-09,16
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,16
2014-04,15
2014-05,24
2014-06,21
2014-07,29
2014-08,23
2014-09,22
2014-10,25
2014-11,21
2014-12,22
2015-01,20
2015-02,19
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0









