YouTube Search interest: carrie underwood
United States; Jan 2008 - Jul 2015

Interest over time
Week,carrie underwood
2008-01-06 - 2008-01-12,38
2008-01-13 - 2008-01-19,46
2008-01-20 - 2008-01-26,45
2008-01-27 - 2008-02-02,48
2008-02-03 - 2008-02-09,48
2008-02-10 - 2008-02-16,72
2008-02-17 - 2008-02-23,49
2008-02-24 - 2008-03-01,53
2008-03-02 - 2008-03-08,49
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,49
2008-03-30 - 2008-04-05,46
2008-04-06 - 2008-04-12,56
2008-04-13 - 2008-04-19,51
2008-04-20 - 2008-04-26,45
2008-04-27 - 2008-05-03,45
2008-05-04 - 2008-05-10,44
2008-05-11 - 2008-05-17,42
2008-05-18 - 2008-05-24,75
2008-05-25 - 2008-05-31,56
2008-06-01 - 2008-06-07,48
2008-06-08 - 2008-06-14,49
2008-06-15 - 2008-06-21,47
2008-06-22 - 2008-06-28,46
2008-06-29 - 2008-07-05,40
2008-07-06 - 2008-07-12,43
2008-07-13 - 2008-07-19,44
2008-07-20 - 2008-07-26,40
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,41
2008-08-10 - 2008-08-16,49
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,51
2008-08-31 - 2008-09-06,56
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,53
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,49
2008-10-26 - 2008-11-01,46
2008-11-02 - 2008-11-08,50
2008-11-09 - 2008-11-15,71
2008-11-16 - 2008-11-22,60
2008-11-23 - 2008-11-29,53
2008-11-30 - 2008-12-06,47
2008-12-07 - 2008-12-13,43
2008-12-14 - 2008-12-20,44
2008-12-21 - 2008-12-27,43
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,41
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,39
2009-02-01 - 2009-02-07,38
2009-02-08 - 2009-02-14,53
2009-02-15 - 2009-02-21,45
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,44
2009-03-08 - 2009-03-14,51
2009-03-15 - 2009-03-21,72
2009-03-22 - 2009-03-28,62
2009-03-29 - 2009-04-04,49
2009-04-05 - 2009-04-11,78
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,43
2009-05-03 - 2009-05-09,46
2009-05-10 - 2009-05-16,45
2009-05-17 - 2009-05-23,53
2009-05-24 - 2009-05-30,46
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,32
2009-07-12 - 2009-07-18,30
2009-07-19 - 2009-07-25,31
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,29
2009-08-16 - 2009-08-22,27
2009-08-23 - 2009-08-29,29
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,33
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,37
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,38
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,40
2009-10-25 - 2009-10-31,41
2009-11-01 - 2009-11-07,60
2009-11-08 - 2009-11-14,78
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,59
2009-11-29 - 2009-12-05,54
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,54
2009-12-20 - 2009-12-26,62
2009-12-27 - 2010-01-02,50
2010-01-03 - 2010-01-09,50
2010-01-10 - 2010-01-16,53
2010-01-17 - 2010-01-23,52
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,61
