YouTube Search interest: colbie caillat
United States; Jan 2008 - Jul 2015

Interest over time
Week,colbie caillat
2008-01-06 - 2008-01-12,28
2008-01-13 - 2008-01-19,24
2008-01-20 - 2008-01-26,29
2008-01-27 - 2008-02-02,34
2008-02-03 - 2008-02-09,36
2008-02-10 - 2008-02-16,32
2008-02-17 - 2008-02-23,27
2008-02-24 - 2008-03-01,29
2008-03-02 - 2008-03-08,20
2008-03-09 - 2008-03-15,24
2008-03-16 - 2008-03-22,22
2008-03-23 - 2008-03-29,19
2008-03-30 - 2008-04-05,21
2008-04-06 - 2008-04-12,20
2008-04-13 - 2008-04-19,26
2008-04-20 - 2008-04-26,22
2008-04-27 - 2008-05-03,25
2008-05-04 - 2008-05-10,20
2008-05-11 - 2008-05-17,25
2008-05-18 - 2008-05-24,27
2008-05-25 - 2008-05-31,22
2008-06-01 - 2008-06-07,23
2008-06-08 - 2008-06-14,35
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,29
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,38
2008-07-20 - 2008-07-26,36
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,32
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,39
2008-08-24 - 2008-08-30,36
2008-08-31 - 2008-09-06,38
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,37
2008-09-21 - 2008-09-27,36
2008-09-28 - 2008-10-04,35
2008-10-05 - 2008-10-11,31
2008-10-12 - 2008-10-18,36
2008-10-19 - 2008-10-25,34
2008-10-26 - 2008-11-01,29
2008-11-02 - 2008-11-08,32
2008-11-09 - 2008-11-15,31
2008-11-16 - 2008-11-22,29
2008-11-23 - 2008-11-29,29
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,29
2008-12-14 - 2008-12-20,28
2008-12-21 - 2008-12-27,26
2008-12-28 - 2009-01-03,25
2009-01-04 - 2009-01-10,31
2009-01-11 - 2009-01-17,38
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,43
2009-02-08 - 2009-02-14,41
2009-02-15 - 2009-02-21,41
2009-02-22 - 2009-02-28,39
2009-03-01 - 2009-03-07,42
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,42
2009-03-22 - 2009-03-28,46
2009-03-29 - 2009-04-04,27
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,45
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,42
2009-05-10 - 2009-05-16,40
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,38
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,37
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,31
2009-06-28 - 2009-07-04,42
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,42
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,46
2009-08-02 - 2009-08-08,48
2009-08-09 - 2009-08-15,53
2009-08-16 - 2009-08-22,59
2009-08-23 - 2009-08-29,83
2009-08-30 - 2009-09-05,81
2009-09-06 - 2009-09-12,68
2009-09-13 - 2009-09-19,71
2009-09-20 - 2009-09-26,80
2009-09-27 - 2009-10-03,80
2009-10-04 - 2009-10-10,75
2009-10-11 - 2009-10-17,79
2009-10-18 - 2009-10-24,72
2009-10-25 - 2009-10-31,73
2009-11-01 - 2009-11-07,74
2009-11-08 - 2009-11-14,79
2009-11-15 - 2009-11-21,71
