YouTube Search interest: damien
United States; Jan 2008 - Jul 2015

Interest over time
Week,damien
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,60
2008-01-20 - 2008-01-26,52
2008-01-27 - 2008-02-02,59
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,61
2008-02-17 - 2008-02-23,55
2008-02-24 - 2008-03-01,63
2008-03-02 - 2008-03-08,65
2008-03-09 - 2008-03-15,66
2008-03-16 - 2008-03-22,57
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,50
2008-04-06 - 2008-04-12,55
2008-04-13 - 2008-04-19,49
2008-04-20 - 2008-04-26,56
2008-04-27 - 2008-05-03,62
2008-05-04 - 2008-05-10,55
2008-05-11 - 2008-05-17,52
2008-05-18 - 2008-05-24,52
2008-05-25 - 2008-05-31,44
2008-06-01 - 2008-06-07,38
2008-06-08 - 2008-06-14,50
2008-06-15 - 2008-06-21,49
2008-06-22 - 2008-06-28,45
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,48
2008-07-13 - 2008-07-19,43
2008-07-20 - 2008-07-26,49
2008-07-27 - 2008-08-02,46
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,46
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,52
2008-08-31 - 2008-09-06,59
2008-09-07 - 2008-09-13,58
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,50
2008-10-05 - 2008-10-11,54
2008-10-12 - 2008-10-18,47
2008-10-19 - 2008-10-25,58
2008-10-26 - 2008-11-01,50
2008-11-02 - 2008-11-08,60
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,57
2008-11-23 - 2008-11-29,45
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,58
2008-12-14 - 2008-12-20,53
2008-12-21 - 2008-12-27,51
2008-12-28 - 2009-01-03,53
2009-01-04 - 2009-01-10,53
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,55
2009-01-25 - 2009-01-31,58
2009-02-01 - 2009-02-07,50
2009-02-08 - 2009-02-14,50
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,55
2009-03-01 - 2009-03-07,54
2009-03-08 - 2009-03-14,52
2009-03-15 - 2009-03-21,54
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,44
2009-04-05 - 2009-04-11,50
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,53
2009-04-26 - 2009-05-02,49
2009-05-03 - 2009-05-09,50
2009-05-10 - 2009-05-16,47
