YouTube Search interest: daughtry
United States; Jan 2008 - Jul 2015

Interest over time
Week,daughtry
2008-01-06 - 2008-01-12,46
2008-01-13 - 2008-01-19,61
2008-01-20 - 2008-01-26,57
2008-01-27 - 2008-02-02,68
2008-02-03 - 2008-02-09,68
2008-02-10 - 2008-02-16,70
2008-02-17 - 2008-02-23,62
2008-02-24 - 2008-03-01,70
2008-03-02 - 2008-03-08,63
2008-03-09 - 2008-03-15,59
2008-03-16 - 2008-03-22,54
2008-03-23 - 2008-03-29,51
2008-03-30 - 2008-04-05,51
2008-04-06 - 2008-04-12,64
2008-04-13 - 2008-04-19,87
2008-04-20 - 2008-04-26,57
2008-04-27 - 2008-05-03,49
2008-05-04 - 2008-05-10,46
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,57
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,41
2008-06-08 - 2008-06-14,40
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,32
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,37
2008-07-13 - 2008-07-19,40
2008-07-20 - 2008-07-26,39
2008-07-27 - 2008-08-02,42
2008-08-03 - 2008-08-09,36
2008-08-10 - 2008-08-16,36
2008-08-17 - 2008-08-23,38
2008-08-24 - 2008-08-30,43
2008-08-31 - 2008-09-06,40
2008-09-07 - 2008-09-13,44
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,49
2008-09-28 - 2008-10-04,42
2008-10-05 - 2008-10-11,40
2008-10-12 - 2008-10-18,43
2008-10-19 - 2008-10-25,44
2008-10-26 - 2008-11-01,40
2008-11-02 - 2008-11-08,39
2008-11-09 - 2008-11-15,37
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,35
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,34
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,33
2008-12-28 - 2009-01-03,34
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,33
2009-01-18 - 2009-01-24,30
2009-01-25 - 2009-01-31,30
2009-02-01 - 2009-02-07,27
2009-02-08 - 2009-02-14,35
2009-02-15 - 2009-02-21,30
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,31
2009-03-08 - 2009-03-14,36
2009-03-15 - 2009-03-21,33
2009-03-22 - 2009-03-28,30
2009-03-29 - 2009-04-04,30
2009-04-05 - 2009-04-11,29
2009-04-12 - 2009-04-18,29
2009-04-19 - 2009-04-25,31
2009-04-26 - 2009-05-02,23
2009-05-03 - 2009-05-09,66
2009-05-10 - 2009-05-16,57
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,49
2009-05-31 - 2009-06-06,48
2009-06-07 - 2009-06-13,54
2009-06-14 - 2009-06-20,57
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,57
2009-07-05 - 2009-07-11,70
2009-07-12 - 2009-07-18,100
2009-07-19 - 2009-07-25,91
2009-07-26 - 2009-08-01,68
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,62
2009-08-16 - 2009-08-22,66
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,54
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,54
2009-09-20 - 2009-09-26,60
2009-09-27 - 2009-10-03,56
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,53
2009-10-18 - 2009-10-24,52
2009-10-25 - 2009-10-31,49
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,57
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,65
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,63
2009-12-20 - 2009-12-26,61
2009-12-27 - 2010-01-02,61
2010-01-03 - 2010-01-09,70
2010-01-10 - 2010-01-16,68
2010-01-17 - 2010-01-23,69
2010-01-24 - 2010-01-30,70
2010-01-31 - 2010-02-06,73
2010-02-07 - 2010-02-13,76
2010-02-14 - 2010-02-20,67
2010-02-21 - 2010-02-27,68
2010-02-28 - 2010-03-06,69
2010-03-07 - 2010-03-13,70
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,71
2010-03-28 - 2010-04-03,66
2010-04-04 - 2010-04-10,59
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,48
2010-05-09 - 2010-05-15,62
2010-05-16 - 2010-05-22,56
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,49
2010-06-06 - 2010-06-12,46
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,42
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,42
2010-07-18 - 2010-07-24,53
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,49
2010-08-08 - 2010-08-14,44
2010-08-15 - 2010-08-21,47
2010-08-22 - 2010-08-28,45
2010-08-29 - 2010-09-04,51
2010-09-05 - 2010-09-11,55
2010-09-12 - 2010-09-18,56
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,60
2010-10-03 - 2010-10-09,57
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,54
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,61
2010-11-14 - 2010-11-20,54
2010-11-21 - 2010-11-27,48
2010-11-28 - 2010-12-04,43
2010-12-05 - 2010-12-11,46
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,45
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,48
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,48
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,42
2011-04-03 - 2011-04-09,43
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,43
2011-04-24 - 2011-04-30,41
2011-05-01 - 2011-05-07,44
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,43
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,38
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,33
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,31
2011-08-07 - 2011-08-13,33
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,32
2011-08-28 - 2011-09-03,31
2011-09-04 - 2011-09-10,34
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,40
2011-10-02 - 2011-10-08,47
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,62
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,61
2011-11-20 - 2011-11-26,64
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,45
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,38
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,36
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,39
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,38
2012-04-15 - 2012-04-21,41
