YouTube Search interest: demi lovato
United States; Jan 2008 - Jul 2015

Interest over time
Week,demi lovato
2008-01-06 - 2008-01-12,1
2008-01-13 - 2008-01-19,1
2008-01-20 - 2008-01-26,1
2008-01-27 - 2008-02-02,1
2008-02-03 - 2008-02-09,1
2008-02-10 - 2008-02-16,2
2008-02-17 - 2008-02-23,2
2008-02-24 - 2008-03-01,1
2008-03-02 - 2008-03-08,1
2008-03-09 - 2008-03-15,3
2008-03-16 - 2008-03-22,6
2008-03-23 - 2008-03-29,5
2008-03-30 - 2008-04-05,5
2008-04-06 - 2008-04-12,7
2008-04-13 - 2008-04-19,7
2008-04-20 - 2008-04-26,6
2008-04-27 - 2008-05-03,6
2008-05-04 - 2008-05-10,8
2008-05-11 - 2008-05-17,6
2008-05-18 - 2008-05-24,9
2008-05-25 - 2008-05-31,10
2008-06-01 - 2008-06-07,16
2008-06-08 - 2008-06-14,21
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,66
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,43
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,66
2008-08-03 - 2008-08-09,54
2008-08-10 - 2008-08-16,56
2008-08-17 - 2008-08-23,63
2008-08-24 - 2008-08-30,81
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,61
2008-09-21 - 2008-09-27,79
2008-09-28 - 2008-10-04,69
2008-10-05 - 2008-10-11,61
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,33
2008-11-02 - 2008-11-08,33
2008-11-09 - 2008-11-15,30
2008-11-16 - 2008-11-22,26
2008-11-23 - 2008-11-29,29
2008-11-30 - 2008-12-06,25
2008-12-07 - 2008-12-13,24
2008-12-14 - 2008-12-20,28
2008-12-21 - 2008-12-27,55
2008-12-28 - 2009-01-03,60
2009-01-04 - 2009-01-10,49
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,48
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,39
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,37
2009-02-22 - 2009-02-28,33
2009-03-01 - 2009-03-07,33
2009-03-08 - 2009-03-14,32
2009-03-15 - 2009-03-21,45
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,49
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,33
2009-05-17 - 2009-05-23,33
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,37
2009-06-21 - 2009-06-27,56
2009-06-28 - 2009-07-04,77
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,84
2009-07-19 - 2009-07-25,92
2009-07-26 - 2009-08-01,77
