YouTube Search interest: dierks bentley
United States; Jan 2008 - Jul 2015

Interest over time
Week,dierks bentley
2008-01-06 - 2008-01-12,8
2008-01-13 - 2008-01-19,11
2008-01-20 - 2008-01-26,10
2008-01-27 - 2008-02-02,15
2008-02-03 - 2008-02-09,11
2008-02-10 - 2008-02-16,19
2008-02-17 - 2008-02-23,17
2008-02-24 - 2008-03-01,16
2008-03-02 - 2008-03-08,12
2008-03-09 - 2008-03-15,16
2008-03-16 - 2008-03-22,18
2008-03-23 - 2008-03-29,15
2008-03-30 - 2008-04-05,16
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,19
2008-04-20 - 2008-04-26,20
2008-04-27 - 2008-05-03,26
2008-05-04 - 2008-05-10,23
2008-05-11 - 2008-05-17,22
2008-05-18 - 2008-05-24,17
2008-05-25 - 2008-05-31,18
2008-06-01 - 2008-06-07,19
2008-06-08 - 2008-06-14,20
2008-06-15 - 2008-06-21,23
2008-06-22 - 2008-06-28,24
2008-06-29 - 2008-07-05,24
2008-07-06 - 2008-07-12,28
2008-07-13 - 2008-07-19,22
2008-07-20 - 2008-07-26,26
2008-07-27 - 2008-08-02,20
2008-08-03 - 2008-08-09,18
2008-08-10 - 2008-08-16,19
2008-08-17 - 2008-08-23,19
2008-08-24 - 2008-08-30,25
2008-08-31 - 2008-09-06,21
2008-09-07 - 2008-09-13,20
2008-09-14 - 2008-09-20,16
2008-09-21 - 2008-09-27,20
2008-09-28 - 2008-10-04,23
2008-10-05 - 2008-10-11,25
2008-10-12 - 2008-10-18,21
2008-10-19 - 2008-10-25,28
2008-10-26 - 2008-11-01,24
2008-11-02 - 2008-11-08,24
2008-11-09 - 2008-11-15,24
2008-11-16 - 2008-11-22,24
2008-11-23 - 2008-11-29,22
2008-11-30 - 2008-12-06,27
2008-12-07 - 2008-12-13,29
2008-12-14 - 2008-12-20,29
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,24
2009-01-04 - 2009-01-10,27
2009-01-11 - 2009-01-17,31
2009-01-18 - 2009-01-24,28
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,42
2009-02-08 - 2009-02-14,41
2009-02-15 - 2009-02-21,31
2009-02-22 - 2009-02-28,32
2009-03-01 - 2009-03-07,35
2009-03-08 - 2009-03-14,32
2009-03-15 - 2009-03-21,37
2009-03-22 - 2009-03-28,28
2009-03-29 - 2009-04-04,25
2009-04-05 - 2009-04-11,31
2009-04-12 - 2009-04-18,34
2009-04-19 - 2009-04-25,36
2009-04-26 - 2009-05-02,44
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,37
2009-05-24 - 2009-05-30,45
2009-05-31 - 2009-06-06,43
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,49
2009-06-21 - 2009-06-27,41
2009-06-28 - 2009-07-04,49
2009-07-05 - 2009-07-11,37
2009-07-12 - 2009-07-18,44
2009-07-19 - 2009-07-25,42
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,31
2009-08-16 - 2009-08-22,36
2009-08-23 - 2009-08-29,37
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,41
2009-09-20 - 2009-09-26,39
2009-09-27 - 2009-10-03,40
2009-10-04 - 2009-10-10,37
2009-10-11 - 2009-10-17,36
2009-10-18 - 2009-10-24,39
2009-10-25 - 2009-10-31,38
2009-11-01 - 2009-11-07,35
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,39
2009-11-22 - 2009-11-28,39
2009-11-29 - 2009-12-05,38
2009-12-06 - 2009-12-12,38
2009-12-13 - 2009-12-19,32
2009-12-20 - 2009-12-26,29
2009-12-27 - 2010-01-02,28
2010-01-03 - 2010-01-09,34
2010-01-10 - 2010-01-16,32
2010-01-17 - 2010-01-23,31
2010-01-24 - 2010-01-30,36
2010-01-31 - 2010-02-06,37
2010-02-07 - 2010-02-13,30
2010-02-14 - 2010-02-20,31
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,33
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,26
2010-03-21 - 2010-03-27,31
2010-03-28 - 2010-04-03,26
2010-04-04 - 2010-04-10,29
2010-04-11 - 2010-04-17,27
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,32
2010-05-02 - 2010-05-08,29
2010-05-09 - 2010-05-15,32
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,27
2010-06-06 - 2010-06-12,32
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,37
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,36
2010-07-25 - 2010-07-31,34
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,31
2010-08-22 - 2010-08-28,29
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,33
2010-09-12 - 2010-09-18,33
2010-09-19 - 2010-09-25,29
2010-09-26 - 2010-10-02,29
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,34
2010-10-17 - 2010-10-23,35
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,37
2010-11-07 - 2010-11-13,45
2010-11-14 - 2010-11-20,41
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,37
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,25
2010-12-26 - 2011-01-01,34
