YouTube Search interest: evanescence
United States; Jan 2008 - Jul 2015

Interest over time
Week,evanescence
2008-01-06 - 2008-01-12,45
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,43
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,46
2008-02-10 - 2008-02-16,48
2008-02-17 - 2008-02-23,45
2008-02-24 - 2008-03-01,47
2008-03-02 - 2008-03-08,44
2008-03-09 - 2008-03-15,42
2008-03-16 - 2008-03-22,44
2008-03-23 - 2008-03-29,41
2008-03-30 - 2008-04-05,44
2008-04-06 - 2008-04-12,39
2008-04-13 - 2008-04-19,41
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,43
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,40
2008-05-25 - 2008-05-31,44
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,56
2008-06-15 - 2008-06-21,58
2008-06-22 - 2008-06-28,58
2008-06-29 - 2008-07-05,54
2008-07-06 - 2008-07-12,67
2008-07-13 - 2008-07-19,60
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,60
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,58
2008-08-17 - 2008-08-23,59
2008-08-24 - 2008-08-30,57
2008-08-31 - 2008-09-06,60
2008-09-07 - 2008-09-13,60
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,59
2008-09-28 - 2008-10-04,59
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,56
2008-10-19 - 2008-10-25,57
2008-10-26 - 2008-11-01,61
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,62
2008-11-30 - 2008-12-06,56
2008-12-07 - 2008-12-13,60
2008-12-14 - 2008-12-20,55
2008-12-21 - 2008-12-27,53
2008-12-28 - 2009-01-03,61
2009-01-04 - 2009-01-10,62
2009-01-11 - 2009-01-17,62
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,55
