YouTube Search interest: faith hill
United States; Jan 2008 - Jul 2015

Interest over time
Week,faith hill
2008-01-06 - 2008-01-12,51
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,54
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,64
2008-02-17 - 2008-02-23,47
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,49
2008-03-09 - 2008-03-15,52
2008-03-16 - 2008-03-22,50
2008-03-23 - 2008-03-29,43
2008-03-30 - 2008-04-05,47
2008-04-06 - 2008-04-12,48
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,57
2008-04-27 - 2008-05-03,53
2008-05-04 - 2008-05-10,45
2008-05-11 - 2008-05-17,43
2008-05-18 - 2008-05-24,40
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,49
2008-06-22 - 2008-06-28,61
2008-06-29 - 2008-07-05,53
2008-07-06 - 2008-07-12,47
2008-07-13 - 2008-07-19,56
2008-07-20 - 2008-07-26,42
2008-07-27 - 2008-08-02,48
2008-08-03 - 2008-08-09,48
2008-08-10 - 2008-08-16,47
2008-08-17 - 2008-08-23,46
2008-08-24 - 2008-08-30,55
2008-08-31 - 2008-09-06,50
2008-09-07 - 2008-09-13,53
2008-09-14 - 2008-09-20,53
2008-09-21 - 2008-09-27,56
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,48
2008-10-12 - 2008-10-18,55
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,57
2008-11-02 - 2008-11-08,60
2008-11-09 - 2008-11-15,63
2008-11-16 - 2008-11-22,68
2008-11-23 - 2008-11-29,75
2008-11-30 - 2008-12-06,73
2008-12-07 - 2008-12-13,85
2008-12-14 - 2008-12-20,97
2008-12-21 - 2008-12-27,90
2008-12-28 - 2009-01-03,55
2009-01-04 - 2009-01-10,58
2009-01-11 - 2009-01-17,53
2009-01-18 - 2009-01-24,64
2009-01-25 - 2009-01-31,60
2009-02-01 - 2009-02-07,87
2009-02-08 - 2009-02-14,58
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,50
2009-03-01 - 2009-03-07,55
2009-03-08 - 2009-03-14,47
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,42
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,45
2009-04-19 - 2009-04-25,44
2009-04-26 - 2009-05-02,41
2009-05-03 - 2009-05-09,43
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,47
2009-05-31 - 2009-06-06,44
2009-06-07 - 2009-06-13,43
2009-06-14 - 2009-06-20,44
2009-06-21 - 2009-06-27,37
2009-06-28 - 2009-07-04,41
2009-07-05 - 2009-07-11,39
2009-07-12 - 2009-07-18,39
2009-07-19 - 2009-07-25,44
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,45
2009-08-16 - 2009-08-22,39
2009-08-23 - 2009-08-29,43
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,42
2009-09-13 - 2009-09-19,54
2009-09-20 - 2009-09-26,48
2009-09-27 - 2009-10-03,45
2009-10-04 - 2009-10-10,44
2009-10-11 - 2009-10-17,44
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,66
2009-11-15 - 2009-11-21,60
