YouTube Search interest: florence+the machine
United States; Jan 2008 - Jul 2015

Interest over time
Week,florence+the machine
2008-01-06 - 2008-01-12,28
2008-01-13 - 2008-01-19,29
2008-01-20 - 2008-01-26,26
2008-01-27 - 2008-02-02,28
2008-02-03 - 2008-02-09,26
2008-02-10 - 2008-02-16,29
2008-02-17 - 2008-02-23,26
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,25
2008-03-09 - 2008-03-15,25
2008-03-16 - 2008-03-22,26
2008-03-23 - 2008-03-29,24
2008-03-30 - 2008-04-05,29
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,24
2008-04-27 - 2008-05-03,26
2008-05-04 - 2008-05-10,25
2008-05-11 - 2008-05-17,25
2008-05-18 - 2008-05-24,27
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,25
2008-06-08 - 2008-06-14,27
2008-06-15 - 2008-06-21,31
2008-06-22 - 2008-06-28,29
2008-06-29 - 2008-07-05,29
2008-07-06 - 2008-07-12,27
2008-07-13 - 2008-07-19,29
2008-07-20 - 2008-07-26,29
2008-07-27 - 2008-08-02,30
2008-08-03 - 2008-08-09,34
2008-08-10 - 2008-08-16,31
2008-08-17 - 2008-08-23,28
2008-08-24 - 2008-08-30,32
2008-08-31 - 2008-09-06,37
2008-09-07 - 2008-09-13,31
2008-09-14 - 2008-09-20,31
2008-09-21 - 2008-09-27,29
2008-09-28 - 2008-10-04,29
2008-10-05 - 2008-10-11,29
2008-10-12 - 2008-10-18,30
2008-10-19 - 2008-10-25,26
2008-10-26 - 2008-11-01,29
2008-11-02 - 2008-11-08,23
2008-11-09 - 2008-11-15,26
2008-11-16 - 2008-11-22,28
2008-11-23 - 2008-11-29,27
2008-11-30 - 2008-12-06,25
2008-12-07 - 2008-12-13,28
2008-12-14 - 2008-12-20,27
2008-12-21 - 2008-12-27,26
2008-12-28 - 2009-01-03,24
2009-01-04 - 2009-01-10,25
2009-01-11 - 2009-01-17,27
2009-01-18 - 2009-01-24,28
2009-01-25 - 2009-01-31,28
2009-02-01 - 2009-02-07,25
2009-02-08 - 2009-02-14,25
2009-02-15 - 2009-02-21,26
2009-02-22 - 2009-02-28,24
2009-03-01 - 2009-03-07,26
2009-03-08 - 2009-03-14,28
2009-03-15 - 2009-03-21,25
2009-03-22 - 2009-03-28,24
2009-03-29 - 2009-04-04,25
2009-04-05 - 2009-04-11,27
2009-04-12 - 2009-04-18,24
2009-04-19 - 2009-04-25,25
2009-04-26 - 2009-05-02,25
2009-05-03 - 2009-05-09,27
2009-05-10 - 2009-05-16,26
2009-05-17 - 2009-05-23,27
2009-05-24 - 2009-05-30,26
2009-05-31 - 2009-06-06,23
2009-06-07 - 2009-06-13,26
2009-06-14 - 2009-06-20,27
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,28
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,26
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,27
2009-08-16 - 2009-08-22,29
2009-08-23 - 2009-08-29,29
2009-08-30 - 2009-09-05,29
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,25
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,25
2009-10-04 - 2009-10-10,27
2009-10-11 - 2009-10-17,28
2009-10-18 - 2009-10-24,27
2009-10-25 - 2009-10-31,27
2009-11-01 - 2009-11-07,30
2009-11-08 - 2009-11-14,27
2009-11-15 - 2009-11-21,25
2009-11-22 - 2009-11-28,27
2009-11-29 - 2009-12-05,28
2009-12-06 - 2009-12-12,29
2009-12-13 - 2009-12-19,30
2009-12-20 - 2009-12-26,31
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,32
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,30
2010-01-24 - 2010-01-30,31
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,31
2010-03-07 - 2010-03-13,32
2010-03-14 - 2010-03-20,32
2010-03-21 - 2010-03-27,33
2010-03-28 - 2010-04-03,34
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,35
2010-04-18 - 2010-04-24,36
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,34
2010-05-16 - 2010-05-22,34
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,33
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,37
2010-07-11 - 2010-07-17,38
2010-07-18 - 2010-07-24,41
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,42
2010-08-15 - 2010-08-21,42
2010-08-22 - 2010-08-28,44
2010-08-29 - 2010-09-04,40
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,100
2010-09-19 - 2010-09-25,71
2010-09-26 - 2010-10-02,61
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,68
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,57
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,54
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,78
2010-12-05 - 2010-12-11,68
2010-12-12 - 2010-12-18,62
2010-12-19 - 2010-12-25,62
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,62
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,66
2011-02-13 - 2011-02-19,85
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,61
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,64
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,57
2011-05-29 - 2011-06-04,57
2011-06-05 - 2011-06-11,57
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,67
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,61
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,58
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,66
2011-10-09 - 2011-10-15,59
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,77
2011-11-06 - 2011-11-12,79
2011-11-13 - 2011-11-19,77
2011-11-20 - 2011-11-26,91
2011-11-27 - 2011-12-03,88
2011-12-04 - 2011-12-10,84
2011-12-11 - 2011-12-17,88
2011-12-18 - 2011-12-24,79
2011-12-25 - 2011-12-31,73
2012-01-01 - 2012-01-07,86
2012-01-08 - 2012-01-14,82
2012-01-15 - 2012-01-21,80
2012-01-22 - 2012-01-28,74
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,70
2012-02-12 - 2012-02-18,68
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,72
2012-03-11 - 2012-03-17,77
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,71
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,78
2012-04-22 - 2012-04-28,77
2012-04-29 - 2012-05-05,81
2012-05-06 - 2012-05-12,82
2012-05-13 - 2012-05-19,81
2012-05-20 - 2012-05-26,87
2012-05-27 - 2012-06-02,81
2012-06-03 - 2012-06-09,84
2012-06-10 - 2012-06-16,75
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,67
2012-07-01 - 2012-07-07,67
2012-07-08 - 2012-07-14,64
2012-07-15 - 2012-07-21,66
2012-07-22 - 2012-07-28,69
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,65
2012-08-12 - 2012-08-18,71
2012-08-19 - 2012-08-25,70
2012-08-26 - 2012-09-01,69
2012-09-02 - 2012-09-08,67
2012-09-09 - 2012-09-15,74
2012-09-16 - 2012-09-22,78
2012-09-23 - 2012-09-29,72
2012-09-30 - 2012-10-06,69
2012-10-07 - 2012-10-13,74
2012-10-14 - 2012-10-20,73
2012-10-21 - 2012-10-27,66
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,67
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,69
2012-11-25 - 2012-12-01,71
2012-12-02 - 2012-12-08,69
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,70
2012-12-23 - 2012-12-29,64
2012-12-30 - 2013-01-05,66
2013-01-06 - 2013-01-12,70
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,72
2013-01-27 - 2013-02-02,70
2013-02-03 - 2013-02-09,71
2013-02-10 - 2013-02-16,74
2013-02-17 - 2013-02-23,66
2013-02-24 - 2013-03-02,68
2013-03-03 - 2013-03-09,66
2013-03-10 - 2013-03-16,64
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,61
2013-03-31 - 2013-04-06,60
2013-04-07 - 2013-04-13,63
2013-04-14 - 2013-04-20,64
2013-04-21 - 2013-04-27,70
2013-04-28 - 2013-05-04,68
2013-05-05 - 2013-05-11,74
2013-05-12 - 2013-05-18,74
2013-05-19 - 2013-05-25,64
2013-05-26 - 2013-06-01,59
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,54
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,51
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,50
2013-07-21 - 2013-07-27,49
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,47
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,44
2013-12-08 - 2013-12-14,43
2013-12-15 - 2013-12-21,42
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,44
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,45
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,42
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,42
2014-04-06 - 2014-04-12,47
2014-04-13 - 2014-04-19,42
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,38
2014-05-04 - 2014-05-10,36
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,37
2014-05-25 - 2014-05-31,33
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,38
2014-06-15 - 2014-06-21,38
2014-06-22 - 2014-06-28,36
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,35
2014-07-13 - 2014-07-19,34
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,34
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,37
2014-08-17 - 2014-08-23,38
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,41
2014-09-21 - 2014-09-27,39
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,38
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,37
2014-11-23 - 2014-11-29,34
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,34
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,32
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,32
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,32
2015-02-08 - 2015-02-14,46
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,42
2015-03-01 - 2015-03-07,40
2015-03-08 - 2015-03-14,42
2015-03-15 - 2015-03-21,43
2015-03-22 - 2015-03-28,40
2015-03-29 - 2015-04-04,39
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,46
2015-04-19 - 2015-04-25,44
2015-04-26 - 2015-05-02,40
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,41
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,40
2015-06-28 - 2015-07-04,38
2015-07-05 - 2015-07-11,37
2015-07-12 - 2015-07-18,35
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,37


Top sub-regions for florence+the machine
Sub-region,florence+the machine
Montana,100
New Hampshire,91
Maine,90
Massachusetts,89
Colorado,88
Wisconsin,87
Ohio,86
Pennsylvania,85
Indiana,84
Vermont,82
Michigan,82
Rhode Island,82
Idaho,81
Minnesota,81
South Carolina,79
California,79
Utah,79
Kentucky,77
Connecticut,77
North Dakota,77
Washington,77
Iowa,77
Missouri,77
New York,76
Illinois,76
Arizona,75
Oregon,74
West Virginia,74
Tennessee,74
Oklahoma,73
New Mexico,72
North Carolina,72
South Dakota,72
New Jersey,72
Texas,71
Florida,71
Maryland,71
Alabama,71
Kansas,71
Delaware,70
Nebraska,69
Arkansas,67
Alaska,65
Georgia,65
Wyoming,65
Louisiana,64
District of Columbia,64
Nevada,62
Virginia,59
Hawaii,57
Mississippi,57


Top metros for florence+the machine
Metro,florence+the machine
Florence-Myrtle Beach SC,100
Wilmington NC,96
Columbia-Jefferson City MO,88
Portland-Auburn ME,87
Eugene OR,84
Wilkes Barre-Scranton PA,84
Santa Barbara-Santa Maria-San Luis Obispo CA,82
Boise ID,81
Boston MA-Manchester NH,81
Buffalo NY,80
Charlottesville VA,80
Spokane WA,80
Cincinnati OH,79
Dayton OH,78
Binghamton NY,78
Chico-Redding CA,78
Huntsville-Decatur (Florence) AL,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,77
Austin TX,77
Pittsburgh PA,76
Burlington VT-Plattsburgh NY,75
Cleveland-Akron (Canton) OH,75
Philadelphia PA,75
Denver CO,75
Gainesville FL,75
Los Angeles CA,74
Green Bay-Appleton WI,74
Madison WI,74
Providence RI-New Bedford MA,73
Johnstown-Altoona PA,73
Evansville IN,73
Springfield-Holyoke MA,72
Charleston-Huntington WV,72
Charleston SC,72
El Paso TX,72
Rochester NY,72
Albany-Schenectady-Troy NY,72
Colorado Springs-Pueblo CO,71
Milwaukee WI,71
Hartford & New Haven CT,71
Peoria-Bloomington IL,71
Minneapolis-St. Paul MN,71
Kansas City MO,71
Indianapolis IN,71
Columbus OH,70
Tri-Cities TN-VA,70
San Diego CA,70
Lansing MI,70
Seattle-Tacoma WA,69
Grand Rapids-Kalamazoo-Battle Creek MI,69
Salt Lake City UT,68
Monterey-Salinas CA,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68
New York NY,68
Chattanooga TN,68
Omaha NE,68
Toledo OH,68
La Crosse-Eau Claire WI,67
Lexington KY,67
Nashville TN,67
Baltimore MD,67
San Antonio TX,67
New Orleans LA,66
Syracuse NY,66
Roanoke-Lynchburg VA,66
Ft. Wayne IN,66
Richmond-Petersburg VA,66
Ft. Smith-Fayetteville-Springdale-Rogers AR,66
Harrisburg-Lancaster-Lebanon-York PA,66
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66
Reno NV,65
Flint-Saginaw-Bay City MI,65
Champaign & Springfield-Decatur IL,65
Tallahassee FL-Thomasville GA,65
St. Louis MO,65
Norfolk-Portsmouth-Newport News VA,64
Fargo-Valley City ND,64
Charlotte NC,63
Lincoln & Hastings-Kearney NE,63
Phoenix AZ,63
Orlando-Daytona Beach-Melbourne FL,62
Detroit MI,62
Portland OR,62
Albuquerque-Santa Fe NM,61
Birmingham AL,61
Greensboro-High Point-Winston Salem NC,61
Tampa-St. Petersburg (Sarasota) FL,61
Sioux Falls(Mitchell) SD,61
Sacramento-Stockton-Modesto CA,60
Des Moines-Ames IA,60
Chicago IL,60
Tucson (Sierra Vista) AZ,60
Greenville-New Bern-Washington NC,59
Oklahoma City OK,59
Columbia SC,59
South Bend-Elkhart IN,59
Knoxville TN,59
Little Rock-Pine Bluff AR,59
Savannah GA,58
Louisville KY,58
Memphis TN,58
Springfield MO,58
West Palm Beach-Ft. Pierce FL,58
Raleigh-Durham (Fayetteville) NC,58
Jacksonville FL,58
Baton Rouge LA,57
Wichita-Hutchinson KS,57
Tulsa OK,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Davenport IA-Rock Island-Moline IL,56
Honolulu HI,54
Bakersfield CA,54
Dallas-Ft. Worth TX,54
Miami-Ft. Lauderdale FL,54
Las Vegas NV,53
Atlanta GA,53
Waco-Temple-Bryan TX,52
Ft. Myers-Naples FL,52
Houston TX,51
San Francisco-Oakland-San Jose CA,51
Washington DC (Hagerstown MD),50
Shreveport LA,47
Fresno-Visalia CA,45
Harlingen-Weslaco-Brownsville-McAllen TX,42
Jackson MS,40
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
