YouTube Search interest: godsmack
United States; Jan 2008 - Jul 2015

Interest over time
Week,godsmack
2008-01-06 - 2008-01-12,74
2008-01-13 - 2008-01-19,71
2008-01-20 - 2008-01-26,64
2008-01-27 - 2008-02-02,58
2008-02-03 - 2008-02-09,60
2008-02-10 - 2008-02-16,67
2008-02-17 - 2008-02-23,53
2008-02-24 - 2008-03-01,60
2008-03-02 - 2008-03-08,56
2008-03-09 - 2008-03-15,69
2008-03-16 - 2008-03-22,58
2008-03-23 - 2008-03-29,46
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,57
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,56
2008-05-04 - 2008-05-10,59
2008-05-11 - 2008-05-17,55
2008-05-18 - 2008-05-24,58
2008-05-25 - 2008-05-31,53
2008-06-01 - 2008-06-07,60
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,53
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,54
2008-07-06 - 2008-07-12,57
2008-07-13 - 2008-07-19,54
2008-07-20 - 2008-07-26,59
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,60
2008-08-10 - 2008-08-16,61
2008-08-17 - 2008-08-23,60
2008-08-24 - 2008-08-30,59
2008-08-31 - 2008-09-06,49
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,55
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,60
2008-11-09 - 2008-11-15,55
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,53
2008-12-07 - 2008-12-13,56
2008-12-14 - 2008-12-20,54
2008-12-21 - 2008-12-27,49
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,50
2009-01-11 - 2009-01-17,48
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,50
2009-02-01 - 2009-02-07,51
2009-02-08 - 2009-02-14,54
2009-02-15 - 2009-02-21,50
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,51
2009-03-08 - 2009-03-14,55
2009-03-15 - 2009-03-21,54
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,48
2009-04-05 - 2009-04-11,48
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,49
2009-04-26 - 2009-05-02,51
2009-05-03 - 2009-05-09,50
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,56
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,50
2009-06-14 - 2009-06-20,56
2009-06-21 - 2009-06-27,57
2009-06-28 - 2009-07-04,51
2009-07-05 - 2009-07-11,51
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,61
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,52
2009-08-09 - 2009-08-15,60
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,60
2009-09-06 - 2009-09-12,60
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,58
2009-09-27 - 2009-10-03,57
2009-10-04 - 2009-10-10,55
2009-10-11 - 2009-10-17,56
2009-10-18 - 2009-10-24,51
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,46
2009-11-22 - 2009-11-28,53
2009-11-29 - 2009-12-05,44
2009-12-06 - 2009-12-12,57
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,48
2009-12-27 - 2010-01-02,47
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,52
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,51
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,55
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,61
2010-03-28 - 2010-04-03,63
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,58
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,100
2010-05-09 - 2010-05-15,85
2010-05-16 - 2010-05-22,80
2010-05-23 - 2010-05-29,75
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,68
2010-06-13 - 2010-06-19,66
2010-06-20 - 2010-06-26,56
2010-06-27 - 2010-07-03,65
2010-07-04 - 2010-07-10,64
2010-07-11 - 2010-07-17,64
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,63
2010-08-01 - 2010-08-07,60
2010-08-08 - 2010-08-14,64
2010-08-15 - 2010-08-21,58
2010-08-22 - 2010-08-28,65
2010-08-29 - 2010-09-04,70
2010-09-05 - 2010-09-11,64
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,62
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,70
2010-10-10 - 2010-10-16,66
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,65
2010-10-31 - 2010-11-06,67
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,64
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,55
2010-12-26 - 2011-01-01,56
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,63
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,65
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,66
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,67
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,63
