YouTube Search interest: green day
United States; Jan 2008 - Jul 2015

Interest over time
Week,green day
2008-01-06 - 2008-01-12,30
2008-01-13 - 2008-01-19,33
2008-01-20 - 2008-01-26,31
2008-01-27 - 2008-02-02,31
2008-02-03 - 2008-02-09,32
2008-02-10 - 2008-02-16,34
2008-02-17 - 2008-02-23,30
2008-02-24 - 2008-03-01,31
2008-03-02 - 2008-03-08,31
2008-03-09 - 2008-03-15,29
2008-03-16 - 2008-03-22,29
2008-03-23 - 2008-03-29,30
2008-03-30 - 2008-04-05,28
2008-04-06 - 2008-04-12,27
2008-04-13 - 2008-04-19,30
2008-04-20 - 2008-04-26,31
2008-04-27 - 2008-05-03,27
2008-05-04 - 2008-05-10,30
2008-05-11 - 2008-05-17,31
2008-05-18 - 2008-05-24,31
2008-05-25 - 2008-05-31,27
2008-06-01 - 2008-06-07,31
2008-06-08 - 2008-06-14,37
2008-06-15 - 2008-06-21,38
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,32
2008-07-13 - 2008-07-19,33
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,33
2008-08-10 - 2008-08-16,32
2008-08-17 - 2008-08-23,39
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,37
2008-09-14 - 2008-09-20,34
2008-09-21 - 2008-09-27,39
2008-09-28 - 2008-10-04,37
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,34
2008-10-19 - 2008-10-25,36
2008-10-26 - 2008-11-01,35
2008-11-02 - 2008-11-08,36
2008-11-09 - 2008-11-15,36
2008-11-16 - 2008-11-22,37
2008-11-23 - 2008-11-29,36
2008-11-30 - 2008-12-06,32
2008-12-07 - 2008-12-13,33
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,37
2008-12-28 - 2009-01-03,39
2009-01-04 - 2009-01-10,36
2009-01-11 - 2009-01-17,34
2009-01-18 - 2009-01-24,32
2009-01-25 - 2009-01-31,32
2009-02-01 - 2009-02-07,31
2009-02-08 - 2009-02-14,37
2009-02-15 - 2009-02-21,34
2009-02-22 - 2009-02-28,37
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,36
2009-03-15 - 2009-03-21,39
2009-03-22 - 2009-03-28,38
2009-03-29 - 2009-04-04,33
2009-04-05 - 2009-04-11,38
2009-04-12 - 2009-04-18,42
2009-04-19 - 2009-04-25,56
2009-04-26 - 2009-05-02,58
2009-05-03 - 2009-05-09,60
2009-05-10 - 2009-05-16,83
2009-05-17 - 2009-05-23,100
2009-05-24 - 2009-05-30,83
2009-05-31 - 2009-06-06,75
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,66
2009-06-21 - 2009-06-27,68
2009-06-28 - 2009-07-04,77
2009-07-05 - 2009-07-11,75
2009-07-12 - 2009-07-18,82
2009-07-19 - 2009-07-25,73
2009-07-26 - 2009-08-01,73
2009-08-02 - 2009-08-08,73
2009-08-09 - 2009-08-15,70
2009-08-16 - 2009-08-22,71
2009-08-23 - 2009-08-29,66
2009-08-30 - 2009-09-05,65
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,79
2009-09-20 - 2009-09-26,72
2009-09-27 - 2009-10-03,66
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,61
2009-10-18 - 2009-10-24,59
2009-10-25 - 2009-10-31,58
2009-11-01 - 2009-11-07,55
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,54
2009-11-22 - 2009-11-28,59
2009-11-29 - 2009-12-05,51
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,55
2009-12-20 - 2009-12-26,54
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,48
2010-01-17 - 2010-01-23,47
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,66
2010-02-07 - 2010-02-13,49
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,44
2010-02-28 - 2010-03-06,42
2010-03-07 - 2010-03-13,43
2010-03-14 - 2010-03-20,44
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,43
2010-04-04 - 2010-04-10,45
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,46
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,45
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,46
2010-05-23 - 2010-05-29,44
2010-05-30 - 2010-06-05,50
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,41
2010-07-18 - 2010-07-24,42
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,39
2010-08-08 - 2010-08-14,43
2010-08-15 - 2010-08-21,41
2010-08-22 - 2010-08-28,40
2010-08-29 - 2010-09-04,43
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,40
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,44
2010-10-17 - 2010-10-23,43
2010-10-24 - 2010-10-30,45
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,38
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,40
2010-12-12 - 2010-12-18,38
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,35
2011-01-16 - 2011-01-22,37
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,38
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,36
2011-03-13 - 2011-03-19,34
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,37
2011-04-10 - 2011-04-16,33
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,38
2011-05-29 - 2011-06-04,39
2011-06-05 - 2011-06-11,36
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,33
2011-06-26 - 2011-07-02,34
2011-07-03 - 2011-07-09,33
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,32
2011-08-07 - 2011-08-13,32
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,32
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,33
2011-09-11 - 2011-09-17,31
2011-09-18 - 2011-09-24,30
2011-09-25 - 2011-10-01,29
2011-10-02 - 2011-10-08,30
2011-10-09 - 2011-10-15,30
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,29
2011-11-06 - 2011-11-12,26
2011-11-13 - 2011-11-19,27
2011-11-20 - 2011-11-26,28
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,26
2011-12-11 - 2011-12-17,28
2011-12-18 - 2011-12-24,28
2011-12-25 - 2011-12-31,25
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,27
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,26
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,25
2012-02-12 - 2012-02-18,26
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,25
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,26
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,25
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,25
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,26
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,28
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,41
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,41
2012-09-23 - 2012-09-29,65
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,31
2012-10-21 - 2012-10-27,28
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,24
2013-03-03 - 2013-03-09,24
2013-03-10 - 2013-03-16,24
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,22
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,22
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,20
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,18
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,19
2014-03-09 - 2014-03-15,20
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,19
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,20
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,17
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,17
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,18
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,17
