YouTube Search interest: gucci mane
United States; Jan 2008 - Jul 2015

Interest over time
Week,gucci mane
2008-01-06 - 2008-01-12,17
2008-01-13 - 2008-01-19,17
2008-01-20 - 2008-01-26,18
2008-01-27 - 2008-02-02,17
2008-02-03 - 2008-02-09,16
2008-02-10 - 2008-02-16,17
2008-02-17 - 2008-02-23,17
2008-02-24 - 2008-03-01,19
2008-03-02 - 2008-03-08,17
2008-03-09 - 2008-03-15,20
2008-03-16 - 2008-03-22,18
2008-03-23 - 2008-03-29,20
2008-03-30 - 2008-04-05,23
2008-04-06 - 2008-04-12,22
2008-04-13 - 2008-04-19,20
2008-04-20 - 2008-04-26,21
2008-04-27 - 2008-05-03,21
2008-05-04 - 2008-05-10,21
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,23
2008-05-25 - 2008-05-31,24
2008-06-01 - 2008-06-07,24
2008-06-08 - 2008-06-14,26
2008-06-15 - 2008-06-21,28
2008-06-22 - 2008-06-28,29
2008-06-29 - 2008-07-05,28
2008-07-06 - 2008-07-12,32
2008-07-13 - 2008-07-19,32
2008-07-20 - 2008-07-26,33
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,35
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,41
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,44
2008-09-14 - 2008-09-20,51
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,52
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,53
2008-10-19 - 2008-10-25,53
2008-10-26 - 2008-11-01,53
2008-11-02 - 2008-11-08,52
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,56
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,59
2008-12-07 - 2008-12-13,61
2008-12-14 - 2008-12-20,65
2008-12-21 - 2008-12-27,66
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,67
2009-01-11 - 2009-01-17,71
2009-01-18 - 2009-01-24,63
2009-01-25 - 2009-01-31,65
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,68
2009-02-15 - 2009-02-21,70
2009-02-22 - 2009-02-28,72
2009-03-01 - 2009-03-07,75
2009-03-08 - 2009-03-14,80
2009-03-15 - 2009-03-21,90
2009-03-22 - 2009-03-28,92
2009-03-29 - 2009-04-04,81
2009-04-05 - 2009-04-11,87
2009-04-12 - 2009-04-18,88
2009-04-19 - 2009-04-25,88
2009-04-26 - 2009-05-02,93
2009-05-03 - 2009-05-09,90
2009-05-10 - 2009-05-16,95
2009-05-17 - 2009-05-23,95
2009-05-24 - 2009-05-30,100
2009-05-31 - 2009-06-06,98
2009-06-07 - 2009-06-13,94
2009-06-14 - 2009-06-20,64
2009-06-21 - 2009-06-27,73
2009-06-28 - 2009-07-04,66
2009-07-05 - 2009-07-11,63
2009-07-12 - 2009-07-18,72
2009-07-19 - 2009-07-25,71
2009-07-26 - 2009-08-01,76
2009-08-02 - 2009-08-08,74
2009-08-09 - 2009-08-15,71
2009-08-16 - 2009-08-22,81
2009-08-23 - 2009-08-29,80
2009-08-30 - 2009-09-05,78
2009-09-06 - 2009-09-12,77
2009-09-13 - 2009-09-19,68
2009-09-20 - 2009-09-26,66
2009-09-27 - 2009-10-03,67
2009-10-04 - 2009-10-10,70
2009-10-11 - 2009-10-17,70
2009-10-18 - 2009-10-24,82
2009-10-25 - 2009-10-31,82
2009-11-01 - 2009-11-07,73
2009-11-08 - 2009-11-14,74
2009-11-15 - 2009-11-21,72
2009-11-22 - 2009-11-28,72
2009-11-29 - 2009-12-05,77
2009-12-06 - 2009-12-12,91
2009-12-13 - 2009-12-19,89
2009-12-20 - 2009-12-26,83
2009-12-27 - 2010-01-02,82
2010-01-03 - 2010-01-09,76
2010-01-10 - 2010-01-16,73
2010-01-17 - 2010-01-23,73
2010-01-24 - 2010-01-30,72
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,66
2010-02-14 - 2010-02-20,65
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,66
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,84
2010-03-21 - 2010-03-27,85
2010-03-28 - 2010-04-03,82
2010-04-04 - 2010-04-10,84
2010-04-11 - 2010-04-17,82
2010-04-18 - 2010-04-24,82
2010-04-25 - 2010-05-01,76
2010-05-02 - 2010-05-08,78
2010-05-09 - 2010-05-15,81
2010-05-16 - 2010-05-22,85
2010-05-23 - 2010-05-29,84
2010-05-30 - 2010-06-05,87
2010-06-06 - 2010-06-12,84
2010-06-13 - 2010-06-19,88
2010-06-20 - 2010-06-26,88
2010-06-27 - 2010-07-03,90
2010-07-04 - 2010-07-10,97
2010-07-11 - 2010-07-17,94
2010-07-18 - 2010-07-24,98
2010-07-25 - 2010-07-31,90
2010-08-01 - 2010-08-07,89
2010-08-08 - 2010-08-14,93
2010-08-15 - 2010-08-21,95
2010-08-22 - 2010-08-28,93
2010-08-29 - 2010-09-04,95
2010-09-05 - 2010-09-11,92
2010-09-12 - 2010-09-18,89
2010-09-19 - 2010-09-25,96
2010-09-26 - 2010-10-02,99
2010-10-03 - 2010-10-09,88
2010-10-10 - 2010-10-16,86
2010-10-17 - 2010-10-23,84
2010-10-24 - 2010-10-30,79
2010-10-31 - 2010-11-06,77
2010-11-07 - 2010-11-13,73
2010-11-14 - 2010-11-20,74
2010-11-21 - 2010-11-27,69
2010-11-28 - 2010-12-04,69
2010-12-05 - 2010-12-11,68
2010-12-12 - 2010-12-18,67
2010-12-19 - 2010-12-25,65
2010-12-26 - 2011-01-01,67
2011-01-02 - 2011-01-08,79
2011-01-09 - 2011-01-15,82
2011-01-16 - 2011-01-22,78
2011-01-23 - 2011-01-29,80
2011-01-30 - 2011-02-05,77
2011-02-06 - 2011-02-12,75
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,75
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,74
2011-03-20 - 2011-03-26,87
2011-03-27 - 2011-04-02,81
2011-04-03 - 2011-04-09,76
2011-04-10 - 2011-04-16,75
2011-04-17 - 2011-04-23,75
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,68
2011-05-08 - 2011-05-14,66
2011-05-15 - 2011-05-21,68
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,62
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,59
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,63
2011-07-24 - 2011-07-30,64
2011-07-31 - 2011-08-06,64
2011-08-07 - 2011-08-13,63
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,61
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,55
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,49
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,44
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,43
2012-01-08 - 2012-01-14,42
2012-01-15 - 2012-01-21,45
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,48
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,46
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,42
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,40
2012-04-29 - 2012-05-05,41
2012-05-06 - 2012-05-12,38
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,38
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,35
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,34
2012-08-05 - 2012-08-11,31
