YouTube Search interest: ingrid michaelson
United States; Jan 2008 - Jul 2015

Interest over time
Week,ingrid michaelson
2008-01-06 - 2008-01-12,81
2008-01-13 - 2008-01-19,54
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,56
2008-02-10 - 2008-02-16,58
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,37
2008-03-02 - 2008-03-08,39
2008-03-09 - 2008-03-15,33
2008-03-16 - 2008-03-22,37
2008-03-23 - 2008-03-29,35
2008-03-30 - 2008-04-05,30
2008-04-06 - 2008-04-12,29
2008-04-13 - 2008-04-19,37
2008-04-20 - 2008-04-26,21
2008-04-27 - 2008-05-03,21
2008-05-04 - 2008-05-10,18
2008-05-11 - 2008-05-17,20
2008-05-18 - 2008-05-24,19
2008-05-25 - 2008-05-31,23
2008-06-01 - 2008-06-07,17
2008-06-08 - 2008-06-14,25
2008-06-15 - 2008-06-21,23
2008-06-22 - 2008-06-28,26
2008-06-29 - 2008-07-05,23
2008-07-06 - 2008-07-12,22
2008-07-13 - 2008-07-19,23
2008-07-20 - 2008-07-26,27
2008-07-27 - 2008-08-02,26
2008-08-03 - 2008-08-09,23
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,18
2008-08-24 - 2008-08-30,20
2008-08-31 - 2008-09-06,24
2008-09-07 - 2008-09-13,28
2008-09-14 - 2008-09-20,27
2008-09-21 - 2008-09-27,27
2008-09-28 - 2008-10-04,27
2008-10-05 - 2008-10-11,27
2008-10-12 - 2008-10-18,38
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,34
2008-11-02 - 2008-11-08,30
2008-11-09 - 2008-11-15,33
2008-11-16 - 2008-11-22,40
2008-11-23 - 2008-11-29,29
2008-11-30 - 2008-12-06,34
2008-12-07 - 2008-12-13,38
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,29
2008-12-28 - 2009-01-03,36
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,33
2009-01-18 - 2009-01-24,33
2009-01-25 - 2009-01-31,36
2009-02-01 - 2009-02-07,28
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,32
2009-03-01 - 2009-03-07,32
2009-03-08 - 2009-03-14,31
2009-03-15 - 2009-03-21,34
2009-03-22 - 2009-03-28,34
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,35
2009-04-19 - 2009-04-25,35
2009-04-26 - 2009-05-02,31
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,38
2009-05-31 - 2009-06-06,42
2009-06-07 - 2009-06-13,40
2009-06-14 - 2009-06-20,32
2009-06-21 - 2009-06-27,27
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,22
2009-07-12 - 2009-07-18,37
2009-07-19 - 2009-07-25,35
2009-07-26 - 2009-08-01,28
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,42
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,46
2009-08-30 - 2009-09-05,46
2009-09-06 - 2009-09-12,45
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,57
2009-10-04 - 2009-10-10,56
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,65
2009-10-25 - 2009-10-31,59
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,69
2009-11-22 - 2009-11-28,44
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,68
2009-12-13 - 2009-12-19,71
2009-12-20 - 2009-12-26,48
2009-12-27 - 2010-01-02,54
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,59
2010-01-17 - 2010-01-23,69
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,63
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,86
2010-02-28 - 2010-03-06,82
2010-03-07 - 2010-03-13,73
2010-03-14 - 2010-03-20,79
2010-03-21 - 2010-03-27,68
2010-03-28 - 2010-04-03,69
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,52
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,45
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,45
2010-06-06 - 2010-06-12,44
2010-06-13 - 2010-06-19,55
2010-06-20 - 2010-06-26,48
2010-06-27 - 2010-07-03,43
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,46
2010-07-18 - 2010-07-24,45
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,44
2010-08-08 - 2010-08-14,44
2010-08-15 - 2010-08-21,47
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,63
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,60
2010-10-03 - 2010-10-09,62
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,79
2010-10-24 - 2010-10-30,59
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,71
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,53
