YouTube Search interest: jack johnson
United States; Jan 2008 - Jul 2015

Interest over time
Week,jack johnson
2008-01-06 - 2008-01-12,58
2008-01-13 - 2008-01-19,64
2008-01-20 - 2008-01-26,57
2008-01-27 - 2008-02-02,75
2008-02-03 - 2008-02-09,100
2008-02-10 - 2008-02-16,85
2008-02-17 - 2008-02-23,86
2008-02-24 - 2008-03-01,86
2008-03-02 - 2008-03-08,92
2008-03-09 - 2008-03-15,81
2008-03-16 - 2008-03-22,77
2008-03-23 - 2008-03-29,74
2008-03-30 - 2008-04-05,82
2008-04-06 - 2008-04-12,75
2008-04-13 - 2008-04-19,79
2008-04-20 - 2008-04-26,76
2008-04-27 - 2008-05-03,76
2008-05-04 - 2008-05-10,80
2008-05-11 - 2008-05-17,65
2008-05-18 - 2008-05-24,65
2008-05-25 - 2008-05-31,69
2008-06-01 - 2008-06-07,64
2008-06-08 - 2008-06-14,77
2008-06-15 - 2008-06-21,77
2008-06-22 - 2008-06-28,73
2008-06-29 - 2008-07-05,62
2008-07-06 - 2008-07-12,70
2008-07-13 - 2008-07-19,68
2008-07-20 - 2008-07-26,63
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,65
2008-08-10 - 2008-08-16,70
2008-08-17 - 2008-08-23,78
2008-08-24 - 2008-08-30,82
2008-08-31 - 2008-09-06,80
2008-09-07 - 2008-09-13,80
2008-09-14 - 2008-09-20,76
2008-09-21 - 2008-09-27,78
2008-09-28 - 2008-10-04,70
2008-10-05 - 2008-10-11,73
2008-10-12 - 2008-10-18,70
2008-10-19 - 2008-10-25,66
2008-10-26 - 2008-11-01,67
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,70
2008-11-16 - 2008-11-22,70
2008-11-23 - 2008-11-29,60
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,66
2008-12-14 - 2008-12-20,62
2008-12-21 - 2008-12-27,58
2008-12-28 - 2009-01-03,52
2009-01-04 - 2009-01-10,59
2009-01-11 - 2009-01-17,59
2009-01-18 - 2009-01-24,66
2009-01-25 - 2009-01-31,69
2009-02-01 - 2009-02-07,68
2009-02-08 - 2009-02-14,65
2009-02-15 - 2009-02-21,67
2009-02-22 - 2009-02-28,61
2009-03-01 - 2009-03-07,70
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,61
