YouTube Search interest: james newton howard
United States; Jan 2008 - Jul 2015

Interest over time
Month,james newton howard
2008-01,0
2008-02,0
2008-03,0
2008-04,17
2008-05,15
2008-06,15
2008-07,12
2008-08,12
2008-09,12
2008-10,10
2008-11,10
2008-12,12
2009-01,12
2009-02,16
2009-03,11
2009-04,11
2009-05,11
2009-06,11
2009-07,11
2009-08,15
2009-09,9
2009-10,10
2009-11,10
2009-12,15
2010-01,8
2010-02,12
2010-03,10
2010-04,13
2010-05,15
2010-06,22
2010-07,24
2010-08,15
2010-09,13
2010-10,16
2010-11,19
2010-12,17
2011-01,15
2011-02,13
2011-03,18
2011-04,20
2011-05,11
2011-06,13
2011-07,16
2011-08,12
2011-09,13
2011-10,10
2011-11,13
2011-12,13
2012-01,10
2012-02,8
2012-03,23
2012-04,14
2012-05,19
2012-06,14
2012-07,16
2012-08,16
2012-09,20
2012-10,10
2012-11,10
2012-12,11
2013-01,14
2013-02,11
2013-03,12
2013-04,12
2013-05,14
2013-06,12
2013-07,14
2013-08,9
2013-09,11
2013-10,11
2013-11,19
2013-12,23
2014-01,15
2014-02,9
2014-03,15
2014-04,12
2014-05,13
2014-06,12
2014-07,10
2014-08,9
2014-09,11
2014-10,16
2014-11,34
2014-12,100
2015-01,59
2015-02,24
2015-03,22
2015-04,19
2015-05,19
2015-06,13
2015-07,11


Top sub-regions for james newton howard
Sub-region,james newton howard
California,100
Texas,81
New York,79
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Florida,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for james newton howard
the hanging tree,100



Rising searches for james newton howard
the hanging tree,Breakout



