YouTube Search interest: jason mraz
United States; Jan 2008 - Jul 2015

Interest over time
Week,jason mraz
2008-01-06 - 2008-01-12,8
2008-01-13 - 2008-01-19,8
2008-01-20 - 2008-01-26,8
2008-01-27 - 2008-02-02,9
2008-02-03 - 2008-02-09,9
2008-02-10 - 2008-02-16,10
2008-02-17 - 2008-02-23,9
2008-02-24 - 2008-03-01,8
2008-03-02 - 2008-03-08,9
2008-03-09 - 2008-03-15,11
2008-03-16 - 2008-03-22,13
2008-03-23 - 2008-03-29,13
2008-03-30 - 2008-04-05,12
2008-04-06 - 2008-04-12,13
2008-04-13 - 2008-04-19,14
2008-04-20 - 2008-04-26,15
2008-04-27 - 2008-05-03,16
2008-05-04 - 2008-05-10,21
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,27
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,26
2008-06-08 - 2008-06-14,32
2008-06-15 - 2008-06-21,34
2008-06-22 - 2008-06-28,35
2008-06-29 - 2008-07-05,39
2008-07-06 - 2008-07-12,44
2008-07-13 - 2008-07-19,48
2008-07-20 - 2008-07-26,44
2008-07-27 - 2008-08-02,47
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,51
2008-08-17 - 2008-08-23,59
2008-08-24 - 2008-08-30,67
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,75
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,78
2008-09-28 - 2008-10-04,78
2008-10-05 - 2008-10-11,77
2008-10-12 - 2008-10-18,80
2008-10-19 - 2008-10-25,84
2008-10-26 - 2008-11-01,84
2008-11-02 - 2008-11-08,88
2008-11-09 - 2008-11-15,88
2008-11-16 - 2008-11-22,85
2008-11-23 - 2008-11-29,81
2008-11-30 - 2008-12-06,85
2008-12-07 - 2008-12-13,82
2008-12-14 - 2008-12-20,79
2008-12-21 - 2008-12-27,87
2008-12-28 - 2009-01-03,76
2009-01-04 - 2009-01-10,86
2009-01-11 - 2009-01-17,87
2009-01-18 - 2009-01-24,81
2009-01-25 - 2009-01-31,77
2009-02-01 - 2009-02-07,86
2009-02-08 - 2009-02-14,100
2009-02-15 - 2009-02-21,85
2009-02-22 - 2009-02-28,77
2009-03-01 - 2009-03-07,73
2009-03-08 - 2009-03-14,69
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,80
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,75
2009-04-12 - 2009-04-18,69
2009-04-19 - 2009-04-25,68
2009-04-26 - 2009-05-02,71
2009-05-03 - 2009-05-09,68
2009-05-10 - 2009-05-16,64
2009-05-17 - 2009-05-23,69
2009-05-24 - 2009-05-30,63
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,57
2009-06-14 - 2009-06-20,53
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,62
2009-07-26 - 2009-08-01,56
2009-08-02 - 2009-08-08,61
2009-08-09 - 2009-08-15,65
