YouTube Search interest: justin moore
United States; Jan 2008 - Jul 2015

Interest over time
Week,justin moore
2008-01-06 - 2008-01-12,0
2008-01-13 - 2008-01-19,0
2008-01-20 - 2008-01-26,0
2008-01-27 - 2008-02-02,0
2008-02-03 - 2008-02-09,0
2008-02-10 - 2008-02-16,0
2008-02-17 - 2008-02-23,0
2008-02-24 - 2008-03-01,0
2008-03-02 - 2008-03-08,0
2008-03-09 - 2008-03-15,0
2008-03-16 - 2008-03-22,0
2008-03-23 - 2008-03-29,0
2008-03-30 - 2008-04-05,0
2008-04-06 - 2008-04-12,0
2008-04-13 - 2008-04-19,0
2008-04-20 - 2008-04-26,0
2008-04-27 - 2008-05-03,0
2008-05-04 - 2008-05-10,0
2008-05-11 - 2008-05-17,0
2008-05-18 - 2008-05-24,0
2008-05-25 - 2008-05-31,0
2008-06-01 - 2008-06-07,0
2008-06-08 - 2008-06-14,0
2008-06-15 - 2008-06-21,0
2008-06-22 - 2008-06-28,0
2008-06-29 - 2008-07-05,0
2008-07-06 - 2008-07-12,0
2008-07-13 - 2008-07-19,0
2008-07-20 - 2008-07-26,0
2008-07-27 - 2008-08-02,0
2008-08-03 - 2008-08-09,0
2008-08-10 - 2008-08-16,0
2008-08-17 - 2008-08-23,0
2008-08-24 - 2008-08-30,4
2008-08-31 - 2008-09-06,5
2008-09-07 - 2008-09-13,4
2008-09-14 - 2008-09-20,4
2008-09-21 - 2008-09-27,3
2008-09-28 - 2008-10-04,4
2008-10-05 - 2008-10-11,4
2008-10-12 - 2008-10-18,4
2008-10-19 - 2008-10-25,4
2008-10-26 - 2008-11-01,4
2008-11-02 - 2008-11-08,3
2008-11-09 - 2008-11-15,5
2008-11-16 - 2008-11-22,4
2008-11-23 - 2008-11-29,4
2008-11-30 - 2008-12-06,4
2008-12-07 - 2008-12-13,4
2008-12-14 - 2008-12-20,4
2008-12-21 - 2008-12-27,4
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,3
2009-01-11 - 2009-01-17,3
2009-01-18 - 2009-01-24,4
2009-01-25 - 2009-01-31,4
2009-02-01 - 2009-02-07,5
2009-02-08 - 2009-02-14,5
2009-02-15 - 2009-02-21,5
2009-02-22 - 2009-02-28,6
2009-03-01 - 2009-03-07,4
2009-03-08 - 2009-03-14,6
2009-03-15 - 2009-03-21,7
