YouTube Search interest: kelly clarkson
United States; Jan 2008 - Jul 2015

Interest over time
Week,kelly clarkson
2008-01-06 - 2008-01-12,23
2008-01-13 - 2008-01-19,31
2008-01-20 - 2008-01-26,26
2008-01-27 - 2008-02-02,25
2008-02-03 - 2008-02-09,26
2008-02-10 - 2008-02-16,23
2008-02-17 - 2008-02-23,22
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,24
2008-03-09 - 2008-03-15,25
2008-03-16 - 2008-03-22,24
2008-03-23 - 2008-03-29,22
2008-03-30 - 2008-04-05,22
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,23
2008-04-20 - 2008-04-26,27
2008-04-27 - 2008-05-03,20
2008-05-04 - 2008-05-10,20
2008-05-11 - 2008-05-17,20
2008-05-18 - 2008-05-24,24
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,20
2008-06-08 - 2008-06-14,22
2008-06-15 - 2008-06-21,20
2008-06-22 - 2008-06-28,21
2008-06-29 - 2008-07-05,20
2008-07-06 - 2008-07-12,23
2008-07-13 - 2008-07-19,20
2008-07-20 - 2008-07-26,18
2008-07-27 - 2008-08-02,21
2008-08-03 - 2008-08-09,21
2008-08-10 - 2008-08-16,19
2008-08-17 - 2008-08-23,18
2008-08-24 - 2008-08-30,20
2008-08-31 - 2008-09-06,22
2008-09-07 - 2008-09-13,20
2008-09-14 - 2008-09-20,21
2008-09-21 - 2008-09-27,20
2008-09-28 - 2008-10-04,22
2008-10-05 - 2008-10-11,18
2008-10-12 - 2008-10-18,20
2008-10-19 - 2008-10-25,18
2008-10-26 - 2008-11-01,21
2008-11-02 - 2008-11-08,19
2008-11-09 - 2008-11-15,21
2008-11-16 - 2008-11-22,22
2008-11-23 - 2008-11-29,21
2008-11-30 - 2008-12-06,19
2008-12-07 - 2008-12-13,21
2008-12-14 - 2008-12-20,21
2008-12-21 - 2008-12-27,19
2008-12-28 - 2009-01-03,20
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,44
2009-01-25 - 2009-01-31,72
2009-02-01 - 2009-02-07,67
2009-02-08 - 2009-02-14,66
2009-02-15 - 2009-02-21,55
2009-02-22 - 2009-02-28,56
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,78
2009-03-15 - 2009-03-21,68
2009-03-22 - 2009-03-28,54
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,48
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,52
2009-04-26 - 2009-05-02,52
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,51
2009-05-17 - 2009-05-23,51
2009-05-24 - 2009-05-30,47
2009-05-31 - 2009-06-06,43
2009-06-07 - 2009-06-13,44
2009-06-14 - 2009-06-20,38
2009-06-21 - 2009-06-27,37
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,57
2009-08-02 - 2009-08-08,45
2009-08-09 - 2009-08-15,42
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,41
2009-08-30 - 2009-09-05,44
2009-09-06 - 2009-09-12,48
2009-09-13 - 2009-09-19,51
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,52
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,48
2009-10-18 - 2009-10-24,50
2009-10-25 - 2009-10-31,47
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,46
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,49
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,44
2009-12-20 - 2009-12-26,40
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,32
2010-01-31 - 2010-02-06,32
2010-02-07 - 2010-02-13,30
2010-02-14 - 2010-02-20,29
2010-02-21 - 2010-02-27,28
2010-02-28 - 2010-03-06,29
2010-03-07 - 2010-03-13,28
2010-03-14 - 2010-03-20,27
2010-03-21 - 2010-03-27,28
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,27
2010-04-11 - 2010-04-17,29
2010-04-18 - 2010-04-24,28
2010-04-25 - 2010-05-01,28
2010-05-02 - 2010-05-08,29
2010-05-09 - 2010-05-15,27
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,27
2010-06-06 - 2010-06-12,25
2010-06-13 - 2010-06-19,23
2010-06-20 - 2010-06-26,22
2010-06-27 - 2010-07-03,22
2010-07-04 - 2010-07-10,21
2010-07-11 - 2010-07-17,22
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,21
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,18
2010-08-15 - 2010-08-21,20
2010-08-22 - 2010-08-28,19
2010-08-29 - 2010-09-04,20
2010-09-05 - 2010-09-11,18
2010-09-12 - 2010-09-18,19
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,20
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,23
2010-11-07 - 2010-11-13,26
2010-11-14 - 2010-11-20,25
2010-11-21 - 2010-11-27,23
2010-11-28 - 2010-12-04,24
2010-12-05 - 2010-12-11,24
2010-12-12 - 2010-12-18,23
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,21
2011-01-02 - 2011-01-08,26
2011-01-09 - 2011-01-15,26
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,31
2011-02-13 - 2011-02-19,32
2011-02-20 - 2011-02-26,31
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,34
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,34
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,30
2011-05-22 - 2011-05-28,30
2011-05-29 - 2011-06-04,29
2011-06-05 - 2011-06-11,29
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,28
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,32
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,48
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,54
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,58
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,41
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,59
