YouTube Search interest: keri hilson
United States; Jan 2008 - Jul 2015

Interest over time
Week,keri hilson
2008-01-06 - 2008-01-12,1
2008-01-13 - 2008-01-19,1
2008-01-20 - 2008-01-26,1
2008-01-27 - 2008-02-02,1
2008-02-03 - 2008-02-09,1
2008-02-10 - 2008-02-16,1
2008-02-17 - 2008-02-23,1
2008-02-24 - 2008-03-01,1
2008-03-02 - 2008-03-08,1
2008-03-09 - 2008-03-15,1
2008-03-16 - 2008-03-22,1
2008-03-23 - 2008-03-29,1
2008-03-30 - 2008-04-05,1
2008-04-06 - 2008-04-12,1
2008-04-13 - 2008-04-19,1
2008-04-20 - 2008-04-26,1
2008-04-27 - 2008-05-03,1
2008-05-04 - 2008-05-10,1
2008-05-11 - 2008-05-17,1
2008-05-18 - 2008-05-24,1
2008-05-25 - 2008-05-31,1
2008-06-01 - 2008-06-07,1
2008-06-08 - 2008-06-14,2
2008-06-15 - 2008-06-21,2
2008-06-22 - 2008-06-28,3
2008-06-29 - 2008-07-05,1
2008-07-06 - 2008-07-12,3
2008-07-13 - 2008-07-19,11
2008-07-20 - 2008-07-26,17
2008-07-27 - 2008-08-02,20
2008-08-03 - 2008-08-09,23
2008-08-10 - 2008-08-16,21
2008-08-17 - 2008-08-23,24
2008-08-24 - 2008-08-30,25
2008-08-31 - 2008-09-06,23
2008-09-07 - 2008-09-13,25
2008-09-14 - 2008-09-20,21
2008-09-21 - 2008-09-27,20
2008-09-28 - 2008-10-04,20
2008-10-05 - 2008-10-11,18
2008-10-12 - 2008-10-18,17
2008-10-19 - 2008-10-25,19
2008-10-26 - 2008-11-01,19
2008-11-02 - 2008-11-08,19
2008-11-09 - 2008-11-15,19
2008-11-16 - 2008-11-22,22
2008-11-23 - 2008-11-29,28
2008-11-30 - 2008-12-06,25
2008-12-07 - 2008-12-13,28
2008-12-14 - 2008-12-20,25
2008-12-21 - 2008-12-27,29
2008-12-28 - 2009-01-03,29
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,37
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,48
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,46
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,66
2009-03-15 - 2009-03-21,65
2009-03-22 - 2009-03-28,98
2009-03-29 - 2009-04-04,84
2009-04-05 - 2009-04-11,92
2009-04-12 - 2009-04-18,94
2009-04-19 - 2009-04-25,90
2009-04-26 - 2009-05-02,92
2009-05-03 - 2009-05-09,100
2009-05-10 - 2009-05-16,100
2009-05-17 - 2009-05-23,97
2009-05-24 - 2009-05-30,86
2009-05-31 - 2009-06-06,89
2009-06-07 - 2009-06-13,88
2009-06-14 - 2009-06-20,83
2009-06-21 - 2009-06-27,77
2009-06-28 - 2009-07-04,86
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,70
2009-07-19 - 2009-07-25,68
2009-07-26 - 2009-08-01,68
