YouTube Search interest: mariah carey
United States; Jan 2008 - Jul 2015

Interest over time
Week,mariah carey
2008-01-06 - 2008-01-12,17
2008-01-13 - 2008-01-19,18
2008-01-20 - 2008-01-26,18
2008-01-27 - 2008-02-02,18
2008-02-03 - 2008-02-09,18
2008-02-10 - 2008-02-16,23
2008-02-17 - 2008-02-23,27
2008-02-24 - 2008-03-01,44
2008-03-02 - 2008-03-08,53
2008-03-09 - 2008-03-15,49
2008-03-16 - 2008-03-22,49
2008-03-23 - 2008-03-29,49
2008-03-30 - 2008-04-05,50
2008-04-06 - 2008-04-12,54
2008-04-13 - 2008-04-19,92
2008-04-20 - 2008-04-26,73
2008-04-27 - 2008-05-03,69
2008-05-04 - 2008-05-10,70
2008-05-11 - 2008-05-17,69
2008-05-18 - 2008-05-24,53
2008-05-25 - 2008-05-31,50
2008-06-01 - 2008-06-07,48
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,56
2008-06-22 - 2008-06-28,51
2008-06-29 - 2008-07-05,44
2008-07-06 - 2008-07-12,56
2008-07-13 - 2008-07-19,48
2008-07-20 - 2008-07-26,45
2008-07-27 - 2008-08-02,42
2008-08-03 - 2008-08-09,42
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,36
2008-09-07 - 2008-09-13,35
2008-09-14 - 2008-09-20,35
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,33
2008-10-05 - 2008-10-11,31
2008-10-12 - 2008-10-18,30
2008-10-19 - 2008-10-25,31
2008-10-26 - 2008-11-01,37
2008-11-02 - 2008-11-08,35
2008-11-09 - 2008-11-15,40
2008-11-16 - 2008-11-22,42
2008-11-23 - 2008-11-29,47
2008-11-30 - 2008-12-06,48
2008-12-07 - 2008-12-13,53
2008-12-14 - 2008-12-20,60
2008-12-21 - 2008-12-27,60
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,36
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,34
2009-02-01 - 2009-02-07,31
2009-02-08 - 2009-02-14,30
