YouTube Search interest: mario
United States; Jan 2008 - Jul 2015

Interest over time
Week,mario
2008-01-06 - 2008-01-12,81
2008-01-13 - 2008-01-19,85
2008-01-20 - 2008-01-26,85
2008-01-27 - 2008-02-02,89
2008-02-03 - 2008-02-09,85
2008-02-10 - 2008-02-16,77
2008-02-17 - 2008-02-23,85
2008-02-24 - 2008-03-01,78
2008-03-02 - 2008-03-08,81
2008-03-09 - 2008-03-15,72
2008-03-16 - 2008-03-22,82
2008-03-23 - 2008-03-29,80
2008-03-30 - 2008-04-05,75
2008-04-06 - 2008-04-12,77
2008-04-13 - 2008-04-19,77
2008-04-20 - 2008-04-26,84
2008-04-27 - 2008-05-03,88
2008-05-04 - 2008-05-10,82
2008-05-11 - 2008-05-17,74
2008-05-18 - 2008-05-24,82
2008-05-25 - 2008-05-31,82
2008-06-01 - 2008-06-07,76
2008-06-08 - 2008-06-14,80
2008-06-15 - 2008-06-21,79
2008-06-22 - 2008-06-28,79
2008-06-29 - 2008-07-05,78
2008-07-06 - 2008-07-12,81
2008-07-13 - 2008-07-19,76
2008-07-20 - 2008-07-26,74
2008-07-27 - 2008-08-02,71
2008-08-03 - 2008-08-09,71
2008-08-10 - 2008-08-16,73
2008-08-17 - 2008-08-23,72
2008-08-24 - 2008-08-30,70
2008-08-31 - 2008-09-06,70
2008-09-07 - 2008-09-13,72
2008-09-14 - 2008-09-20,72
2008-09-21 - 2008-09-27,68
2008-09-28 - 2008-10-04,67
2008-10-05 - 2008-10-11,63
2008-10-12 - 2008-10-18,63
2008-10-19 - 2008-10-25,62
2008-10-26 - 2008-11-01,62
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,62
2008-11-16 - 2008-11-22,60
2008-11-23 - 2008-11-29,69
2008-11-30 - 2008-12-06,66
2008-12-07 - 2008-12-13,71
2008-12-14 - 2008-12-20,67
2008-12-21 - 2008-12-27,73
2008-12-28 - 2009-01-03,77
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,65
2009-01-18 - 2009-01-24,67
2009-01-25 - 2009-01-31,64
2009-02-01 - 2009-02-07,63
2009-02-08 - 2009-02-14,64
2009-02-15 - 2009-02-21,66
2009-02-22 - 2009-02-28,63
2009-03-01 - 2009-03-07,63
2009-03-08 - 2009-03-14,66
2009-03-15 - 2009-03-21,65
2009-03-22 - 2009-03-28,65
