YouTube Search interest: mika
United States; Jan 2008 - Jul 2015

Interest over time
Week,mika
2008-01-06 - 2008-01-12,67
2008-01-13 - 2008-01-19,55
2008-01-20 - 2008-01-26,66
2008-01-27 - 2008-02-02,69
2008-02-03 - 2008-02-09,68
2008-02-10 - 2008-02-16,100
2008-02-17 - 2008-02-23,90
2008-02-24 - 2008-03-01,68
2008-03-02 - 2008-03-08,62
2008-03-09 - 2008-03-15,62
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,52
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,51
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,47
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,58
2008-05-18 - 2008-05-24,53
2008-05-25 - 2008-05-31,46
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,51
2008-06-15 - 2008-06-21,55
2008-06-22 - 2008-06-28,46
2008-06-29 - 2008-07-05,46
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,45
2008-07-27 - 2008-08-02,45
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,41
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,40
2008-09-07 - 2008-09-13,42
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,51
2008-09-28 - 2008-10-04,42
2008-10-05 - 2008-10-11,42
2008-10-12 - 2008-10-18,39
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,33
2008-11-09 - 2008-11-15,37
2008-11-16 - 2008-11-22,39
2008-11-23 - 2008-11-29,31
2008-11-30 - 2008-12-06,39
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,37
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,30
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,38
2009-01-18 - 2009-01-24,37
2009-01-25 - 2009-01-31,41
2009-02-01 - 2009-02-07,40
