YouTube Search interest: natasha bedingfield
United States; Jan 2008 - Jul 2015

Interest over time
Week,natasha bedingfield
2008-01-06 - 2008-01-12,45
2008-01-13 - 2008-01-19,42
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,56
2008-02-03 - 2008-02-09,51
2008-02-10 - 2008-02-16,48
2008-02-17 - 2008-02-23,40
2008-02-24 - 2008-03-01,29
2008-03-02 - 2008-03-08,38
2008-03-09 - 2008-03-15,34
2008-03-16 - 2008-03-22,37
2008-03-23 - 2008-03-29,44
2008-03-30 - 2008-04-05,49
2008-04-06 - 2008-04-12,45
2008-04-13 - 2008-04-19,46
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,75
2008-05-04 - 2008-05-10,71
2008-05-11 - 2008-05-17,62
2008-05-18 - 2008-05-24,63
2008-05-25 - 2008-05-31,53
2008-06-01 - 2008-06-07,62
2008-06-08 - 2008-06-14,82
2008-06-15 - 2008-06-21,84
2008-06-22 - 2008-06-28,66
2008-06-29 - 2008-07-05,67
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,75
2008-07-20 - 2008-07-26,63
2008-07-27 - 2008-08-02,57
2008-08-03 - 2008-08-09,57
2008-08-10 - 2008-08-16,53
2008-08-17 - 2008-08-23,58
2008-08-24 - 2008-08-30,57
2008-08-31 - 2008-09-06,58
2008-09-07 - 2008-09-13,69
2008-09-14 - 2008-09-20,86
2008-09-21 - 2008-09-27,88
2008-09-28 - 2008-10-04,82
2008-10-05 - 2008-10-11,88
2008-10-12 - 2008-10-18,100
2008-10-19 - 2008-10-25,92
2008-10-26 - 2008-11-01,89
2008-11-02 - 2008-11-08,82
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,59
2008-11-23 - 2008-11-29,66
2008-11-30 - 2008-12-06,45
2008-12-07 - 2008-12-13,50
2008-12-14 - 2008-12-20,51
2008-12-21 - 2008-12-27,45
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,44
2009-01-11 - 2009-01-17,46
2009-01-18 - 2009-01-24,41
2009-01-25 - 2009-01-31,47
2009-02-01 - 2009-02-07,40
2009-02-08 - 2009-02-14,41
2009-02-15 - 2009-02-21,41
2009-02-22 - 2009-02-28,39
2009-03-01 - 2009-03-07,43
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,39
2009-04-05 - 2009-04-11,41
2009-04-12 - 2009-04-18,43
2009-04-19 - 2009-04-25,53
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,45
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,40
2009-05-31 - 2009-06-06,48
2009-06-07 - 2009-06-13,38
2009-06-14 - 2009-06-20,38
