YouTube Search interest: nero
United States; Jan 2008 - Jul 2015

Interest over time
Week,nero
2008-01-06 - 2008-01-12,3
2008-01-13 - 2008-01-19,4
2008-01-20 - 2008-01-26,4
2008-01-27 - 2008-02-02,6
2008-02-03 - 2008-02-09,9
2008-02-10 - 2008-02-16,10
2008-02-17 - 2008-02-23,9
2008-02-24 - 2008-03-01,9
2008-03-02 - 2008-03-08,6
2008-03-09 - 2008-03-15,5
2008-03-16 - 2008-03-22,4
2008-03-23 - 2008-03-29,5
2008-03-30 - 2008-04-05,4
2008-04-06 - 2008-04-12,4
2008-04-13 - 2008-04-19,4
2008-04-20 - 2008-04-26,6
2008-04-27 - 2008-05-03,5
2008-05-04 - 2008-05-10,4
2008-05-11 - 2008-05-17,3
2008-05-18 - 2008-05-24,5
2008-05-25 - 2008-05-31,6
2008-06-01 - 2008-06-07,4
2008-06-08 - 2008-06-14,6
2008-06-15 - 2008-06-21,4
2008-06-22 - 2008-06-28,5
2008-06-29 - 2008-07-05,5
2008-07-06 - 2008-07-12,3
2008-07-13 - 2008-07-19,5
2008-07-20 - 2008-07-26,3
2008-07-27 - 2008-08-02,4
2008-08-03 - 2008-08-09,5
2008-08-10 - 2008-08-16,3
2008-08-17 - 2008-08-23,6
2008-08-24 - 2008-08-30,5
2008-08-31 - 2008-09-06,5
2008-09-07 - 2008-09-13,5
2008-09-14 - 2008-09-20,5
2008-09-21 - 2008-09-27,4
2008-09-28 - 2008-10-04,6
2008-10-05 - 2008-10-11,6
2008-10-12 - 2008-10-18,5
2008-10-19 - 2008-10-25,4
2008-10-26 - 2008-11-01,4
2008-11-02 - 2008-11-08,4
2008-11-09 - 2008-11-15,5
2008-11-16 - 2008-11-22,4
2008-11-23 - 2008-11-29,4
2008-11-30 - 2008-12-06,4
2008-12-07 - 2008-12-13,5
2008-12-14 - 2008-12-20,5
2008-12-21 - 2008-12-27,6
2008-12-28 - 2009-01-03,6
2009-01-04 - 2009-01-10,7
2009-01-11 - 2009-01-17,6
2009-01-18 - 2009-01-24,5
2009-01-25 - 2009-01-31,5
2009-02-01 - 2009-02-07,5
2009-02-08 - 2009-02-14,7
2009-02-15 - 2009-02-21,6
2009-02-22 - 2009-02-28,7
2009-03-01 - 2009-03-07,6
2009-03-08 - 2009-03-14,6
2009-03-15 - 2009-03-21,6
2009-03-22 - 2009-03-28,7
2009-03-29 - 2009-04-04,6
2009-04-05 - 2009-04-11,5
2009-04-12 - 2009-04-18,6
2009-04-19 - 2009-04-25,6
2009-04-26 - 2009-05-02,7
2009-05-03 - 2009-05-09,6
2009-05-10 - 2009-05-16,7
2009-05-17 - 2009-05-23,8
2009-05-24 - 2009-05-30,7
2009-05-31 - 2009-06-06,7
2009-06-07 - 2009-06-13,5
2009-06-14 - 2009-06-20,7
2009-06-21 - 2009-06-27,5
2009-06-28 - 2009-07-04,4
2009-07-05 - 2009-07-11,7
2009-07-12 - 2009-07-18,4
2009-07-19 - 2009-07-25,6
2009-07-26 - 2009-08-01,5
2009-08-02 - 2009-08-08,5
2009-08-09 - 2009-08-15,5
2009-08-16 - 2009-08-22,6
2009-08-23 - 2009-08-29,6
2009-08-30 - 2009-09-05,8
2009-09-06 - 2009-09-12,5
2009-09-13 - 2009-09-19,5
2009-09-20 - 2009-09-26,6
2009-09-27 - 2009-10-03,6
2009-10-04 - 2009-10-10,7
2009-10-11 - 2009-10-17,8
2009-10-18 - 2009-10-24,6
2009-10-25 - 2009-10-31,7
2009-11-01 - 2009-11-07,6
2009-11-08 - 2009-11-14,5
2009-11-15 - 2009-11-21,7
2009-11-22 - 2009-11-28,7
2009-11-29 - 2009-12-05,7
2009-12-06 - 2009-12-12,6
2009-12-13 - 2009-12-19,7
2009-12-20 - 2009-12-26,6
2009-12-27 - 2010-01-02,8
2010-01-03 - 2010-01-09,8
2010-01-10 - 2010-01-16,7
2010-01-17 - 2010-01-23,9
2010-01-24 - 2010-01-30,8
2010-01-31 - 2010-02-06,9
2010-02-07 - 2010-02-13,9
2010-02-14 - 2010-02-20,7
2010-02-21 - 2010-02-27,8
2010-02-28 - 2010-03-06,7
2010-03-07 - 2010-03-13,7
2010-03-14 - 2010-03-20,8
2010-03-21 - 2010-03-27,7
2010-03-28 - 2010-04-03,8
2010-04-04 - 2010-04-10,8
2010-04-11 - 2010-04-17,8
2010-04-18 - 2010-04-24,10
2010-04-25 - 2010-05-01,10
2010-05-02 - 2010-05-08,8
2010-05-09 - 2010-05-15,11
2010-05-16 - 2010-05-22,9
2010-05-23 - 2010-05-29,11
2010-05-30 - 2010-06-05,9
2010-06-06 - 2010-06-12,8
2010-06-13 - 2010-06-19,8
2010-06-20 - 2010-06-26,9
2010-06-27 - 2010-07-03,11
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,11
2010-07-25 - 2010-07-31,12
2010-08-01 - 2010-08-07,11
2010-08-08 - 2010-08-14,10
2010-08-15 - 2010-08-21,9
2010-08-22 - 2010-08-28,13
2010-08-29 - 2010-09-04,10
2010-09-05 - 2010-09-11,11
2010-09-12 - 2010-09-18,12
2010-09-19 - 2010-09-25,13
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,14
2010-10-10 - 2010-10-16,12
2010-10-17 - 2010-10-23,12
2010-10-24 - 2010-10-30,15
2010-10-31 - 2010-11-06,14
2010-11-07 - 2010-11-13,12
2010-11-14 - 2010-11-20,13
2010-11-21 - 2010-11-27,15
2010-11-28 - 2010-12-04,16
2010-12-05 - 2010-12-11,15
2010-12-12 - 2010-12-18,15
2010-12-19 - 2010-12-25,17
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,17
2011-01-09 - 2011-01-15,18
2011-01-16 - 2011-01-22,17
2011-01-23 - 2011-01-29,19
2011-01-30 - 2011-02-05,17
2011-02-06 - 2011-02-12,17
2011-02-13 - 2011-02-19,15
2011-02-20 - 2011-02-26,18
2011-02-27 - 2011-03-05,19
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,15
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,19
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,18
2011-04-17 - 2011-04-23,17
2011-04-24 - 2011-04-30,19
2011-05-01 - 2011-05-07,18
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,18
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,16
2011-06-05 - 2011-06-11,19
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,21
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,22
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,35
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,39
2011-09-04 - 2011-09-10,42
2011-09-11 - 2011-09-17,40
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,40
