YouTube Search interest: panic at the disco
United States; Jan 2008 - Jul 2015

Interest over time
Week,panic at the disco
2008-01-06 - 2008-01-12,36
2008-01-13 - 2008-01-19,38
2008-01-20 - 2008-01-26,35
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,81
2008-02-17 - 2008-02-23,62
2008-02-24 - 2008-03-01,63
2008-03-02 - 2008-03-08,59
2008-03-09 - 2008-03-15,66
2008-03-16 - 2008-03-22,74
2008-03-23 - 2008-03-29,86
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,100
2008-04-13 - 2008-04-19,96
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,74
2008-05-04 - 2008-05-10,73
2008-05-11 - 2008-05-17,69
2008-05-18 - 2008-05-24,69
2008-05-25 - 2008-05-31,65
2008-06-01 - 2008-06-07,70
2008-06-08 - 2008-06-14,75
2008-06-15 - 2008-06-21,77
2008-06-22 - 2008-06-28,67
2008-06-29 - 2008-07-05,65
2008-07-06 - 2008-07-12,67
2008-07-13 - 2008-07-19,62
2008-07-20 - 2008-07-26,65
2008-07-27 - 2008-08-02,59
2008-08-03 - 2008-08-09,61
2008-08-10 - 2008-08-16,52
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,51
2008-08-31 - 2008-09-06,59
2008-09-07 - 2008-09-13,53
2008-09-14 - 2008-09-20,59
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,47
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,48
2008-10-26 - 2008-11-01,56
2008-11-02 - 2008-11-08,53
2008-11-09 - 2008-11-15,51
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,44
2008-11-30 - 2008-12-06,44
2008-12-07 - 2008-12-13,47
2008-12-14 - 2008-12-20,53
2008-12-21 - 2008-12-27,51
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,40
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,39
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,34
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,36
2009-03-08 - 2009-03-14,38
2009-03-15 - 2009-03-21,37
2009-03-22 - 2009-03-28,31
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,34
2009-04-12 - 2009-04-18,33
2009-04-19 - 2009-04-25,28
2009-04-26 - 2009-05-02,33
2009-05-03 - 2009-05-09,31
2009-05-10 - 2009-05-16,33
2009-05-17 - 2009-05-23,30
2009-05-24 - 2009-05-30,29
2009-05-31 - 2009-06-06,29
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,32
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,25
2009-07-05 - 2009-07-11,30
2009-07-12 - 2009-07-18,29
2009-07-19 - 2009-07-25,31
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,35
2009-08-16 - 2009-08-22,34
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,31
2009-09-13 - 2009-09-19,29
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,32
2009-10-11 - 2009-10-17,29
2009-10-18 - 2009-10-24,33
2009-10-25 - 2009-10-31,37
2009-11-01 - 2009-11-07,28
2009-11-08 - 2009-11-14,29
2009-11-15 - 2009-11-21,26
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,27
2009-12-06 - 2009-12-12,29
2009-12-13 - 2009-12-19,25
2009-12-20 - 2009-12-26,27
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,25
2010-01-10 - 2010-01-16,23
2010-01-17 - 2010-01-23,28
2010-01-24 - 2010-01-30,26
2010-01-31 - 2010-02-06,24
2010-02-07 - 2010-02-13,26
2010-02-14 - 2010-02-20,25
2010-02-21 - 2010-02-27,25
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,23
2010-03-14 - 2010-03-20,24
