YouTube Search interest: paramore
United States; Jan 2008 - Jul 2015

Interest over time
Week,paramore
2008-01-06 - 2008-01-12,66
2008-01-13 - 2008-01-19,64
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,57
2008-02-03 - 2008-02-09,55
2008-02-10 - 2008-02-16,57
2008-02-17 - 2008-02-23,53
2008-02-24 - 2008-03-01,52
2008-03-02 - 2008-03-08,47
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,57
2008-03-30 - 2008-04-05,58
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,49
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,48
2008-05-04 - 2008-05-10,50
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,47
2008-05-25 - 2008-05-31,49
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,51
2008-06-15 - 2008-06-21,51
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,51
2008-07-06 - 2008-07-12,51
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,50
2008-08-03 - 2008-08-09,54
2008-08-10 - 2008-08-16,52
2008-08-17 - 2008-08-23,53
2008-08-24 - 2008-08-30,55
2008-08-31 - 2008-09-06,56
2008-09-07 - 2008-09-13,72
2008-09-14 - 2008-09-20,64
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,57
2008-10-05 - 2008-10-11,59
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,54
2008-10-26 - 2008-11-01,55
2008-11-02 - 2008-11-08,92
2008-11-09 - 2008-11-15,85
2008-11-16 - 2008-11-22,87
2008-11-23 - 2008-11-29,100
2008-11-30 - 2008-12-06,86
2008-12-07 - 2008-12-13,86
2008-12-14 - 2008-12-20,90
2008-12-21 - 2008-12-27,94
2008-12-28 - 2009-01-03,94
2009-01-04 - 2009-01-10,88
2009-01-11 - 2009-01-17,81
2009-01-18 - 2009-01-24,79
2009-01-25 - 2009-01-31,74
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,60
2009-02-15 - 2009-02-21,60
2009-02-22 - 2009-02-28,57
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,61
2009-03-15 - 2009-03-21,65
2009-03-22 - 2009-03-28,63
2009-03-29 - 2009-04-04,57
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,49
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,46
2009-05-24 - 2009-05-30,48
