YouTube Search interest: r. kelly
United States; Jan 2008 - Jul 2015

Interest over time
Week,r. kelly
2008-01-06 - 2008-01-12,60
2008-01-13 - 2008-01-19,62
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,68
2008-02-03 - 2008-02-09,73
2008-02-10 - 2008-02-16,70
2008-02-17 - 2008-02-23,64
2008-02-24 - 2008-03-01,71
2008-03-02 - 2008-03-08,61
2008-03-09 - 2008-03-15,58
2008-03-16 - 2008-03-22,49
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,53
2008-04-06 - 2008-04-12,60
2008-04-13 - 2008-04-19,59
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,64
2008-05-04 - 2008-05-10,62
2008-05-11 - 2008-05-17,74
2008-05-18 - 2008-05-24,84
2008-05-25 - 2008-05-31,73
2008-06-01 - 2008-06-07,66
2008-06-08 - 2008-06-14,72
2008-06-15 - 2008-06-21,63
2008-06-22 - 2008-06-28,44
2008-06-29 - 2008-07-05,49
2008-07-06 - 2008-07-12,44
2008-07-13 - 2008-07-19,46
2008-07-20 - 2008-07-26,36
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,32
2008-08-10 - 2008-08-16,38
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,36
2008-09-07 - 2008-09-13,37
2008-09-14 - 2008-09-20,74
2008-09-21 - 2008-09-27,66
2008-09-28 - 2008-10-04,36
2008-10-05 - 2008-10-11,37
2008-10-12 - 2008-10-18,40
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,41
2008-11-02 - 2008-11-08,36
2008-11-09 - 2008-11-15,33
2008-11-16 - 2008-11-22,34
2008-11-23 - 2008-11-29,28
2008-11-30 - 2008-12-06,53
2008-12-07 - 2008-12-13,43
2008-12-14 - 2008-12-20,42
2008-12-21 - 2008-12-27,39
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,43
