YouTube Search interest: sam palladio
United States; Jan 2008 - Jul 2015

Interest over time
Month,sam palladio
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,46
2012-11,54
2012-12,100
2013-01,55
2013-02,45
2013-03,44
2013-04,79
2013-05,79
2013-06,37
2013-07,20
2013-08,20
2013-09,40
2013-10,60
2013-11,50
2013-12,39
2014-01,42
2014-02,35
2014-03,33
2014-04,45
2014-05,57
2014-06,35
2014-07,40
2014-08,22
2014-09,29
2014-10,31
2014-11,37
2014-12,57
2015-01,40
2015-02,40
2015-03,40
2015-04,43
2015-05,0
2015-06,0
2015-07,0



Top searches for sam palladio
clare bowen,100
nashville sam palladio,70



Rising searches for sam palladio
clare bowen,Breakout
nashville sam palladio,Breakout



