YouTube Search interest: the game
United States; Jan 2008 - Jul 2015

Interest over time
Week,the game
2008-01-06 - 2008-01-12,40
2008-01-13 - 2008-01-19,35
2008-01-20 - 2008-01-26,40
2008-01-27 - 2008-02-02,39
2008-02-03 - 2008-02-09,39
2008-02-10 - 2008-02-16,35
2008-02-17 - 2008-02-23,37
2008-02-24 - 2008-03-01,38
2008-03-02 - 2008-03-08,36
2008-03-09 - 2008-03-15,37
2008-03-16 - 2008-03-22,39
2008-03-23 - 2008-03-29,39
2008-03-30 - 2008-04-05,42
2008-04-06 - 2008-04-12,39
2008-04-13 - 2008-04-19,42
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,44
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,55
2008-05-25 - 2008-05-31,51
2008-06-01 - 2008-06-07,48
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,60
2008-06-22 - 2008-06-28,58
2008-06-29 - 2008-07-05,58
2008-07-06 - 2008-07-12,56
2008-07-13 - 2008-07-19,57
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,63
2008-08-03 - 2008-08-09,70
2008-08-10 - 2008-08-16,78
2008-08-17 - 2008-08-23,99
2008-08-24 - 2008-08-30,100
2008-08-31 - 2008-09-06,93
2008-09-07 - 2008-09-13,92
2008-09-14 - 2008-09-20,86
2008-09-21 - 2008-09-27,83
2008-09-28 - 2008-10-04,78
2008-10-05 - 2008-10-11,78
2008-10-12 - 2008-10-18,74
2008-10-19 - 2008-10-25,70
2008-10-26 - 2008-11-01,70
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,64
2008-11-16 - 2008-11-22,64
2008-11-23 - 2008-11-29,66
2008-11-30 - 2008-12-06,61
2008-12-07 - 2008-12-13,67
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,67
2008-12-28 - 2009-01-03,63
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,61
2009-01-18 - 2009-01-24,59
2009-01-25 - 2009-01-31,53
2009-02-01 - 2009-02-07,57
2009-02-08 - 2009-02-14,54
2009-02-15 - 2009-02-21,59
2009-02-22 - 2009-02-28,56
2009-03-01 - 2009-03-07,55
2009-03-08 - 2009-03-14,56
2009-03-15 - 2009-03-21,60
