YouTube Search interest: the killers
United States; Jan 2008 - Jul 2015

Interest over time
Week,the killers
2008-01-06 - 2008-01-12,45
2008-01-13 - 2008-01-19,42
2008-01-20 - 2008-01-26,43
2008-01-27 - 2008-02-02,41
2008-02-03 - 2008-02-09,41
2008-02-10 - 2008-02-16,44
2008-02-17 - 2008-02-23,42
2008-02-24 - 2008-03-01,37
2008-03-02 - 2008-03-08,36
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,31
2008-03-23 - 2008-03-29,34
2008-03-30 - 2008-04-05,33
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,34
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,29
2008-05-04 - 2008-05-10,34
2008-05-11 - 2008-05-17,30
2008-05-18 - 2008-05-24,26
2008-05-25 - 2008-05-31,32
2008-06-01 - 2008-06-07,30
2008-06-08 - 2008-06-14,38
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,34
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,34
2008-07-13 - 2008-07-19,30
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,37
2008-08-03 - 2008-08-09,37
2008-08-10 - 2008-08-16,49
2008-08-17 - 2008-08-23,44
2008-08-24 - 2008-08-30,43
2008-08-31 - 2008-09-06,40
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,38
2008-09-21 - 2008-09-27,54
2008-09-28 - 2008-10-04,56
2008-10-05 - 2008-10-11,72
2008-10-12 - 2008-10-18,71
2008-10-19 - 2008-10-25,65
2008-10-26 - 2008-11-01,70
2008-11-02 - 2008-11-08,75
2008-11-09 - 2008-11-15,79
2008-11-16 - 2008-11-22,72
2008-11-23 - 2008-11-29,94
2008-11-30 - 2008-12-06,100
2008-12-07 - 2008-12-13,91
2008-12-14 - 2008-12-20,92
2008-12-21 - 2008-12-27,77
2008-12-28 - 2009-01-03,76
2009-01-04 - 2009-01-10,73
2009-01-11 - 2009-01-17,82
2009-01-18 - 2009-01-24,78
2009-01-25 - 2009-01-31,85
2009-02-01 - 2009-02-07,79
2009-02-08 - 2009-02-14,77
2009-02-15 - 2009-02-21,69
2009-02-22 - 2009-02-28,71
2009-03-01 - 2009-03-07,70
2009-03-08 - 2009-03-14,64
2009-03-15 - 2009-03-21,65
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,54
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,56
2009-04-19 - 2009-04-25,68
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,55
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,50
2009-05-31 - 2009-06-06,48
2009-06-07 - 2009-06-13,50
2009-06-14 - 2009-06-20,47
2009-06-21 - 2009-06-27,42
