YouTube Search interest: theory of a deadman
United States; Jan 2008 - Jul 2015

Interest over time
Week,theory of a deadman
2008-01-06 - 2008-01-12,4
2008-01-13 - 2008-01-19,5
2008-01-20 - 2008-01-26,7
2008-01-27 - 2008-02-02,7
2008-02-03 - 2008-02-09,8
2008-02-10 - 2008-02-16,7
2008-02-17 - 2008-02-23,7
2008-02-24 - 2008-03-01,4
2008-03-02 - 2008-03-08,6
2008-03-09 - 2008-03-15,6
2008-03-16 - 2008-03-22,10
2008-03-23 - 2008-03-29,11
2008-03-30 - 2008-04-05,10
2008-04-06 - 2008-04-12,16
2008-04-13 - 2008-04-19,11
2008-04-20 - 2008-04-26,17
2008-04-27 - 2008-05-03,15
2008-05-04 - 2008-05-10,13
2008-05-11 - 2008-05-17,13
2008-05-18 - 2008-05-24,19
2008-05-25 - 2008-05-31,11
2008-06-01 - 2008-06-07,11
2008-06-08 - 2008-06-14,20
2008-06-15 - 2008-06-21,23
2008-06-22 - 2008-06-28,21
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,28
2008-07-13 - 2008-07-19,33
2008-07-20 - 2008-07-26,37
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,51
2008-08-24 - 2008-08-30,42
2008-08-31 - 2008-09-06,47
2008-09-07 - 2008-09-13,46
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,49
2008-09-28 - 2008-10-04,43
2008-10-05 - 2008-10-11,48
2008-10-12 - 2008-10-18,48
2008-10-19 - 2008-10-25,48
2008-10-26 - 2008-11-01,54
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,53
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,63
2008-12-14 - 2008-12-20,58
2008-12-21 - 2008-12-27,55
2008-12-28 - 2009-01-03,53
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,61
2009-01-18 - 2009-01-24,61
2009-01-25 - 2009-01-31,67
2009-02-01 - 2009-02-07,70
2009-02-08 - 2009-02-14,64
2009-02-15 - 2009-02-21,73
2009-02-22 - 2009-02-28,62
2009-03-01 - 2009-03-07,65
2009-03-08 - 2009-03-14,74
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,71
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,81
2009-04-12 - 2009-04-18,86
2009-04-19 - 2009-04-25,90
2009-04-26 - 2009-05-02,81
2009-05-03 - 2009-05-09,89
2009-05-10 - 2009-05-16,100
2009-05-17 - 2009-05-23,97
2009-05-24 - 2009-05-30,88
2009-05-31 - 2009-06-06,83
2009-06-07 - 2009-06-13,86
2009-06-14 - 2009-06-20,87
2009-06-21 - 2009-06-27,89
2009-06-28 - 2009-07-04,83
2009-07-05 - 2009-07-11,85
2009-07-12 - 2009-07-18,83
2009-07-19 - 2009-07-25,79
2009-07-26 - 2009-08-01,75
2009-08-02 - 2009-08-08,76
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,77
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,73
2009-09-06 - 2009-09-12,66
2009-09-13 - 2009-09-19,64
2009-09-20 - 2009-09-26,67
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,51
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,53
2009-11-01 - 2009-11-07,54
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,51
2009-11-22 - 2009-11-28,42
2009-11-29 - 2009-12-05,49
2009-12-06 - 2009-12-12,51
2009-12-13 - 2009-12-19,48
2009-12-20 - 2009-12-26,47
2009-12-27 - 2010-01-02,41
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,45
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,47
2010-01-31 - 2010-02-06,46
2010-02-07 - 2010-02-13,45
2010-02-14 - 2010-02-20,48
2010-02-21 - 2010-02-27,45
2010-02-28 - 2010-03-06,42
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,57
2010-05-09 - 2010-05-15,58
2010-05-16 - 2010-05-22,58
2010-05-23 - 2010-05-29,48
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,43
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,41
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,40
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,36
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,39
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,36
2010-10-10 - 2010-10-16,33
