YouTube Search interest: twista
United States; Jan 2008 - Jul 2015

Interest over time
Week,twista
2008-01-06 - 2008-01-12,20
2008-01-13 - 2008-01-19,19
2008-01-20 - 2008-01-26,24
2008-01-27 - 2008-02-02,17
2008-02-03 - 2008-02-09,18
2008-02-10 - 2008-02-16,22
2008-02-17 - 2008-02-23,19
2008-02-24 - 2008-03-01,17
2008-03-02 - 2008-03-08,19
2008-03-09 - 2008-03-15,20
2008-03-16 - 2008-03-22,21
2008-03-23 - 2008-03-29,20
2008-03-30 - 2008-04-05,18
2008-04-06 - 2008-04-12,22
2008-04-13 - 2008-04-19,23
2008-04-20 - 2008-04-26,17
2008-04-27 - 2008-05-03,18
2008-05-04 - 2008-05-10,22
2008-05-11 - 2008-05-17,19
2008-05-18 - 2008-05-24,19
2008-05-25 - 2008-05-31,18
2008-06-01 - 2008-06-07,19
2008-06-08 - 2008-06-14,21
2008-06-15 - 2008-06-21,20
2008-06-22 - 2008-06-28,19
2008-06-29 - 2008-07-05,18
2008-07-06 - 2008-07-12,20
2008-07-13 - 2008-07-19,19
2008-07-20 - 2008-07-26,17
2008-07-27 - 2008-08-02,18
2008-08-03 - 2008-08-09,22
2008-08-10 - 2008-08-16,22
2008-08-17 - 2008-08-23,19
2008-08-24 - 2008-08-30,19
2008-08-31 - 2008-09-06,20
2008-09-07 - 2008-09-13,20
2008-09-14 - 2008-09-20,21
2008-09-21 - 2008-09-27,21
2008-09-28 - 2008-10-04,21
2008-10-05 - 2008-10-11,23
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,24
2008-10-26 - 2008-11-01,21
2008-11-02 - 2008-11-08,18
2008-11-09 - 2008-11-15,21
2008-11-16 - 2008-11-22,25
2008-11-23 - 2008-11-29,19
2008-11-30 - 2008-12-06,22
2008-12-07 - 2008-12-13,22
2008-12-14 - 2008-12-20,21
2008-12-21 - 2008-12-27,20
2008-12-28 - 2009-01-03,20
2009-01-04 - 2009-01-10,24
2009-01-11 - 2009-01-17,24
2009-01-18 - 2009-01-24,24
2009-01-25 - 2009-01-31,29
2009-02-01 - 2009-02-07,27
2009-02-08 - 2009-02-14,25
2009-02-15 - 2009-02-21,27
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,34
2009-03-08 - 2009-03-14,38
2009-03-15 - 2009-03-21,36
2009-03-22 - 2009-03-28,36
2009-03-29 - 2009-04-04,33
2009-04-05 - 2009-04-11,38
2009-04-12 - 2009-04-18,38
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,62
2009-05-24 - 2009-05-30,65
2009-05-31 - 2009-06-06,67
2009-06-07 - 2009-06-13,75
2009-06-14 - 2009-06-20,69
2009-06-21 - 2009-06-27,84
2009-06-28 - 2009-07-04,76
2009-07-05 - 2009-07-11,76
2009-07-12 - 2009-07-18,100
2009-07-19 - 2009-07-25,96
2009-07-26 - 2009-08-01,89
2009-08-02 - 2009-08-08,83
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,77
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,64
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,51
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,44
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,47
2009-11-29 - 2009-12-05,41
2009-12-06 - 2009-12-12,39
2009-12-13 - 2009-12-19,41
2009-12-20 - 2009-12-26,39
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,38
2010-01-24 - 2010-01-30,39
2010-01-31 - 2010-02-06,39
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,38
2010-03-07 - 2010-03-13,37
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,36
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,37
2010-04-18 - 2010-04-24,38
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,34
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,33
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,32
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,33
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,33
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,39
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,40
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,47
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,49
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,55
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,70
2010-11-14 - 2010-11-20,69
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,62
2010-12-05 - 2010-12-11,65
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,63
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,75
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,71
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,62
2011-03-13 - 2011-03-19,65
2011-03-20 - 2011-03-26,62
2011-03-27 - 2011-04-02,78
2011-04-03 - 2011-04-09,71
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,55
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,47
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,41
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,40
2011-08-14 - 2011-08-20,41
2011-08-21 - 2011-08-27,40
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,39
2011-10-09 - 2011-10-15,38
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,37
2011-10-30 - 2011-11-05,36
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,34
2011-12-04 - 2011-12-10,32
2011-12-11 - 2011-12-17,37
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,31
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,31
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,35
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,32
2012-03-25 - 2012-03-31,30
2012-04-01 - 2012-04-07,31
2012-04-08 - 2012-04-14,31
2012-04-15 - 2012-04-21,31
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,25
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,27
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,23
