YouTube Search interest: v.i.c.
United States; Jan 2008 - Jul 2015

Interest over time
Month,v.i.c.
2008-01,0
2008-02,37
2008-03,74
2008-04,89
2008-05,100
2008-06,92
2008-07,60
2008-08,77
2008-09,53
2008-10,40
2008-11,34
2008-12,35
2009-01,23
2009-02,19
2009-03,21
2009-04,11
2009-05,18
2009-06,13
2009-07,10
2009-08,7
2009-09,14
2009-10,14
2009-11,10
2009-12,9
2010-01,9
2010-02,6
2010-03,7
2010-04,10
2010-05,11
2010-06,10
2010-07,11
2010-08,5
2010-09,5
2010-10,5
2010-11,6
2010-12,6
2011-01,6
2011-02,7
2011-03,8
2011-04,6
2011-05,8
2011-06,9
2011-07,8
2011-08,6
2011-09,9
2011-10,8
2011-11,10
2011-12,8
2012-01,9
2012-02,5
2012-03,8
2012-04,9
2012-05,16
2012-06,14
2012-07,10
2012-08,9
2012-09,6
2012-10,10
2012-11,7
2012-12,5
2013-01,5
2013-02,6
2013-03,4
2013-04,6
2013-05,7
2013-06,8
2013-07,8
2013-08,8
2013-09,6
2013-10,6
2013-11,6
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for v.i.c.
Sub-region,v.i.c.
Georgia,100
Texas,48
Florida,41
California,19
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for v.i.c.
v.i.c. wobble,100
v.i.c. get silly,85
v.i.c,40



Rising searches for v.i.c.
v.i.c,Breakout
v.i.c. get silly,Breakout
v.i.c. wobble,Breakout



